,volume,bid,ask,avg_bid,avg_ask,last_trade
0,420.000,94.160,95.300,94.160,94.160,94.500
1,500.000,94.160,95.300,94.160,94.160,93.900
2,0.000,94.160,95.450,94.160,94.160,93.900
3,1000.000,94.160,94.550,94.160,94.160,95.450
4,1800.000,94.160,94.250,94.160,95.305,95.230
5,1200.000,94.160,94.640,94.160,95.300,95.480
6,800.000,93.540,95.510,93.540,95.450,95.190
7,200.000,93.910,95.690,93.678,94.605,95.270
8,200.000,93.620,96.080,93.946,94.588,95.650
9,400.000,94.010,95.540,93.949,94.489,95.440
10,700.000,95.120,95.480,94.514,95.073,94.690
11,400.000,95.150,95.960,95.251,95.771,94.590
12,900.000,95.420,95.600,95.307,95.770,94.820
13,0.000,94.920,94.890,95.304,95.800,94.820
14,400.000,95.080,94.930,95.176,95.565,93.790
15,100.000,95.580,94.930,95.340,95.740,94.400
16,0.000,95.130,94.410,95.490,95.906,94.400
17,512.000,94.460,93.810,94.568,95.055,94.630
18,100.000,94.450,94.840,94.313,94.779,94.890
19,100.000,94.470,94.840,94.560,94.961,94.810
20,100.000,94.220,94.770,94.432,94.812,94.940
21,0.000,93.490,95.060,93.782,94.213,94.940
22,0.000,94.530,94.830,94.088,94.514,94.940
23,300.000,94.450,95.090,94.561,94.956,95.470
24,200.000,94.460,95.660,94.513,94.824,95.420
25,0.000,94.640,95.640,94.707,95.011,95.420
26,200.000,94.590,95.590,94.619,94.914,94.810
27,0.000,94.690,95.590,94.587,94.952,94.810
28,200.000,95.200,95.110,94.930,95.297,94.970
29,100.000,95.240,94.980,95.283,95.657,95.320
30,400.000,95.280,94.800,95.264,95.580,95.720
31,100.000,95.280,95.210,95.262,95.541,95.760
32,392.000,94.780,95.720,95.029,95.335,96.140
33,200.000,94.640,95.810,94.673,94.989,96.180
34,200.000,94.520,96.170,94.541,94.794,96.160
35,200.000,94.980,96.320,94.700,94.987,95.960
36,400.000,95.370,96.250,95.193,95.501,95.830
37,900.000,95.580,96.110,95.413,95.708,95.770
38,300.000,95.740,96.130,95.640,95.938,96.110
39,300.000,95.990,95.980,95.985,96.297,96.880
40,100.000,95.990,96.240,96.003,96.276,96.410
41,905.000,95.810,95.970,95.961,96.213,96.950
42,100.000,95.850,98.400,95.797,96.076,97.100
43,0.000,95.730,98.400,95.781,96.004,97.100
44,0.000,95.230,98.800,95.640,95.871,97.100
45,0.000,95.770,98.760,95.784,95.981,97.100
46,200.000,96.370,98.860,96.370,96.370,95.920
47,200.000,96.370,96.950,96.370,96.370,95.780
48,100.000,97.260,97.150,97.260,97.260,95.520
49,300.000,97.260,97.270,97.260,97.260,95.320
50,0.000,97.260,97.490,97.260,98.400,95.320
51,100.000,97.260,96.500,97.260,98.400,95.670
52,200.000,97.260,96.940,97.260,98.800,96.160
53,300.000,97.260,96.460,97.260,98.760,96.130
54,527.000,96.270,96.130,96.270,98.860,96.150
55,0.000,96.120,95.960,96.535,97.618,96.150
56,101.000,96.410,95.410,96.163,96.914,96.170
57,0.000,96.520,95.730,96.517,97.242,96.170
58,0.000,96.890,95.920,96.807,97.441,96.170
59,100.000,96.140,96.060,96.423,96.991,95.940
60,0.000,96.290,96.600,96.137,96.638,95.940
61,350.000,95.890,96.430,96.172,96.711,95.750
62,0.000,95.740,96.390,95.716,96.166,95.750
63,0.000,95.550,96.290,95.680,96.102,95.750
64,200.000,94.970,96.320,95.357,95.784,95.050
65,630.000,95.320,96.070,95.139,95.536,94.730
66,0.000,95.470,96.180,95.443,95.897,94.730
67,0.000,95.660,95.960,95.430,95.843,94.730
68,200.000,96.210,95.970,95.946,96.425,93.990
69,0.000,95.990,95.900,95.943,96.381,93.990
70,200.000,95.950,95.860,96.004,96.384,93.620
71,0.000,95.900,95.160,95.965,96.366,93.620
72,300.000,96.150,95.210,95.953,96.312,94.000
73,300.000,95.670,94.880,95.903,96.239,93.740
74,200.000,95.940,94.690,95.853,96.177,93.880
75,400.000,95.640,94.380,95.643,95.978,93.950
76,530.000,95.630,94.170,95.672,96.026,94.070
77,600.000,95.480,94.340,95.577,95.949,94.070
78,200.000,95.510,93.830,95.434,95.813,94.570
