,volume,bid,ask,avg_bid,avg_ask,last_trade
0,558.000,75.130,75.150,75.016,75.038,75.130
1,343.000,74.640,74.660,74.996,75.018,74.640
2,334.000,74.750,74.770,74.638,74.660,74.760
3,310.000,74.570,74.600,74.708,74.730,74.580
4,496.000,74.670,74.700,74.708,74.730,74.680
5,325.000,74.930,74.970,74.732,74.754,74.920
6,1088.000,74.320,74.350,74.430,74.452,74.340
7,557.000,73.960,73.970,74.207,74.228,73.970
8,883.000,73.900,73.920,73.776,73.797,73.920
9,1142.000,73.080,73.100,73.364,73.384,73.080
10,1255.000,73.020,73.040,72.898,72.918,73.030
11,840.000,73.430,73.440,73.029,73.049,73.430
12,715.000,72.940,72.960,73.230,73.251,72.950
13,360.000,73.000,73.030,73.103,73.125,73.020
14,777.000,72.870,72.890,72.923,72.944,72.890
15,461.000,73.220,73.240,72.998,73.018,73.220
16,270.000,73.100,73.120,73.136,73.158,73.110
17,402.000,73.020,73.040,73.082,73.103,73.020
18,414.000,73.240,73.270,73.255,73.276,73.260
19,466.000,73.280,73.300,73.247,73.267,73.280
20,1264.000,72.700,72.710,72.879,72.897,72.690
21,780.000,73.030,73.050,72.709,72.727,73.070
22,468.000,72.920,72.930,72.859,72.878,72.930
23,419.000,73.130,73.150,73.089,73.110,73.130
24,350.000,73.250,73.270,73.142,73.162,73.250
25,386.000,72.670,72.690,72.893,72.912,72.660
26,924.000,72.440,72.460,72.481,72.501,72.460
27,729.000,72.180,72.200,72.268,72.288,72.210
28,689.000,72.150,72.170,72.236,72.255,72.170
29,1625.000,72.260,72.270,72.248,72.267,72.270
30,637.000,72.530,72.540,72.432,72.451,72.540
31,287.000,72.710,72.730,72.606,72.625,72.720
32,228.000,72.650,72.670,72.659,72.679,72.660
33,112.000,72.410,72.430,72.555,72.574,72.460
34,254.000,72.410,72.420,72.455,72.473,72.420
35,127.000,72.430,72.450,72.419,72.437,72.440
36,278.000,72.510,72.520,72.505,72.520,72.520
37,162.000,72.570,72.590,72.484,72.501,72.590
38,216.000,72.650,72.660,72.623,72.641,72.660
39,79.000,72.660,72.690,72.605,72.625,72.690
40,118.000,72.750,72.760,72.694,72.714,72.750
41,68.000,72.730,72.750,72.730,72.746,72.730
42,74.000,72.600,72.620,72.659,72.679,72.610
43,28.000,72.610,72.640,72.615,72.636,72.620
44,37.000,72.650,72.670,72.629,72.651,72.650
45,1561.000,73.670,73.690,73.624,73.645,73.690
46,1045.000,73.530,73.550,73.484,73.505,73.550
47,693.000,73.760,73.790,73.777,73.800,73.820
48,455.000,73.720,73.750,73.755,73.777,73.740
49,543.000,73.430,73.450,73.487,73.509,73.430
50,698.000,73.030,73.050,73.136,73.159,73.040
