,volume,bid,ask,avg_bid,avg_ask,last_trade
0,127162.000,117.160,117.340,116.701,116.925,117.300
1,19670.000,116.020,116.280,116.755,116.929,116.120
2,11784.000,116.700,116.830,116.332,116.478,116.730
3,19443.000,116.350,116.570,116.641,116.779,116.510
4,22666.000,116.620,116.730,116.474,116.621,116.650
5,37928.000,117.290,117.520,116.812,116.930,117.310
6,29437.000,116.550,116.640,116.895,117.032,116.590
7,8866.000,116.590,116.650,116.625,116.710,116.610
8,6247.000,116.430,116.510,116.466,116.551,116.500
9,10351.000,115.510,115.580,116.066,116.161,115.570
10,15377.000,115.250,115.420,115.129,115.221,115.250
11,16533.000,115.230,115.390,115.082,115.178,115.300
12,10804.000,115.080,115.170,115.230,115.313,115.130
13,8809.000,115.220,115.270,115.264,115.343,115.220
14,8509.000,115.200,115.270,115.043,115.116,115.230
15,11520.000,115.740,115.880,115.533,115.618,115.800
16,11424.000,115.640,115.710,115.685,115.766,115.680
17,7452.000,115.600,115.670,115.651,115.731,115.650
18,5423.000,115.820,115.890,115.760,115.841,115.720
19,3227.000,115.490,115.560,115.643,115.728,115.530
20,26485.000,115.060,115.130,115.133,115.209,115.120
21,12304.000,115.040,115.150,115.001,115.064,115.150
22,6850.000,115.390,115.460,115.212,115.300,115.400
23,8390.000,115.260,115.280,115.318,115.380,115.300
24,11319.000,115.220,115.340,115.201,115.263,115.230
25,9116.000,114.800,114.870,114.991,115.057,114.860
26,17932.000,114.390,114.480,114.537,114.603,114.420
27,8600.000,114.480,114.530,114.311,114.389,114.530
28,16348.000,114.530,114.590,114.541,114.591,114.550
29,8890.000,114.680,114.750,114.547,114.606,114.690
30,8580.000,115.020,115.090,114.969,115.033,115.100
31,3992.000,115.230,115.270,115.164,115.236,115.240
32,6005.000,115.080,115.120,115.109,115.173,115.090
33,7696.000,115.070,115.130,115.136,115.197,115.060
34,6717.000,114.800,114.900,114.993,115.056,114.860
35,7888.000,114.950,115.000,114.826,114.889,114.960
36,13858.000,114.830,114.850,114.866,114.914,114.840
37,23085.000,114.570,114.590,114.685,114.715,114.580
38,111173.000,114.860,114.880,114.802,114.822,114.860
39,117928.000,115.510,115.630,116.315,116.510,115.610
40,12736.000,116.150,116.240,115.778,115.930,116.160
41,19378.000,116.360,116.420,116.354,116.466,116.400
42,21391.000,116.120,116.180,116.282,116.390,116.130
43,14799.000,115.580,115.680,115.801,115.888,115.590
44,12068.000,115.760,115.860,115.790,115.882,115.990
45,15027.000,115.020,115.080,115.333,115.417,115.070
46,15042.000,114.850,114.950,114.859,114.950,114.830
47,35466.000,113.590,113.710,114.292,114.374,113.600
48,55404.000,112.730,112.830,113.243,113.343,112.800
49,29037.000,113.320,113.370,112.951,113.037,113.350
50,20050.000,113.270,113.380,113.209,113.288,113.360
51,20202.000,113.450,113.540,113.194,113.267,113.500
52,20354.000,114.020,114.070,113.773,113.837,114.060
53,15296.000,113.640,113.690,113.810,113.869,113.670
54,13082.000,113.660,113.700,113.547,113.602,113.690
55,13702.000,113.300,113.390,113.488,113.546,113.380
56,6979.000,113.390,113.430,113.313,113.368,113.400
57,10997.000,113.310,113.370,113.351,113.402,113.330
58,12221.000,113.360,113.400,113.370,113.418,113.340
59,9591.000,113.100,113.130,113.089,113.137,113.060
60,8842.000,113.160,113.200,113.176,113.223,113.160
61,10670.000,113.170,113.220,113.115,113.162,113.230
62,10789.000,113.300,113.340,113.099,113.146,113.320
63,10591.000,113.370,113.410,113.183,113.230,113.380
64,10840.000,113.470,113.500,113.425,113.467,113.430
65,11637.000,113.180,113.220,113.255,113.303,113.220
66,11547.000,112.920,112.960,112.905,112.957,112.820
67,9121.000,112.840,112.880,112.862,112.912,112.880
68,8312.000,112.540,112.580,112.653,112.696,112.550
69,19711.000,112.480,112.530,112.540,112.583,112.550
70,12399.000,112.170,112.200,112.304,112.346,112.180
71,12669.000,112.470,112.510,112.342,112.379,112.480
72,18195.000,112.260,112.290,112.256,112.294,112.270
73,23806.000,112.130,112.150,112.135,112.174,112.140
74,25480.000,112.160,112.180,112.095,112.133,112.190
75,25641.000,112.100,112.130,112.091,112.121,112.100
76,41801.000,112.180,112.210,112.126,112.146,112.210
77,159621.000,112.570,112.580,112.322,112.338,112.580
78,83212.000,113.180,113.380,113.098,113.275,113.250
79,16739.000,112.520,112.660,112.658,112.805,112.640
80,12130.000,112.220,112.510,112.282,112.387,112.290
81,40634.000,112.240,112.410,112.357,112.503,112.350
82,11381.000,112.000,112.040,112.098,112.193,112.020
83,14489.000,111.730,111.820,111.786,111.870,111.760
84,15816.000,111.490,111.580,111.551,111.620,111.510
85,13904.000,111.080,111.130,111.289,111.348,111.110
86,15450.000,111.190,111.230,111.108,111.156,111.210
87,16289.000,111.370,111.390,111.500,111.557,111.390
88,10625.000,111.630,111.690,111.481,111.544,111.640
89,11480.000,111.760,111.820,111.737,111.793,111.800
90,22630.000,111.490,111.520,111.607,111.655,111.520
91,16809.000,111.700,111.730,111.660,111.707,111.730
92,15941.000,111.730,111.770,111.653,111.698,111.750
93,16578.000,111.370,111.440,111.439,111.494,111.450
94,14759.000,111.250,111.280,111.406,111.462,111.260
95,23088.000,110.670,110.730,110.852,110.900,110.720
96,15117.000,110.630,110.710,110.616,110.662,110.660
97,15250.000,110.220,110.250,110.447,110.493,110.240
98,15526.000,110.460,110.510,110.394,110.439,110.580
99,13800.000,110.670,110.720,110.601,110.649,110.700
100,20843.000,110.350,110.380,110.725,110.770,110.380
101,12887.000,110.310,110.340,110.262,110.323,110.340
102,11360.000,110.430,110.480,110.417,110.473,110.470
103,10181.000,110.430,110.460,110.490,110.546,110.470
104,15447.000,110.450,110.480,110.502,110.545,110.460
105,9221.000,110.370,110.410,110.444,110.481,110.400
106,13248.000,110.660,110.710,110.505,110.551,110.680
107,17507.000,110.850,110.880,110.741,110.781,110.870
108,13572.000,110.800,110.860,110.923,110.963,110.810
109,9818.000,110.520,110.550,110.591,110.629,110.530
110,17632.000,110.360,110.390,110.434,110.469,110.370
111,18157.000,110.510,110.530,110.434,110.471,110.520
112,15619.000,110.600,110.630,110.528,110.558,110.620
113,17320.000,110.200,110.230,110.358,110.388,110.220
114,30562.000,110.010,110.030,110.268,110.296,110.020
115,74205.000,109.840,109.850,109.874,109.895,109.840
116,146241.000,109.970,110.010,109.875,109.891,109.980
117,93587.000,110.020,110.170,110.562,110.749,110.150
118,19276.000,110.610,110.690,110.524,110.633,110.640
119,15760.000,111.020,111.070,110.527,110.609,111.030
120,10297.000,112.060,112.210,111.665,111.760,112.100
121,9438.000,111.280,111.370,111.681,111.769,111.350
122,12369.000,111.530,111.610,111.517,111.592,111.580
123,7099.000,111.690,111.800,111.809,111.889,111.750
124,10057.000,111.740,111.770,111.885,111.973,111.740
125,17729.000,111.580,111.620,111.535,111.599,111.580
126,10874.000,111.760,111.830,111.581,111.639,111.730
127,6392.000,111.540,111.590,111.638,111.694,111.580
128,8541.000,111.700,111.740,111.720,111.767,111.800
129,10989.000,111.330,111.370,111.468,111.516,111.340
130,14393.000,111.490,111.530,111.306,111.349,111.520
131,9226.000,111.530,111.560,111.560,111.602,111.550
132,17592.000,111.680,111.700,111.702,111.741,111.690
133,10798.000,111.440,111.480,111.521,111.561,111.450
134,10611.000,111.220,111.260,111.215,111.255,111.290
135,11042.000,111.340,111.380,111.147,111.186,111.360
136,11670.000,111.240,111.310,111.206,111.252,111.300
137,13058.000,111.190,111.220,111.264,111.315,111.210
138,10094.000,111.070,111.150,111.012,111.061,111.090
139,8158.000,110.940,110.970,110.978,111.026,110.990
140,14348.000,110.490,110.530,110.632,110.668,110.520
141,9772.000,110.860,110.900,110.699,110.747,110.870
142,10087.000,111.070,111.090,110.936,110.987,111.090
143,9016.000,111.280,111.310,111.131,111.174,111.280
144,10986.000,111.090,111.120,111.264,111.311,111.100
145,10238.000,111.040,111.100,111.108,111.154,111.090
146,7143.000,111.120,111.170,111.167,111.212,111.160
147,8394.000,111.420,111.430,111.192,111.235,111.430
148,7991.000,111.610,111.620,111.483,111.515,111.590
149,11972.000,111.530,111.570,111.636,111.676,111.590
150,8747.000,111.610,111.630,111.527,111.563,111.610
151,8858.000,111.640,111.680,111.588,111.627,111.620
152,10738.000,111.670,111.730,111.661,111.694,111.720
153,16121.000,111.870,111.910,111.836,111.863,111.930
154,30844.000,111.550,111.580,111.716,111.736,111.560
155,188394.000,111.760,111.780,111.639,111.653,111.780
156,129657.000,114.670,114.800,114.655,114.853,114.840
157,23612.000,114.370,114.480,114.567,114.700,114.480
158,26324.000,114.950,115.130,114.768,114.903,115.040
159,26574.000,114.960,115.030,114.915,115.031,115.030
160,13024.000,114.410,114.510,114.555,114.658,114.460
161,14753.000,114.320,114.390,114.376,114.466,114.320
162,22081.000,114.130,114.190,114.217,114.302,114.120
163,15423.000,114.070,114.130,114.255,114.328,114.100
164,15300.000,113.370,113.440,113.770,113.844,113.420
165,10661.000,113.770,113.850,113.814,113.889,113.770
166,7608.000,114.380,114.430,114.092,114.155,114.440
167,14227.000,114.590,114.650,114.442,114.505,114.610
168,9685.000,115.230,115.270,115.011,115.071,115.150
169,15712.000,115.020,115.060,115.304,115.360,115.070
170,10002.000,114.890,114.980,114.865,114.925,114.970
171,14120.000,115.340,115.390,115.157,115.213,115.360
172,10718.000,114.510,114.580,114.912,114.972,114.580
173,14207.000,114.630,114.680,114.620,114.681,114.650
174,12999.000,114.820,114.870,114.800,114.862,114.810
175,13102.000,114.370,114.450,114.785,114.844,114.400
176,11912.000,114.150,114.210,114.241,114.299,114.180
177,16635.000,114.200,114.240,114.203,114.255,114.210
178,17648.000,114.470,114.510,114.378,114.423,114.510
179,22232.000,114.330,114.390,114.452,114.498,114.360
180,18041.000,114.170,114.210,114.218,114.263,114.210
181,14709.000,114.080,114.120,114.133,114.183,114.120
182,9751.000,114.170,114.200,113.977,114.020,114.170
183,9610.000,113.900,113.960,114.162,114.207,113.950
184,8057.000,113.840,113.900,113.928,113.978,113.860
185,6334.000,113.920,113.960,113.841,113.889,113.960
186,6879.000,113.900,113.930,113.917,113.960,113.930
187,8565.000,114.020,114.050,114.043,114.079,114.030
188,5831.000,113.860,113.890,113.870,113.906,113.920
189,8603.000,113.750,113.790,113.750,113.794,113.760
190,15364.000,113.750,113.780,113.664,113.698,113.760
191,11225.000,113.840,113.870,113.850,113.887,113.850
192,21378.000,113.560,113.580,113.760,113.792,113.580
193,33766.000,113.740,113.770,113.655,113.678,113.740
194,188329.000,113.400,113.410,113.647,113.662,113.410
195,77538.000,114.930,115.090,114.998,115.184,114.940
196,13910.000,114.080,114.240,114.697,114.812,114.210
197,10765.000,113.810,113.930,113.998,114.097,113.880
198,6848.000,113.180,113.270,113.503,113.602,113.180
199,7983.000,113.150,113.220,113.247,113.333,113.190
200,8038.000,113.010,113.160,112.973,113.065,112.900
201,6000.000,112.280,112.370,112.375,112.497,112.250
202,6270.000,113.110,113.180,112.818,112.899,113.120
203,8896.000,113.410,113.470,113.320,113.385,113.400
204,3887.000,113.820,113.860,113.590,113.658,113.750
205,11208.000,114.200,114.270,113.952,114.018,114.240
206,13084.000,114.130,114.240,114.148,114.235,114.200
207,6941.000,114.040,114.130,114.120,114.216,113.990
208,6541.000,113.680,113.740,113.944,114.021,113.700
209,2460.000,113.760,113.840,113.628,113.695,113.820
210,5924.000,113.960,114.020,113.936,114.008,113.920
211,3030.000,113.950,114.000,113.912,113.979,113.920
212,7787.000,114.020,114.120,113.941,114.011,114.050
213,4442.000,114.120,114.160,114.035,114.107,114.140
214,11656.000,114.010,114.050,114.056,114.113,114.000
215,11946.000,113.850,113.930,113.950,114.011,113.870
216,14882.000,114.050,114.090,114.020,114.079,114.070
217,8429.000,113.990,114.040,114.069,114.132,114.010
218,7345.000,114.130,114.190,114.119,114.180,114.190
219,4808.000,114.240,114.300,114.160,114.222,114.270
220,6211.000,114.310,114.360,114.259,114.327,114.320
221,14196.000,114.260,114.320,114.289,114.356,114.300
222,20406.000,113.060,113.190,113.377,113.539,113.100
223,8693.000,113.690,113.780,113.414,113.511,113.710
224,10254.000,113.830,113.920,113.660,113.733,113.860
225,29616.000,113.170,113.340,113.551,113.660,113.160
226,7325.000,113.340,113.510,113.278,113.437,113.430
227,9238.000,113.270,113.420,113.142,113.281,113.170
228,8260.000,113.880,114.040,113.685,113.813,114.050
229,19882.000,113.750,113.870,114.001,114.103,113.750
230,8710.000,112.990,113.020,113.494,113.575,113.000
231,17034.000,112.860,112.950,112.834,112.907,112.910
232,19145.000,113.090,113.140,113.001,113.046,113.090
233,157757.000,112.860,112.890,113.040,113.063,112.880
234,55232.000,112.450,112.600,111.902,112.090,112.490
235,6156.000,112.270,112.450,112.304,112.460,112.400
236,9100.000,111.540,111.700,112.120,112.251,111.640
237,20149.000,111.170,111.260,111.358,111.453,111.230
238,9143.000,111.340,111.400,111.089,111.186,111.390
239,16582.000,111.240,111.330,111.188,111.267,111.310
240,10954.000,111.820,111.910,111.423,111.490,111.870
241,13751.000,112.010,112.070,112.100,112.174,112.030
242,11272.000,112.030,112.090,111.991,112.060,112.070
243,7444.000,111.820,111.880,112.125,112.190,111.810
244,6747.000,111.630,111.680,111.597,111.662,111.650
245,13442.000,111.130,111.190,111.386,111.445,111.130
246,7078.000,110.780,110.840,110.915,110.978,110.800
247,8549.000,110.550,110.590,110.558,110.618,110.550
248,9142.000,110.880,110.910,110.789,110.847,110.900
249,9911.000,111.420,111.480,111.122,111.181,111.440
250,13386.000,111.630,111.680,111.521,111.575,111.660
251,8489.000,111.690,111.740,111.624,111.675,111.710
252,13466.000,111.640,111.700,111.719,111.770,111.680
253,10888.000,111.680,111.740,111.667,111.719,111.700
254,13144.000,112.050,112.090,111.912,111.965,112.040
255,11347.000,111.740,111.810,111.911,111.960,111.820
256,11142.000,111.620,111.660,111.823,111.869,111.640
257,5900.000,111.890,111.940,111.759,111.808,111.950
258,9321.000,111.980,112.020,111.952,111.997,112.000
259,23148.000,111.820,111.840,111.982,112.019,111.840
260,11742.000,112.050,112.120,111.963,111.999,112.050
261,16137.000,111.900,111.930,112.009,112.045,111.920
262,14590.000,112.160,112.170,112.110,112.148,112.180
263,18235.000,112.080,112.120,112.123,112.157,112.090
264,16234.000,112.400,112.440,112.231,112.266,112.360
265,14039.000,112.320,112.390,112.451,112.490,112.360
266,16483.000,112.860,112.890,112.585,112.621,112.880
267,19545.000,112.900,112.920,112.750,112.792,112.900
268,20975.000,112.370,112.430,112.627,112.668,112.380
269,17276.000,112.470,112.500,112.414,112.455,112.480
270,26605.000,112.660,112.710,112.660,112.696,112.650
271,38313.000,112.350,112.390,112.608,112.642,112.370
272,190896.000,112.550,112.590,112.343,112.360,112.550
273,809171.000,109.440,109.580,110.249,110.435,109.440
274,16630.000,109.460,109.590,109.334,109.464,109.450
275,22349.000,109.770,109.870,109.556,109.667,109.840
276,16563.000,109.640,109.710,109.719,109.819,109.700
277,13269.000,109.730,109.790,109.516,109.602,109.700
278,8774.000,109.320,109.360,109.396,109.470,109.360
279,10656.000,109.280,109.340,109.232,109.296,109.330
280,8675.000,109.440,109.530,109.556,109.618,109.490
281,8963.000,109.400,109.440,109.316,109.375,109.410
282,7569.000,109.790,109.860,109.686,109.744,109.810
283,9379.000,109.850,109.910,109.793,109.860,109.860
284,6915.000,110.000,110.070,109.955,110.013,110.080
285,9061.000,110.320,110.370,110.211,110.266,110.370
286,4903.000,110.080,110.150,110.243,110.296,110.120
287,6972.000,109.890,109.950,109.900,109.952,109.920
288,18298.000,110.580,110.660,110.657,110.736,110.650
289,7615.000,110.320,110.390,110.307,110.370,110.330
290,8515.000,110.160,110.200,110.207,110.261,110.180
291,7590.000,110.270,110.320,110.331,110.384,110.310
292,5367.000,110.320,110.370,110.227,110.282,110.340
293,8683.000,109.880,109.930,110.106,110.158,109.890
294,9305.000,109.850,109.900,109.857,109.907,109.900
295,9142.000,109.640,109.690,109.817,109.865,109.690
296,7187.000,109.850,109.900,109.715,109.763,109.890
297,6565.000,109.870,109.940,109.965,110.012,109.920
298,7076.000,109.760,109.790,109.774,109.821,109.790
299,16289.000,109.930,109.990,109.743,109.790,109.790
300,18964.000,109.820,109.850,109.820,109.864,109.900
301,13841.000,109.980,110.040,109.966,110.010,109.970
302,12233.000,109.960,109.990,109.923,109.964,109.970
303,33149.000,109.960,109.980,109.971,110.012,109.990
304,20027.000,110.140,110.180,110.006,110.042,110.110
305,49993.000,110.350,110.370,110.343,110.382,110.370
306,11547.000,110.100,110.150,110.185,110.226,110.120
307,34816.000,110.410,110.430,110.288,110.326,110.430
308,22645.000,110.600,110.640,110.551,110.587,110.590
309,24709.000,110.690,110.710,110.650,110.681,110.700
310,62465.000,110.750,110.800,110.665,110.687,110.780
311,380857.000,110.400,110.410,110.652,110.676,110.400
312,74310.000,112.070,112.240,112.170,112.358,112.090
313,20451.000,111.880,112.000,111.740,111.871,111.970
314,12241.000,111.900,111.970,111.739,111.852,111.860
315,11526.000,112.130,112.270,112.007,112.118,112.210
316,5757.000,112.200,112.300,112.095,112.188,112.240
317,6219.000,111.910,111.980,112.112,112.191,111.820
318,4881.000,111.060,111.190,111.436,111.508,111.160
319,8828.000,111.310,111.380,111.345,111.403,111.390
320,5573.000,111.380,111.440,111.220,111.279,111.380
321,5830.000,111.690,111.730,111.663,111.732,111.720
322,4073.000,111.860,111.930,111.756,111.819,111.870
323,5299.000,112.170,112.250,112.106,112.170,112.230
324,16953.000,111.850,111.870,112.038,112.096,111.840
325,8943.000,112.000,112.050,111.971,112.024,112.020
326,15386.000,111.780,111.830,111.894,111.947,111.800
327,9633.000,111.600,111.670,111.657,111.707,111.630
328,2829.000,111.510,111.570,111.626,111.681,111.550
329,6588.000,111.530,111.560,111.503,111.550,111.540
330,8025.000,111.390,111.450,111.478,111.532,111.440
331,2710.000,110.960,111.010,111.073,111.127,111.010
332,8586.000,111.100,111.120,110.972,111.017,111.120
333,4158.000,111.110,111.160,111.020,111.069,111.080
334,3227.000,111.140,111.190,111.098,111.147,111.150
335,7185.000,111.080,111.150,111.178,111.219,111.130
336,2790.000,111.070,111.100,111.038,111.083,111.080
337,4997.000,110.930,110.970,110.853,110.899,110.960
338,4250.000,110.850,110.880,110.865,110.904,110.860
339,8141.000,110.670,110.700,110.696,110.745,110.640
340,14199.000,110.330,110.390,110.448,110.490,110.400
341,6410.000,109.910,109.940,110.192,110.237,109.910
342,9554.000,109.860,109.900,109.836,109.879,109.890
343,4466.000,109.820,109.860,109.855,109.891,109.790
344,7792.000,109.770,109.800,109.765,109.802,109.780
345,9666.000,109.730,109.770,109.749,109.785,109.730
346,5022.000,110.140,110.180,109.896,109.932,110.110
347,4950.000,110.120,110.140,110.112,110.147,110.200
348,10172.000,110.190,110.200,110.235,110.263,110.200
349,22474.000,110.490,110.500,110.389,110.411,110.490
350,199355.000,110.440,110.450,110.514,110.529,110.430
351,84178.000,111.540,111.640,110.971,111.118,111.350
352,9898.000,111.510,111.650,111.652,111.756,111.630
353,13217.000,111.850,111.930,111.699,111.791,111.930
354,8204.000,112.030,112.090,111.972,112.045,112.040
355,10914.000,112.490,112.600,112.387,112.477,112.500
356,15942.000,112.740,112.820,112.725,112.814,112.770
357,7424.000,112.940,113.010,112.814,112.897,113.080
358,10208.000,112.610,112.690,112.619,112.686,112.700
359,5302.000,112.880,112.930,112.709,112.770,112.880
360,7097.000,112.560,112.620,112.616,112.680,112.590
361,8353.000,112.600,112.660,112.636,112.697,112.640
362,6551.000,112.290,112.350,112.610,112.670,112.350
363,7250.000,112.500,112.530,112.433,112.484,112.530
364,10646.000,112.750,112.790,112.637,112.685,112.750
365,10295.000,112.780,112.830,112.772,112.814,112.790
366,6252.000,112.850,112.910,112.854,112.898,112.860
367,8899.000,112.520,112.570,112.766,112.813,112.590
368,6278.000,112.340,112.390,112.465,112.516,112.370
369,6622.000,112.150,112.190,112.249,112.306,112.130
370,10835.000,112.550,112.580,112.403,112.453,112.550
371,14879.000,112.800,112.830,112.630,112.678,112.820
372,8094.000,112.970,113.000,112.905,112.950,112.990
373,7924.000,113.190,113.260,113.062,113.107,113.220
374,5027.000,113.430,113.460,113.292,113.336,113.450
375,9363.000,113.590,113.650,113.523,113.566,113.650
376,4019.000,113.400,113.440,113.575,113.620,113.400
377,6955.000,113.360,113.400,113.469,113.509,113.420
378,6210.000,113.230,113.260,113.324,113.366,113.230
379,8758.000,113.340,113.370,113.319,113.356,113.330
380,11664.000,113.180,113.220,113.195,113.234,113.200
381,15121.000,113.350,113.360,113.237,113.281,113.310
382,11198.000,113.520,113.570,113.439,113.489,113.540
383,15655.000,113.210,113.260,113.418,113.456,113.260
384,12343.000,113.110,113.140,113.050,113.089,113.090
385,7782.000,112.950,112.980,113.013,113.052,112.950
386,12579.000,113.060,113.100,112.986,113.022,113.060
387,15813.000,113.210,113.240,113.062,113.091,113.220
388,25022.000,113.380,113.390,113.317,113.343,113.390
389,106940.000,112.660,112.670,112.895,112.925,112.670
390,191025.000,114.730,114.790,114.985,115.101,114.820
391,34782.000,114.210,114.320,114.431,114.537,114.210
392,26381.000,113.830,113.930,114.055,114.138,113.930
393,15815.000,114.300,114.390,113.922,114.000,114.340
394,11206.000,114.380,114.450,114.421,114.494,114.370
395,9973.000,114.970,115.140,114.764,114.838,115.100
396,16402.000,115.850,115.940,115.475,115.565,115.870
397,12694.000,115.940,115.990,115.915,115.971,115.970
398,15386.000,115.910,115.980,115.940,115.991,115.950
399,10982.000,116.030,116.070,116.037,116.093,116.010
400,8556.000,115.740,115.810,115.977,116.046,115.750
401,7602.000,115.630,115.680,115.705,115.759,115.650
402,5172.000,115.330,115.380,115.464,115.512,115.330
403,4888.000,115.740,115.800,115.469,115.519,115.710
404,4566.000,115.660,115.720,115.628,115.678,115.720
405,6117.000,115.750,115.780,115.700,115.751,115.770
406,4266.000,115.840,115.880,115.876,115.924,115.870
407,9240.000,115.850,115.900,115.816,115.857,115.860
408,10677.000,116.170,116.230,116.078,116.120,116.190
409,14842.000,116.090,116.130,116.147,116.185,116.110
410,10440.000,116.240,116.280,116.126,116.166,116.270
411,9410.000,116.310,116.340,116.226,116.267,116.290
412,10185.000,116.390,116.440,116.391,116.426,116.430
413,7583.000,116.030,116.060,116.185,116.229,116.040
414,6226.000,115.950,116.000,115.985,116.025,115.970
415,5920.000,116.110,116.140,115.977,116.020,116.120
416,7182.000,116.410,116.420,116.307,116.349,116.410
417,8672.000,116.380,116.430,116.494,116.534,116.410
418,7372.000,116.380,116.410,116.345,116.386,116.370
419,4951.000,116.020,116.070,116.183,116.225,116.050
420,9653.000,116.260,116.300,116.163,116.206,116.240
421,6676.000,116.360,116.390,116.305,116.344,116.380
422,8023.000,116.210,116.240,116.224,116.262,116.210
423,8010.000,116.110,116.150,116.210,116.249,116.120
424,7509.000,116.000,116.040,116.060,116.099,115.930
425,12102.000,115.820,115.850,115.992,116.031,115.840
426,12102.000,116.020,116.040,115.855,115.887,116.020
427,31758.000,116.130,116.140,116.027,116.051,116.130
428,130795.000,116.270,116.280,116.035,116.050,116.280
