,volume,bid,ask,avg_bid,avg_ask,last_trade
0,132514.000,173.000,173.120,172.745,172.919,173.030
1,19909.000,172.650,172.730,173.084,173.173,172.660
2,6665.000,173.160,173.250,172.757,172.834,173.140
3,17444.000,173.070,173.140,173.274,173.343,173.030
4,25697.000,173.570,173.620,173.327,173.398,173.520
5,12694.000,174.250,174.340,173.773,173.833,174.280
6,17543.000,173.670,173.720,173.927,173.986,173.690
7,22615.000,173.590,173.630,173.597,173.645,173.610
8,17615.000,173.530,173.580,173.511,173.557,173.570
9,14039.000,172.340,172.370,173.021,173.073,172.390
10,28022.000,171.840,171.910,171.733,171.790,171.850
11,19582.000,171.700,171.740,171.474,171.526,171.730
12,18966.000,171.420,171.460,171.744,171.793,171.470
13,6797.000,171.750,171.810,171.845,171.889,171.780
14,15308.000,172.140,172.190,171.755,171.798,172.070
15,28777.000,173.050,173.100,172.672,172.719,173.040
16,17928.000,173.030,173.070,173.022,173.069,173.020
17,8802.000,173.060,173.090,173.040,173.083,173.050
18,10245.000,173.100,173.150,173.190,173.233,173.000
19,6504.000,172.760,172.800,172.931,172.972,172.770
20,4053.000,172.250,172.280,172.437,172.476,172.240
21,4638.000,172.240,172.280,172.166,172.206,172.270
22,14915.000,172.220,172.260,172.190,172.231,172.240
23,13320.000,172.080,172.100,172.139,172.170,172.090
24,16670.000,172.200,172.240,172.034,172.072,172.260
25,16554.000,171.670,171.700,171.933,171.974,171.610
26,5068.000,171.240,171.290,171.356,171.398,171.290
27,9526.000,171.360,171.400,171.159,171.201,171.400
28,10637.000,171.870,171.930,171.685,171.727,171.890
29,5430.000,171.960,172.010,171.802,171.845,171.990
30,14121.000,172.520,172.540,172.208,172.247,172.530
31,5858.000,172.450,172.490,172.467,172.505,172.450
32,6304.000,172.230,172.270,172.303,172.342,172.250
33,38350.000,172.360,172.410,172.500,172.540,172.360
34,29108.000,172.190,172.220,172.337,172.376,172.220
35,12444.000,172.400,172.430,172.122,172.157,172.410
36,21426.000,172.260,172.290,172.298,172.333,172.280
37,18047.000,172.190,172.220,172.213,172.241,172.210
38,109301.000,172.450,172.460,172.354,172.379,172.480
39,136953.000,175.230,175.350,175.162,175.326,175.450
40,24329.000,175.400,175.500,175.237,175.329,175.440
41,45070.000,176.080,176.130,175.948,176.005,176.130
42,40960.000,176.140,176.220,176.169,176.221,176.180
43,37220.000,175.430,175.490,175.873,175.925,175.500
44,22943.000,175.380,175.430,175.543,175.594,175.410
45,33979.000,174.340,174.380,174.804,174.851,174.390
46,26492.000,173.980,174.010,174.079,174.125,173.990
47,24215.000,173.260,173.310,173.702,173.745,173.350
48,23519.000,172.640,172.700,173.074,173.115,172.680
49,19712.000,173.690,173.740,173.268,173.311,173.740
50,14299.000,173.650,173.710,173.551,173.595,173.720
51,17544.000,173.710,173.760,173.440,173.487,173.700
52,17677.000,173.900,173.950,173.871,173.917,173.940
53,8726.000,173.860,173.900,173.842,173.886,173.900
54,6764.000,173.820,173.880,173.716,173.758,173.840
55,5958.000,173.530,173.560,173.729,173.772,173.520
56,13534.000,173.530,173.560,173.543,173.585,173.540
57,14801.000,173.590,173.630,173.580,173.619,173.610
58,13205.000,173.530,173.570,173.597,173.631,173.520
59,10237.000,173.400,173.430,173.340,173.379,173.420
60,6254.000,173.490,173.530,173.503,173.544,173.490
61,7765.000,173.580,173.640,173.589,173.631,173.640
62,10391.000,173.900,173.950,173.623,173.664,173.890
63,11471.000,173.980,174.020,173.772,173.813,173.980
64,8002.000,174.140,174.170,174.083,174.125,174.070
65,3749.000,173.900,173.930,173.917,173.956,173.930
66,11192.000,173.620,173.670,173.611,173.656,173.630
67,8472.000,173.280,173.330,173.356,173.400,173.250
68,8237.000,172.750,172.800,172.981,173.021,172.800
69,11408.000,172.910,172.940,172.825,172.865,172.960
70,12529.000,172.380,172.400,172.590,172.627,172.400
71,8427.000,172.690,172.730,172.608,172.648,172.700
72,8589.000,172.190,172.230,172.300,172.337,172.190
73,13449.000,172.550,172.600,172.235,172.272,172.590
74,19693.000,172.700,172.750,172.667,172.704,172.730
75,17224.000,172.620,172.650,172.529,172.564,172.630
76,19271.000,172.630,172.670,172.623,172.649,172.630
77,251788.000,173.390,173.420,172.907,172.927,173.400
78,155183.000,172.160,172.230,172.503,172.657,172.200
79,37271.000,171.850,171.930,171.893,171.976,171.880
80,27549.000,171.100,171.200,171.583,171.640,171.150
81,65573.000,171.820,171.870,171.584,171.651,171.820
82,13023.000,171.290,171.350,171.428,171.484,171.280
83,19884.000,170.990,171.040,171.060,171.111,170.990
84,14348.000,170.790,170.840,170.692,170.738,170.810
85,18077.000,170.010,170.040,170.408,170.450,170.080
86,29964.000,170.420,170.460,170.149,170.188,170.440
87,13866.000,170.790,170.830,170.738,170.782,170.780
88,10029.000,170.880,170.920,170.770,170.812,171.040
89,16833.000,170.900,170.960,170.873,170.913,170.900
90,15217.000,170.820,170.860,170.820,170.861,170.820
91,17931.000,171.180,171.210,171.014,171.051,171.170
92,10680.000,171.240,171.270,171.140,171.176,171.220
93,14479.000,170.780,170.800,170.883,170.922,170.780
94,35886.000,169.930,169.950,170.395,170.431,169.930
95,26352.000,169.510,169.570,169.622,169.659,169.540
96,11703.000,169.580,169.620,169.539,169.576,169.580
97,33258.000,169.270,169.310,169.553,169.587,169.320
98,8621.000,169.650,169.690,169.517,169.552,169.650
99,9729.000,169.450,169.470,169.618,169.655,169.460
100,9394.000,169.000,169.040,169.358,169.395,169.050
101,18789.000,169.010,169.040,168.931,168.966,169.020
102,10881.000,169.260,169.300,169.163,169.195,169.300
103,11806.000,169.030,169.070,169.170,169.204,169.050
104,6987.000,169.200,169.220,169.137,169.172,169.210
105,9221.000,168.800,168.840,168.943,168.978,168.870
106,11615.000,168.940,168.980,168.908,168.942,168.950
107,11375.000,169.330,169.370,168.994,169.028,169.370
108,9970.000,169.460,169.480,169.444,169.481,169.460
109,11091.000,169.330,169.370,169.275,169.310,169.290
110,22296.000,169.060,169.070,169.231,169.261,169.060
111,27353.000,169.090,169.110,169.112,169.144,169.100
112,31057.000,169.200,169.230,169.131,169.162,169.230
113,29422.000,168.770,168.800,168.926,168.957,168.790
114,31511.000,168.330,168.350,168.663,168.690,168.330
115,65585.000,168.040,168.070,168.280,168.304,168.050
116,213812.000,167.950,167.970,168.071,168.090,167.950
117,301107.000,168.000,168.070,168.401,168.543,168.040
118,68611.000,168.580,168.650,168.513,168.576,168.700
119,17823.000,168.560,168.620,168.305,168.369,168.580
120,15323.000,169.800,169.900,169.634,169.703,169.870
121,16695.000,169.360,169.410,169.621,169.689,169.360
122,20962.000,169.590,169.640,169.588,169.645,169.640
123,17103.000,169.690,169.750,169.886,169.940,169.740
124,14365.000,169.780,169.840,169.934,169.987,169.820
125,9564.000,169.530,169.570,169.595,169.646,169.580
126,18186.000,169.740,169.790,169.621,169.669,169.760
127,9606.000,169.610,169.670,169.607,169.653,169.640
128,7219.000,169.870,169.910,169.890,169.934,169.890
129,9332.000,169.780,169.840,169.726,169.771,169.770
130,8092.000,169.660,169.690,169.636,169.682,169.670
131,16461.000,169.580,169.610,169.680,169.721,169.630
132,8615.000,169.970,170.010,169.887,169.931,169.980
133,10264.000,170.030,170.070,169.948,169.991,170.060
134,10134.000,169.630,169.680,169.772,169.814,169.690
135,8384.000,169.620,169.660,169.496,169.535,169.670
136,6797.000,169.600,169.630,169.612,169.654,169.640
137,8579.000,169.620,169.660,169.663,169.699,169.640
138,13957.000,169.290,169.330,169.377,169.416,169.290
139,7005.000,169.260,169.280,169.264,169.305,169.280
140,7728.000,169.120,169.150,169.129,169.167,169.090
141,6310.000,169.360,169.400,169.248,169.286,169.380
142,6347.000,169.400,169.430,169.391,169.427,169.420
143,18868.000,169.320,169.350,169.309,169.344,169.340
144,12791.000,169.190,169.230,169.342,169.380,169.210
145,5013.000,169.230,169.270,169.226,169.264,169.250
146,6007.000,169.480,169.530,169.484,169.523,169.540
147,6498.000,169.800,169.830,169.578,169.612,169.830
148,10646.000,169.710,169.740,169.802,169.834,169.730
149,32923.000,169.800,169.820,169.804,169.839,169.840
150,13618.000,169.890,169.920,169.773,169.809,169.880
151,26690.000,169.790,169.840,169.766,169.806,169.830
152,14268.000,170.020,170.050,169.860,169.895,170.040
153,37270.000,170.300,170.320,170.262,170.295,170.310
154,33175.000,169.970,169.990,170.088,170.115,169.980
155,384961.000,169.740,169.750,170.010,170.032,169.750
156,124738.000,173.300,173.380,172.907,173.072,173.410
157,34972.000,173.450,173.500,173.452,173.547,173.500
158,17472.000,174.170,174.240,174.048,174.122,174.170
159,17230.000,174.210,174.270,174.203,174.275,174.240
160,20261.000,173.300,173.350,173.632,173.694,173.330
161,19625.000,173.220,173.270,173.260,173.316,173.190
162,17657.000,173.250,173.300,173.331,173.382,173.300
163,11456.000,173.680,173.720,173.817,173.871,173.650
164,14561.000,172.580,172.620,173.142,173.191,172.580
165,17512.000,173.060,173.110,173.082,173.132,173.060
166,11327.000,173.500,173.550,173.216,173.264,173.540
167,8817.000,173.660,173.720,173.492,173.541,173.720
168,15116.000,173.890,173.940,173.986,174.031,173.930
169,25421.000,173.530,173.570,173.885,173.928,173.620
170,11926.000,173.730,173.760,173.497,173.540,173.640
171,16223.000,174.030,174.080,173.843,173.886,174.010
172,22432.000,173.300,173.350,173.695,173.742,173.370
173,36784.000,172.970,173.010,173.221,173.266,173.000
174,28351.000,173.280,173.330,173.175,173.218,173.290
175,21106.000,172.870,172.890,173.261,173.307,172.900
176,14835.000,172.770,172.810,172.782,172.829,172.810
177,16537.000,172.910,172.960,172.950,172.996,172.950
178,23210.000,173.290,173.350,173.097,173.140,173.380
179,10444.000,173.300,173.330,173.393,173.435,173.310
180,12745.000,173.210,173.250,173.317,173.359,173.260
181,14145.000,173.540,173.570,173.404,173.446,173.550
182,19957.000,173.880,173.910,173.597,173.634,173.910
183,16075.000,173.620,173.660,173.915,173.958,173.640
184,11487.000,173.370,173.410,173.590,173.629,173.380
185,13124.000,173.480,173.510,173.332,173.372,173.490
186,10579.000,173.500,173.540,173.468,173.510,173.480
187,8675.000,173.720,173.750,173.677,173.716,173.760
188,16805.000,173.390,173.430,173.469,173.505,173.420
189,18741.000,173.200,173.240,173.138,173.178,173.240
190,12649.000,173.440,173.460,173.273,173.310,173.460
191,21353.000,173.560,173.590,173.565,173.601,173.580
192,18606.000,173.330,173.360,173.559,173.597,173.390
193,30317.000,173.530,173.540,173.503,173.532,173.530
194,175454.000,173.590,173.620,173.736,173.757,173.570
195,99228.000,174.470,174.550,174.520,174.672,174.590
196,27919.000,173.810,173.890,174.295,174.375,173.860
197,11954.000,173.780,173.830,173.981,174.055,173.780
198,14220.000,173.050,173.090,173.490,173.554,173.080
199,22956.000,173.140,173.180,173.019,173.073,173.230
200,9909.000,172.660,172.700,172.708,172.764,172.570
201,29148.000,171.400,171.470,171.762,171.826,171.440
202,19381.000,172.160,172.210,171.888,171.944,172.240
203,6908.000,172.690,172.740,172.413,172.466,172.730
204,9691.000,173.050,173.100,172.868,172.921,173.090
205,10459.000,173.460,173.500,173.216,173.268,173.520
206,16876.000,173.540,173.570,173.477,173.524,173.560
207,8304.000,173.550,173.590,173.487,173.534,173.520
208,15915.000,173.140,173.190,173.536,173.582,173.160
209,7387.000,173.250,173.280,173.122,173.163,173.240
210,5494.000,173.310,173.350,173.357,173.400,173.380
211,4326.000,173.490,173.540,173.348,173.392,173.520
212,5044.000,173.770,173.800,173.604,173.649,173.810
213,6448.000,173.850,173.900,173.749,173.793,173.880
214,7718.000,173.920,173.960,173.919,173.956,173.950
215,7137.000,173.630,173.670,173.855,173.892,173.760
216,11748.000,174.000,174.030,173.919,173.957,173.950
217,11628.000,173.950,173.990,174.057,174.097,173.970
218,11041.000,174.020,174.060,174.091,174.131,174.040
219,10633.000,174.170,174.220,174.043,174.083,174.200
220,11330.000,174.230,174.260,174.180,174.224,174.220
221,11868.000,174.090,174.380,174.280,174.340,174.190
222,34688.000,172.750,172.860,173.102,173.242,172.780
223,21042.000,173.330,173.400,173.040,173.132,173.340
224,13439.000,173.580,173.650,173.379,173.443,173.590
225,22619.000,172.600,172.680,173.021,173.122,172.600
226,35040.000,172.630,172.740,172.568,172.683,172.900
227,12535.000,172.680,172.760,172.473,172.581,172.700
228,16903.000,173.510,173.630,173.185,173.281,173.620
229,22234.000,173.450,173.540,173.722,173.813,173.470
230,9193.000,172.600,172.650,173.172,173.244,172.850
231,12530.000,172.420,172.480,172.372,172.438,172.470
232,16333.000,172.660,172.700,172.538,172.584,172.640
233,121778.000,172.280,172.290,172.654,172.683,172.280
234,120335.000,171.300,171.360,170.829,170.998,171.160
235,23829.000,170.980,171.040,171.052,171.143,171.040
236,14681.000,170.230,170.290,170.762,170.838,170.230
237,12100.000,170.410,170.470,170.311,170.377,170.380
238,11628.000,170.660,170.720,170.350,170.413,170.660
239,15888.000,170.100,170.150,170.239,170.292,170.120
240,20729.000,170.510,170.580,170.137,170.192,170.540
241,18293.000,170.000,170.060,170.504,170.556,170.040
242,23207.000,169.710,169.760,169.788,169.837,169.760
243,20353.000,169.490,169.510,169.823,169.869,169.500
244,21216.000,169.370,169.430,169.324,169.371,169.470
245,16555.000,168.760,168.810,169.132,169.179,168.780
246,5103.000,168.580,168.610,168.594,168.640,168.500
247,9607.000,168.100,168.140,168.193,168.239,168.120
248,10807.000,168.420,168.450,168.385,168.428,168.470
249,5129.000,169.130,169.180,168.777,168.823,169.060
250,3002.000,169.560,169.590,169.325,169.372,169.650
251,6355.000,169.680,169.730,169.531,169.572,169.760
252,9942.000,169.590,169.630,169.634,169.675,169.540
253,4767.000,169.530,169.570,169.594,169.633,169.560
254,5993.000,170.070,170.120,169.851,169.890,170.090
255,3148.000,169.890,169.920,169.915,169.955,169.900
256,6508.000,169.680,169.720,169.966,170.005,169.700
257,2266.000,169.960,170.010,169.820,169.859,170.020
258,5781.000,170.010,170.040,170.012,170.049,170.000
259,7304.000,169.820,169.850,169.996,170.036,169.890
260,10038.000,170.090,170.120,169.937,169.972,170.090
261,5365.000,169.870,169.900,170.019,170.060,169.850
262,9060.000,170.000,170.040,170.021,170.059,170.030
263,11925.000,170.000,170.040,170.114,170.152,170.020
264,11217.000,170.390,170.430,170.158,170.197,170.390
265,7589.000,170.450,170.480,170.560,170.605,170.460
266,7386.000,170.830,170.860,170.586,170.625,170.870
267,14109.000,171.060,171.100,170.910,170.950,171.080
268,18559.000,170.610,170.650,170.846,170.886,170.610
269,8179.000,170.940,170.990,170.798,170.836,170.950
270,17113.000,170.960,170.990,170.950,170.987,170.950
271,30486.000,170.690,170.730,170.902,170.932,170.700
272,182541.000,170.970,171.000,170.649,170.672,170.990
273,1811501.000,167.260,167.430,168.259,168.424,167.310
274,48521.000,168.230,168.330,167.841,167.948,168.270
275,23046.000,168.730,168.780,168.467,168.543,168.740
276,30042.000,168.320,168.390,168.510,168.578,168.360
277,23471.000,168.150,168.210,168.148,168.209,168.140
278,18160.000,167.680,167.740,167.923,167.984,167.730
279,16953.000,167.770,167.810,167.720,167.777,167.830
280,14825.000,167.910,167.970,168.120,168.174,167.960
281,10668.000,167.840,167.870,167.747,167.798,167.850
282,7316.000,168.210,168.260,168.066,168.114,168.230
283,13440.000,167.970,168.020,168.066,168.121,168.000
284,11027.000,168.160,168.200,168.129,168.175,168.120
285,17206.000,168.470,168.540,168.439,168.488,168.530
286,17789.000,168.130,168.180,168.367,168.409,168.130
287,9786.000,167.920,167.960,167.967,168.010,167.970
288,15760.000,168.510,168.550,168.642,168.706,168.490
289,15895.000,168.140,168.180,168.147,168.195,168.180
290,13430.000,167.930,167.960,167.981,168.024,167.930
291,10271.000,167.890,167.930,167.971,168.010,167.890
292,13501.000,167.930,167.980,167.857,167.899,167.930
293,22555.000,167.350,167.410,167.633,167.676,167.430
294,9079.000,167.580,167.620,167.511,167.552,167.670
295,7906.000,167.540,167.580,167.655,167.695,167.590
296,6428.000,167.700,167.720,167.557,167.594,167.710
297,12008.000,167.560,167.600,167.758,167.795,167.560
298,13701.000,167.480,167.510,167.482,167.520,167.490
299,6989.000,167.760,167.790,167.636,167.672,167.780
300,12387.000,167.830,167.870,167.760,167.799,167.870
301,8226.000,168.430,168.450,168.138,168.177,168.390
302,8861.000,168.540,168.580,168.381,168.419,168.600
303,12391.000,168.390,168.430,168.473,168.509,168.390
304,9996.000,168.710,168.750,168.602,168.636,168.720
305,12649.000,169.180,169.220,169.036,169.071,169.210
306,10744.000,169.020,169.050,168.994,169.028,169.000
307,14320.000,169.350,169.380,169.325,169.366,169.390
308,17820.000,169.610,169.630,169.572,169.612,169.620
309,27941.000,169.800,169.830,169.835,169.873,169.810
310,40826.000,169.720,169.750,169.790,169.820,169.760
311,501837.000,168.990,169.000,169.737,169.774,168.970
312,96187.000,169.810,169.860,170.124,170.266,169.850
313,15153.000,169.740,169.820,169.541,169.618,169.700
314,13763.000,169.730,169.840,169.756,169.826,169.740
315,13259.000,170.310,170.350,170.118,170.181,170.330
316,12307.000,170.480,170.540,170.274,170.325,170.590
317,7761.000,170.000,170.040,170.305,170.351,170.020
318,17951.000,168.980,169.020,169.460,169.509,169.040
319,18122.000,169.310,169.360,169.322,169.368,169.400
320,10770.000,169.380,169.420,169.181,169.225,169.370
321,15635.000,169.540,169.580,169.538,169.582,169.590
322,15895.000,169.710,169.730,169.593,169.635,169.720
323,14121.000,170.170,170.210,169.937,169.978,170.230
324,12466.000,169.960,169.990,170.136,170.176,169.970
325,12187.000,170.360,170.390,170.226,170.266,170.320
326,10252.000,170.490,170.530,170.392,170.427,170.580
327,10479.000,170.320,170.370,170.391,170.426,170.350
328,13706.000,170.330,170.380,170.495,170.527,170.410
329,6937.000,170.300,170.330,170.301,170.340,170.300
330,8659.000,170.270,170.300,170.322,170.361,170.290
331,8597.000,169.870,169.910,169.969,170.009,169.850
332,8310.000,170.150,170.180,169.963,169.998,170.170
333,8232.000,170.170,170.210,170.068,170.103,170.180
334,7761.000,170.250,170.290,170.139,170.173,170.230
335,9384.000,170.150,170.200,170.241,170.274,170.170
336,7291.000,170.130,170.160,170.088,170.124,170.130
337,12554.000,170.050,170.090,169.953,169.987,170.060
338,12727.000,169.760,169.790,169.899,169.933,169.770
339,15026.000,169.310,169.350,169.463,169.500,169.290
340,12489.000,169.220,169.250,169.182,169.219,169.320
341,10681.000,168.620,168.660,169.009,169.045,168.630
342,9558.000,168.800,168.820,168.674,168.708,168.810
343,11282.000,168.460,168.510,168.566,168.600,168.470
344,11631.000,168.550,168.570,168.391,168.425,168.560
345,10620.000,168.440,168.480,168.491,168.522,168.470
346,8891.000,168.900,168.930,168.663,168.695,168.910
347,12551.000,168.900,168.920,168.891,168.919,168.920
