,volume,bid,ask,avg_bid,avg_ask,last_trade
0,166787.000,65.290,65.360,65.063,65.126,65.330
1,30862.000,64.550,64.600,64.997,65.044,64.600
2,41681.000,64.650,64.750,64.614,64.660,64.680
3,43707.000,64.400,64.440,64.597,64.638,64.400
4,65718.000,64.440,64.490,64.421,64.474,64.460
5,11678.000,64.750,64.850,64.530,64.575,64.800
6,31605.000,64.350,64.370,64.597,64.637,64.360
7,16562.000,64.310,64.350,64.354,64.385,64.360
8,29397.000,64.450,64.480,64.385,64.415,64.480
9,47309.000,63.890,63.920,64.260,64.289,63.920
10,66285.000,63.620,63.650,63.674,63.702,63.630
11,41489.000,63.620,63.660,63.546,63.576,63.660
12,21598.000,63.650,63.690,63.661,63.692,63.670
13,19707.000,63.720,63.750,63.785,63.812,63.770
14,16883.000,63.820,63.840,63.711,63.741,63.810
15,20081.000,64.050,64.080,63.929,63.959,64.080
16,36207.000,64.020,64.050,64.143,64.178,64.000
17,16571.000,64.000,64.030,64.018,64.047,64.010
18,12476.000,64.060,64.090,64.100,64.128,64.050
19,11489.000,63.980,63.990,64.029,64.056,64.020
20,14754.000,63.780,63.810,63.848,63.872,63.830
21,16835.000,63.930,63.940,63.812,63.838,63.940
22,9395.000,63.940,63.970,63.909,63.934,63.970
23,10224.000,64.020,64.040,64.016,64.042,64.030
24,17469.000,63.870,63.900,63.940,63.963,63.900
25,31294.000,63.780,63.800,63.781,63.806,63.780
26,30923.000,63.570,63.590,63.625,63.648,63.590
27,25480.000,63.660,63.690,63.568,63.591,63.690
28,22357.000,63.940,63.950,63.812,63.836,63.940
29,20890.000,64.010,64.030,63.932,63.956,64.010
30,20200.000,64.250,64.260,64.151,64.173,64.260
31,15641.000,64.310,64.330,64.250,64.270,64.310
32,21719.000,64.250,64.270,64.266,64.285,64.260
33,25041.000,64.290,64.310,64.368,64.388,64.300
34,22945.000,64.120,64.130,64.267,64.288,64.120
35,45437.000,64.120,64.140,64.101,64.118,64.130
36,42221.000,64.200,64.220,64.175,64.192,64.210
37,77165.000,64.140,64.150,64.138,64.152,64.140
38,160703.000,64.250,64.260,64.233,64.245,64.250
39,223889.000,65.050,65.080,65.411,65.478,65.070
40,40213.000,65.080,65.120,65.032,65.082,65.150
41,34514.000,65.410,65.440,65.409,65.448,65.430
42,32720.000,65.240,65.270,65.264,65.297,65.280
43,34855.000,64.750,64.780,64.977,65.010,64.760
44,13344.000,64.590,64.650,64.646,64.676,64.640
45,28088.000,64.240,64.260,64.347,64.377,64.320
46,22482.000,64.120,64.150,64.113,64.141,64.120
47,15264.000,63.770,63.800,63.985,64.012,63.810
48,27534.000,63.420,63.460,63.653,63.680,63.450
49,15459.000,63.760,63.790,63.636,63.664,63.790
50,13407.000,63.750,63.780,63.701,63.727,63.780
51,20777.000,63.810,63.840,63.640,63.666,63.830
52,18766.000,64.100,64.120,64.004,64.033,64.090
53,7564.000,63.910,63.940,63.948,63.974,63.940
54,9701.000,63.900,63.920,63.825,63.849,63.920
55,19189.000,63.810,63.830,63.878,63.904,63.820
56,15220.000,63.910,63.940,63.841,63.865,63.920
57,12177.000,63.810,63.830,63.895,63.919,63.840
58,9779.000,63.900,63.920,63.881,63.903,63.900
59,19034.000,63.690,63.720,63.730,63.752,63.720
60,14105.000,63.750,63.780,63.747,63.772,63.750
61,9206.000,63.730,63.750,63.710,63.733,63.750
62,9768.000,63.820,63.850,63.711,63.734,63.850
63,36765.000,63.710,63.740,63.669,63.691,63.700
64,19701.000,63.850,63.870,63.852,63.876,63.860
65,9074.000,63.820,63.840,63.802,63.824,63.830
66,34028.000,63.770,63.780,63.725,63.748,63.760
67,13923.000,63.670,63.690,63.714,63.735,63.680
68,16039.000,63.530,63.550,63.596,63.617,63.520
69,17837.000,63.420,63.440,63.496,63.516,63.440
70,17573.000,63.240,63.260,63.306,63.325,63.250
71,26114.000,63.390,63.410,63.347,63.365,63.380
72,15349.000,63.290,63.310,63.274,63.293,63.300
