,volume,bid,ask,avg_bid,avg_ask,last_trade
0,55958.000,129.450,129.630,129.025,129.301,129.510
1,7035.000,128.560,128.660,129.052,129.241,128.900
2,9838.000,128.430,128.760,128.408,128.576,128.690
3,9377.000,128.210,128.350,128.592,128.733,128.220
4,5278.000,128.370,128.520,128.207,128.380,128.480
5,6898.000,128.940,129.200,128.428,128.579,128.880
6,9272.000,128.110,128.190,128.488,128.670,128.160
7,5307.000,128.300,128.390,128.255,128.369,128.340
8,12687.000,128.170,128.250,128.202,128.292,128.230
9,8689.000,127.290,127.340,127.868,127.958,127.340
10,13475.000,127.440,127.550,127.055,127.163,127.380
11,7361.000,127.370,127.480,127.230,127.349,127.440
12,4614.000,127.160,127.200,127.411,127.503,127.160
13,6393.000,127.080,127.160,127.321,127.399,127.210
14,7100.000,127.030,127.100,126.938,127.015,127.050
15,7942.000,127.400,127.490,127.188,127.261,127.330
16,7028.000,127.160,127.270,127.287,127.351,127.190
17,6352.000,127.280,127.420,127.217,127.277,127.300
18,4195.000,127.460,127.510,127.537,127.618,127.410
19,4300.000,127.080,127.290,127.287,127.367,127.120
20,9136.000,126.640,126.870,126.811,126.907,126.830
21,3834.000,126.820,127.050,126.712,126.846,126.910
22,6988.000,126.420,126.480,126.627,126.724,126.470
23,16684.000,126.490,126.670,126.558,126.652,126.440
24,10236.000,126.470,126.550,126.414,126.541,126.520
25,9744.000,125.990,126.140,126.223,126.330,126.060
26,9775.000,125.610,125.730,125.689,125.795,125.630
27,10979.000,125.860,125.940,125.517,125.617,125.900
28,5250.000,126.530,126.650,126.252,126.358,126.590
29,4837.000,126.660,126.760,126.514,126.624,126.760
30,6702.000,126.950,127.040,126.908,127.005,126.980
31,6215.000,126.830,126.950,126.876,126.980,126.920
32,9293.000,126.750,126.840,126.751,126.849,126.810
33,13144.000,126.540,126.670,126.742,126.852,126.580
34,12371.000,126.190,126.240,126.414,126.515,126.220
35,9131.000,126.370,126.440,126.172,126.284,126.300
36,9254.000,126.130,126.210,126.225,126.308,126.180
37,10824.000,125.970,126.060,126.028,126.096,126.050
38,127122.000,126.150,126.160,126.156,126.201,126.150
39,62724.000,127.900,128.140,128.433,128.764,128.280
40,12859.000,127.840,128.010,127.881,128.077,128.020
41,30223.000,127.980,128.080,128.078,128.219,128.110
42,16605.000,127.320,127.360,127.628,127.762,127.440
43,11135.000,126.260,126.490,126.756,126.886,126.370
44,10267.000,126.200,126.260,126.393,126.542,126.290
45,22406.000,125.220,125.290,125.640,125.743,125.420
46,14574.000,125.150,125.210,124.984,125.094,125.030
47,6372.000,124.480,124.670,124.818,124.915,124.680
48,33802.000,123.860,123.950,124.337,124.435,123.920
49,8282.000,124.680,124.770,124.256,124.375,124.750
50,8830.000,124.810,124.860,124.716,124.801,124.810
51,14299.000,125.080,125.120,124.664,124.743,125.200
52,11109.000,125.900,125.980,125.618,125.705,125.980
53,9461.000,125.500,125.600,125.586,125.661,125.550
54,6399.000,125.710,125.800,125.492,125.569,125.610
55,7236.000,125.370,125.440,125.533,125.612,125.480
56,8891.000,125.240,125.290,125.184,125.258,125.270
57,11518.000,125.180,125.220,125.079,125.155,125.150
58,8988.000,125.120,125.140,125.171,125.234,125.120
59,8542.000,125.130,125.180,125.039,125.106,125.160
60,6006.000,125.150,125.210,125.201,125.279,125.090
61,9148.000,125.000,125.070,125.046,125.108,125.060
62,15144.000,125.090,125.170,124.932,124.984,125.080
63,12581.000,124.870,124.920,124.803,124.859,124.870
64,5273.000,125.210,125.260,125.065,125.132,125.120
65,5041.000,124.910,124.960,124.931,124.994,124.920
66,5382.000,124.560,124.730,124.594,124.664,124.580
67,7824.000,124.280,124.340,124.392,124.453,124.310
68,5833.000,123.930,123.960,124.060,124.122,123.950
69,37713.000,123.980,124.070,124.001,124.062,124.070
70,8541.000,123.610,123.690,123.812,123.873,123.670
71,6767.000,123.940,123.980,123.855,123.909,123.910
72,9207.000,123.760,123.800,123.733,123.787,123.780
73,10454.000,123.750,123.810,123.661,123.722,123.780
74,10101.000,123.530,123.560,123.624,123.676,123.550
75,14281.000,123.540,123.600,123.508,123.554,123.610
76,29076.000,123.860,123.920,123.624,123.663,123.860
77,89375.000,124.580,124.600,124.055,124.089,124.590
78,46039.000,125.420,125.620,125.561,125.836,125.540
79,12187.000,124.560,124.820,124.677,124.918,124.680
80,3850.000,124.010,124.210,124.229,124.438,124.100
81,5470.000,124.350,124.510,124.402,124.664,124.220
82,3632.000,123.590,123.820,123.984,124.178,123.770
83,2994.000,123.390,123.530,123.384,123.540,123.440
84,6321.000,123.120,123.230,123.093,123.220,123.120
85,9426.000,122.450,122.570,122.800,122.904,122.440
86,6610.000,122.930,123.020,122.686,122.791,122.950
87,7355.000,123.120,123.200,123.323,123.433,123.210
88,5475.000,123.530,123.630,123.243,123.346,123.550
89,4926.000,123.430,123.500,123.430,123.535,123.450
90,5011.000,123.210,123.330,123.284,123.376,123.270
91,7895.000,123.500,123.590,123.518,123.600,123.580
92,15784.000,123.770,123.840,123.499,123.577,123.800
93,9228.000,123.100,123.190,123.225,123.311,123.150
94,6767.000,122.930,122.990,123.121,123.204,122.970
95,7160.000,122.410,122.470,122.523,122.604,122.460
96,6039.000,122.260,122.340,122.307,122.378,122.280
97,14072.000,121.910,121.970,122.064,122.139,122.000
98,5591.000,122.420,122.490,122.223,122.297,122.460
99,6811.000,122.670,122.740,122.646,122.714,122.710
100,4951.000,122.050,122.120,122.543,122.614,122.330
101,6096.000,122.190,122.290,122.090,122.169,122.250
102,7912.000,122.340,122.410,122.264,122.333,122.350
103,8678.000,122.230,122.280,122.323,122.407,122.250
104,5573.000,122.370,122.410,122.370,122.441,122.430
105,5951.000,122.040,122.180,122.286,122.351,122.230
106,6031.000,122.300,122.330,122.223,122.305,122.330
107,5935.000,122.530,122.610,122.448,122.521,122.590
108,9320.000,122.800,122.850,122.696,122.769,122.780
109,5379.000,122.520,122.580,122.563,122.630,122.620
110,6161.000,122.490,122.580,122.433,122.500,122.550
111,11142.000,122.410,122.450,122.483,122.547,122.440
112,6314.000,122.530,122.660,122.487,122.547,122.560
113,7200.000,122.230,122.320,122.371,122.439,122.240
114,9163.000,121.950,122.000,122.170,122.219,121.990
115,16614.000,121.660,121.710,121.808,121.846,121.710
116,78981.000,121.660,121.710,121.618,121.650,121.670
117,49967.000,122.340,122.560,122.656,122.937,122.400
118,12037.000,123.110,123.360,122.907,123.105,123.190
119,6147.000,123.850,123.980,123.250,123.394,123.860
120,10364.000,124.820,124.910,124.454,124.590,124.920
121,5437.000,124.180,124.320,124.521,124.665,124.240
122,5769.000,124.330,124.450,124.397,124.533,124.420
123,8508.000,124.390,124.480,124.588,124.691,124.510
124,5700.000,124.490,124.580,124.670,124.768,124.650
125,5111.000,124.390,124.470,124.305,124.405,124.380
