,volume,bid,ask,avg_bid,avg_ask,last_trade
0,118192.000,36.640,36.700,36.579,36.644,36.690
1,38814.000,36.370,36.420,36.496,36.552,36.410
2,32551.000,36.430,36.470,36.384,36.419,36.440
3,24320.000,36.300,36.330,36.382,36.414,36.320
4,16337.000,36.430,36.470,36.379,36.418,36.440
5,12456.000,36.550,36.580,36.448,36.478,36.560
6,9436.000,36.300,36.330,36.435,36.470,36.300
7,12370.000,36.260,36.280,36.286,36.313,36.260
8,16495.000,36.270,36.300,36.280,36.305,36.280
9,19987.000,36.250,36.270,36.270,36.298,36.280
10,40263.000,36.280,36.310,36.230,36.257,36.300
11,13535.000,36.350,36.370,36.286,36.313,36.360
12,11043.000,36.270,36.290,36.338,36.364,36.260
13,16539.000,36.080,36.110,36.241,36.265,36.110
14,5769.000,36.130,36.150,36.084,36.107,36.140
15,11828.000,36.350,36.370,36.250,36.274,36.360
16,11536.000,36.260,36.280,36.328,36.352,36.290
17,9998.000,36.260,36.280,36.267,36.289,36.270
18,9737.000,36.280,36.290,36.288,36.308,36.270
19,6791.000,36.260,36.280,36.259,36.279,36.260
20,13314.000,36.300,36.320,36.273,36.290,36.310
21,12469.000,36.500,36.520,36.405,36.427,36.510
22,11795.000,36.590,36.620,36.615,36.640,36.620
23,12147.000,36.620,36.630,36.641,36.663,36.620
24,8536.000,36.540,36.560,36.573,36.594,36.560
25,9573.000,36.430,36.450,36.476,36.496,36.440
26,10503.000,36.400,36.430,36.432,36.451,36.420
27,8287.000,36.330,36.340,36.306,36.326,36.340
28,9918.000,36.400,36.420,36.310,36.331,36.410
29,13239.000,36.570,36.590,36.458,36.479,36.570
30,17801.000,36.690,36.710,36.616,36.633,36.680
31,11281.000,36.640,36.660,36.690,36.706,36.650
32,18491.000,36.690,36.710,36.675,36.692,36.710
33,19132.000,36.680,36.700,36.697,36.716,36.690
34,19597.000,36.610,36.630,36.664,36.680,36.620
35,27186.000,36.680,36.700,36.611,36.628,36.690
36,25470.000,36.710,36.730,36.680,36.696,36.730
37,41021.000,36.700,36.710,36.699,36.711,36.700
38,159518.000,36.740,36.750,36.749,36.760,36.740
39,120563.000,36.530,36.590,36.901,36.968,36.550
40,30115.000,36.650,36.690,36.535,36.582,36.680
41,18174.000,36.930,36.970,36.930,36.974,36.940
42,11010.000,36.820,36.840,36.904,36.940,36.900
43,25387.000,36.550,36.570,36.696,36.728,36.580
44,11035.000,36.740,36.810,36.669,36.696,36.780
45,63264.000,36.370,36.380,36.580,36.612,36.380
46,39735.000,36.440,36.470,36.323,36.348,36.450
