,volume,bid,ask,avg_bid,avg_ask,last_trade
0,2030.000,3982.250,3982.750,3976.675,3977.000,3982.500
1,1193.000,3964.500,3965.000,3976.225,3976.550,3964.750
2,724.000,3964.000,3964.250,3964.050,3964.400,3963.750
3,1118.000,3974.000,3974.250,3970.075,3970.425,3973.750
4,2725.000,3973.500,3973.750,3972.375,3972.700,3973.750
5,625.000,3983.500,3983.750,3973.850,3974.200,3983.500
6,652.000,3969.250,3969.750,3977.675,3978.025,3969.750
7,435.000,3982.000,3982.500,3976.075,3976.425,3983.000
8,720.000,3986.500,3986.750,3986.825,3987.150,3986.750
9,931.000,3982.750,3983.000,3987.275,3987.575,3983.250
10,667.000,3976.000,3976.500,3978.800,3979.100,3976.250
11,661.000,3962.000,3962.250,3965.750,3966.100,3962.250
12,488.000,3964.250,3964.500,3963.125,3963.450,3965.000
13,342.000,3967.000,3967.500,3966.925,3967.250,3967.000
14,414.000,3969.500,3969.750,3966.800,3967.125,3970.000
15,306.000,3968.250,3968.750,3967.275,3967.600,3968.750
16,462.000,3967.500,3968.000,3968.500,3968.825,3968.250
17,293.000,3964.750,3965.250,3967.125,3967.425,3965.000
18,277.000,3965.750,3966.000,3965.050,3965.350,3966.500
19,432.000,3974.750,3975.000,3971.550,3971.850,3974.750
20,200.000,3972.750,3973.000,3973.825,3974.125,3972.750
21,285.000,3973.500,3974.000,3972.350,3972.675,3974.000
22,380.000,3980.750,3981.250,3976.750,3977.100,3981.000
23,289.000,3977.250,3977.500,3977.375,3977.700,3977.500
24,365.000,3972.500,3972.750,3974.725,3975.050,3973.000
25,252.000,3974.000,3974.250,3973.925,3974.200,3974.000
26,589.000,3965.750,3966.000,3968.575,3968.850,3965.750
27,775.000,3962.500,3962.750,3962.425,3962.725,3962.750
28,547.000,3965.500,3965.750,3966.150,3966.450,3965.750
29,408.000,3966.750,3967.000,3964.750,3965.050,3966.750
30,441.000,3971.750,3972.000,3969.325,3969.600,3972.000
31,348.000,3968.000,3968.500,3969.300,3969.600,3968.250
32,405.000,3964.750,3965.000,3965.525,3965.850,3964.750
33,350.000,3961.000,3961.500,3965.950,3966.300,3961.250
34,509.000,3960.000,3960.250,3961.525,3961.850,3960.500
35,488.000,3963.250,3963.750,3960.225,3960.575,3963.500
36,505.000,3966.250,3966.750,3965.125,3965.450,3966.250
37,381.000,3964.000,3964.250,3964.225,3964.550,3964.250
38,2587.000,3967.000,3967.500,3967.200,3967.475,3967.250
39,1086.000,3965.500,3965.750,3966.575,3966.875,3966.000
40,224.000,3964.750,3965.250,3965.300,3965.625,3965.000
41,33.000,3966.000,3966.250,3965.525,3965.850,3966.250
42,55.000,3965.250,3965.750,3965.550,3965.850,3965.500
43,33.000,3965.750,3966.250,3965.675,3966.025,3966.000
44,29.000,3965.500,3966.000,3965.650,3966.100,3966.000
45,11005.000,3977.000,3977.250,3977.350,3977.600,3977.250
46,5692.000,3979.000,3979.250,3976.125,3976.400,3979.000
47,4308.000,3996.250,3996.500,3988.125,3988.400,3996.250
