,volume,bid,ask,avg_bid,avg_ask,last_trade
0,171200.000,39.000,39.020,38.826,38.862,39.010
1,102261.000,38.780,38.790,38.947,38.961,38.790
2,65721.000,38.970,38.980,38.894,38.907,38.990
3,69088.000,38.980,38.990,38.991,39.005,38.970
4,71220.000,38.700,38.710,38.764,38.781,38.720
5,46572.000,38.860,38.870,38.714,38.726,38.840
6,31250.000,38.770,38.780,38.846,38.859,38.790
7,24780.000,38.840,38.850,38.877,38.889,38.850
8,28796.000,38.750,38.770,38.817,38.829,38.770
9,23828.000,38.590,38.600,38.680,38.692,38.610
10,25998.000,38.440,38.450,38.484,38.496,38.440
11,30032.000,38.320,38.340,38.337,38.348,38.340
12,29542.000,38.340,38.350,38.324,38.335,38.340
13,21368.000,38.450,38.470,38.411,38.423,38.470
14,22396.000,38.550,38.560,38.497,38.508,38.560
15,22178.000,38.480,38.490,38.472,38.484,38.480
16,32879.000,38.480,38.490,38.506,38.517,38.480
17,36942.000,38.430,38.440,38.471,38.482,38.430
18,20854.000,38.410,38.420,38.407,38.417,38.410
19,20583.000,38.400,38.410,38.411,38.422,38.410
20,32490.000,38.480,38.490,38.443,38.454,38.490
21,38466.000,38.460,38.470,38.452,38.463,38.460
22,31887.000,38.530,38.550,38.486,38.497,38.540
23,31257.000,38.500,38.510,38.489,38.501,38.500
24,26529.000,38.460,38.470,38.456,38.467,38.480
25,42469.000,38.610,38.620,38.533,38.543,38.610
26,37591.000,38.400,38.410,38.476,38.486,38.410
27,21642.000,38.390,38.400,38.353,38.363,38.400
28,18120.000,38.450,38.460,38.434,38.445,38.450
29,11881.000,38.390,38.400,38.403,38.414,38.400
30,18623.000,38.460,38.470,38.426,38.437,38.470
31,53339.000,38.510,38.520,38.489,38.500,38.510
32,24767.000,38.430,38.440,38.458,38.469,38.440
33,28494.000,38.470,38.480,38.489,38.499,38.460
34,52222.000,38.530,38.540,38.549,38.560,38.530
35,46810.000,38.560,38.570,38.545,38.556,38.560
36,59669.000,38.530,38.540,38.526,38.537,38.540
37,74733.000,38.540,38.550,38.529,38.540,38.550
