,volume,bid,ask,avg_bid,avg_ask,last_trade
0,15537.000,136.330,136.640,135.952,136.393,136.220
1,1521.000,135.120,135.360,136.102,136.445,135.980
2,4468.000,135.270,135.810,135.201,135.457,135.640
3,6029.000,135.400,135.670,135.645,135.892,135.600
4,1474.000,135.750,136.100,135.584,135.854,136.120
5,2337.000,136.090,136.250,135.874,136.180,136.150
6,3435.000,135.290,135.480,135.602,135.849,135.470
7,1311.000,135.110,135.310,135.304,135.484,135.190
8,958.000,135.250,135.350,135.155,135.330,135.330
9,3357.000,134.680,134.840,135.092,135.278,135.010
10,1855.000,134.560,134.700,134.290,134.463,134.680
11,2685.000,134.580,134.770,134.418,134.619,134.740
12,805.000,134.540,134.690,134.697,134.872,134.690
13,525.000,134.520,134.740,134.731,134.865,134.800
14,2626.000,134.550,134.660,134.468,134.602,134.600
15,3859.000,135.000,135.200,134.753,134.877,135.150
16,2417.000,135.120,135.250,135.170,135.300,135.210
17,2363.000,135.250,135.360,135.208,135.341,135.240
18,2592.000,135.330,135.430,135.422,135.540,135.550
19,1141.000,135.080,135.160,135.192,135.321,135.120
20,4890.000,134.910,135.010,134.915,135.036,134.910
21,526.000,134.950,135.060,134.839,134.972,134.830
22,2712.000,134.970,135.060,134.915,135.042,135.020
23,3099.000,134.900,135.000,134.967,135.075,135.050
24,1360.000,134.830,134.910,134.836,134.950,134.930
25,1408.000,134.420,134.530,134.653,134.766,134.430
26,1325.000,133.870,133.980,134.030,134.149,133.950
27,2682.000,134.000,134.170,133.866,133.977,134.200
28,10506.000,134.570,134.690,134.389,134.498,134.750
29,1446.000,134.600,134.670,134.499,134.619,134.720
30,1832.000,134.980,135.110,134.862,134.973,135.000
31,1282.000,134.960,135.080,134.959,135.072,135.060
32,3127.000,135.090,135.160,134.898,134.994,135.110
33,3410.000,135.100,135.270,135.160,135.270,135.390
34,2066.000,134.590,134.660,134.941,135.041,134.640
35,3594.000,134.710,134.810,134.566,134.664,134.610
36,6882.000,134.690,134.790,134.700,134.769,134.770
37,17352.000,134.650,134.710,134.629,134.693,134.670
38,33241.000,134.740,134.790,134.726,134.764,134.780
39,31264.000,136.930,137.600,137.416,137.860,137.520
40,4488.000,137.700,137.990,137.391,137.714,138.000
41,6661.000,138.270,138.610,138.191,138.469,138.480
42,3800.000,137.830,138.000,138.254,138.481,137.940
43,2120.000,137.200,137.350,137.461,137.666,137.370
44,4523.000,137.050,137.230,137.426,137.607,137.360
45,1352.000,136.370,136.540,136.638,136.807,136.550
46,1458.000,135.730,135.880,135.910,136.079,135.680
47,2694.000,135.130,135.260,135.556,135.728,135.270
48,3685.000,134.000,134.090,134.648,134.786,134.130
49,7976.000,134.220,134.310,134.076,134.188,134.090
50,3438.000,134.090,134.250,134.046,134.170,134.190
51,2961.000,134.160,134.300,133.793,133.912,134.300
52,14836.000,135.180,135.300,134.719,134.852,135.240
53,1550.000,135.180,135.240,135.057,135.180,135.260
54,963.000,135.100,135.190,134.981,135.108,135.010
55,4292.000,134.850,135.040,135.001,135.118,134.920
56,1612.000,134.840,134.910,134.788,134.909,134.840
57,1380.000,134.640,134.730,134.764,134.877,134.640
58,2461.000,134.800,134.900,134.794,134.872,134.830
59,2719.000,134.360,134.410,134.343,134.445,134.360
60,1180.000,134.370,134.410,134.419,134.524,134.410
61,2920.000,134.160,134.240,134.303,134.414,134.220
62,2116.000,134.270,134.370,134.026,134.129,134.230
63,2303.000,133.930,134.020,133.962,134.062,133.880
64,2435.000,134.010,134.110,133.976,134.084,134.070
65,1779.000,133.770,133.830,133.803,133.894,133.830
66,3977.000,133.990,134.060,133.687,133.786,133.880
67,2024.000,133.790,133.860,133.807,133.905,133.800
68,1635.000,133.720,133.750,133.682,133.771,133.730
69,2038.000,133.740,133.800,133.698,133.777,133.700
70,6963.000,133.190,133.250,133.371,133.460,133.210
71,4075.000,133.420,133.470,133.426,133.502,133.420
72,3621.000,133.360,133.420,133.255,133.327,133.330
73,7008.000,133.260,133.380,133.228,133.305,133.350
74,3405.000,133.130,133.160,133.204,133.275,133.110
75,6058.000,132.820,132.930,132.856,132.918,132.840
76,9442.000,133.000,133.040,132.981,133.022,133.010
77,40864.000,133.420,133.430,132.997,133.031,133.420
78,26343.000,133.310,133.750,133.553,134.028,133.340
79,9715.000,132.240,132.520,132.345,132.727,132.350
80,10003.000,131.910,132.390,131.874,132.107,131.970
81,8630.000,131.790,131.990,131.979,132.234,131.850
82,8788.000,130.820,131.040,131.250,131.461,130.900
83,3445.000,130.890,131.080,130.837,131.047,130.900
84,1869.000,130.470,130.620,130.536,130.727,130.540
85,4218.000,129.860,130.060,130.143,130.283,130.000
86,9689.000,129.910,130.110,129.915,130.099,129.980
87,3569.000,130.540,130.650,130.559,130.733,130.580
88,5318.000,130.910,131.030,130.646,130.801,131.000
89,4618.000,130.950,131.130,130.916,131.066,131.030
90,2479.000,130.570,130.710,130.670,130.837,130.650
91,4339.000,131.000,131.240,130.928,131.066,131.010
92,2121.000,131.240,131.420,131.129,131.250,131.330
93,4432.000,130.790,130.940,130.868,131.002,130.910
94,3149.000,130.680,130.770,130.878,131.024,130.710
95,2460.000,130.220,130.350,130.232,130.380,130.310
96,708.000,129.970,130.090,130.001,130.150,129.920
97,2304.000,129.560,129.720,129.836,129.987,129.600
98,1172.000,129.980,130.160,129.778,129.925,130.040
99,2142.000,130.130,130.270,130.157,130.279,130.190
100,1606.000,129.690,129.870,130.064,130.212,129.760
101,3080.000,129.810,130.030,129.760,129.911,129.940
102,2930.000,130.000,130.060,129.915,130.039,129.980
103,9065.000,129.650,129.770,129.979,130.095,129.900
104,5486.000,129.880,129.970,129.763,129.918,129.910
105,1576.000,129.580,129.720,129.711,129.851,129.680
106,2979.000,129.670,129.840,129.619,129.766,129.770
107,2584.000,130.250,130.360,129.998,130.126,130.240
108,878.000,130.520,130.640,130.449,130.575,130.510
109,1870.000,130.460,130.580,130.387,130.522,130.520
110,1590.000,130.390,130.470,130.420,130.517,130.460
111,2141.000,130.120,130.280,130.241,130.383,130.380
112,1810.000,130.470,130.540,130.309,130.434,130.500
113,3796.000,129.680,129.770,129.927,130.044,129.780
114,9130.000,129.360,129.510,129.657,129.742,129.470
115,7481.000,129.070,129.140,129.276,129.352,129.120
116,35264.000,129.260,129.270,129.139,129.204,129.300
117,17385.000,130.050,130.420,130.403,130.800,130.200
118,4580.000,130.930,131.250,130.727,131.020,131.050
119,2803.000,131.820,131.940,131.303,131.524,131.600
120,3323.000,133.470,133.830,132.830,133.071,133.690
121,856.000,133.100,133.320,133.216,133.429,133.180
122,2372.000,133.510,133.650,133.472,133.656,133.720
123,1849.000,133.930,134.100,133.889,134.071,134.070
124,2992.000,134.070,134.290,134.210,134.402,134.460
125,1482.000,133.770,133.960,133.688,133.944,133.760
126,2580.000,133.730,133.930,133.552,133.821,133.830
127,12389.000,133.120,133.280,133.453,133.615,133.410
128,2455.000,133.370,133.640,133.361,133.550,133.440
129,2654.000,133.150,133.410,133.179,133.394,133.310
