,volume,bid,ask,avg_bid,avg_ask,last_trade
0,1733.000,43.490,48.630,43.490,48.630,45.930
1,0.000,43.490,48.630,43.490,48.630,45.930
2,0.000,42.440,48.630,42.557,48.630,45.930
3,800.000,45.650,45.900,42.524,48.558,46.090
4,0.000,46.170,46.220,46.034,46.114,46.090
5,0.000,45.940,45.950,46.116,46.136,46.090
6,800.000,46.010,46.030,45.934,45.957,46.230
7,100.000,45.960,45.980,46.033,46.054,46.050
8,0.000,46.040,46.060,45.990,46.013,46.050
9,100.000,46.260,46.350,46.082,46.106,45.790
10,0.000,46.040,46.060,46.148,46.179,45.790
11,0.000,46.030,46.050,46.050,46.073,45.790
12,0.000,46.030,46.060,46.026,46.048,45.790
13,0.000,45.730,45.760,45.909,45.932,45.790
14,0.000,45.640,45.660,45.595,45.622,45.790
15,200.000,45.580,45.600,45.552,45.576,45.780
16,0.000,45.540,45.550,45.606,45.628,45.780
17,0.000,45.580,45.610,45.617,45.638,45.780
18,0.000,45.660,45.680,45.568,45.589,45.780
19,0.000,45.830,45.860,45.740,45.762,45.780
20,100.000,45.810,45.840,45.843,45.865,45.740
21,800.000,45.820,45.840,45.827,45.848,45.670
22,1600.000,45.850,45.870,45.882,45.901,45.720
23,0.000,45.780,45.800,45.817,45.835,45.720
24,200.000,45.670,45.690,45.714,45.732,45.670
25,100.000,45.700,45.710,45.664,45.681,45.580
26,500.000,45.700,45.720,45.683,45.701,45.460
27,100.000,45.690,45.700,45.699,45.716,45.420
28,200.000,45.690,45.700,45.672,45.689,45.510
29,200.000,45.560,45.580,45.610,45.626,45.490
30,0.000,45.400,45.420,45.458,45.476,45.490
31,0.000,45.430,45.440,45.380,45.398,45.490
32,0.000,45.550,45.570,45.512,45.529,45.490
33,0.000,45.590,45.600,45.541,45.558,45.490
34,0.000,45.740,45.760,45.684,45.702,45.490
35,100.000,45.730,45.750,45.733,45.751,45.660
36,0.000,45.710,45.740,45.708,45.727,45.660
37,400.000,45.740,45.760,45.764,45.786,45.640
38,1100.000,45.650,45.670,45.715,45.736,45.730
39,1100.000,45.690,45.700,45.641,45.661,46.480
40,600.000,45.660,45.680,45.662,45.681,46.430
41,300.000,45.540,45.750,45.634,45.653,46.560
42,1300.000,45.640,45.830,45.680,45.698,46.550
43,500.000,43.500,49.900,43.500,49.900,46.280
44,0.000,43.500,49.900,43.500,49.900,46.280
45,0.000,43.500,49.900,43.500,49.900,46.280
46,0.000,46.480,46.670,43.567,49.829,46.280
47,600.000,46.310,46.370,46.382,46.478,45.790
48,0.000,46.410,46.430,46.353,46.374,45.790
49,0.000,46.550,46.570,46.547,46.566,45.790
50,200.000,46.480,46.500,46.524,46.542,45.660
51,0.000,46.210,46.240,46.332,46.355,45.660
52,0.000,46.130,46.230,46.255,46.281,45.660
53,0.000,45.940,45.970,46.049,46.076,45.660
54,0.000,45.890,45.910,45.883,45.907,45.660
55,0.000,45.650,45.670,45.789,45.812,45.660
56,0.000,45.430,45.450,45.560,45.584,45.660
57,0.000,45.660,45.690,45.567,45.590,45.660
58,0.000,45.660,45.690,45.643,45.665,45.660
59,0.000,45.670,45.700,45.595,45.618,45.660
60,100.000,45.840,45.860,45.776,45.800,45.670
61,0.000,45.770,45.790,45.782,45.804,45.670
62,0.000,45.770,45.790,45.733,45.755,45.670
63,0.000,45.660,45.680,45.727,45.747,45.670
64,0.000,45.660,45.680,45.649,45.670,45.670
65,0.000,45.630,45.650,45.657,45.677,45.670
66,100.000,45.660,45.680,45.657,45.676,45.580
67,0.000,45.610,45.630,45.587,45.607,45.580
68,133.000,45.640,45.660,45.638,45.657,45.390
69,0.000,45.620,45.630,45.628,45.646,45.390
70,0.000,45.650,45.670,45.601,45.618,45.390
71,0.000,45.650,45.670,45.607,45.626,45.390
72,4900.000,45.720,45.740,45.694,45.714,45.260
73,0.000,45.640,45.660,45.657,45.677,45.260
74,0.000,45.570,45.590,45.565,45.585,45.260
75,100.000,45.510,45.530,45.534,45.553,45.360
76,0.000,45.380,45.400,45.438,45.459,45.360
77,100.000,45.380,45.410,45.378,45.399,45.460
78,100.000,45.270,45.290,45.321,45.342,45.380
79,300.000,45.350,45.370,45.327,45.348,45.270
80,300.000,45.270,45.290,45.269,45.290,45.220
81,0.000,45.310,45.340,45.261,45.281,45.220
82,0.000,45.320,45.330,45.323,45.340,45.220
83,0.000,45.270,45.290,45.262,45.279,45.220
84,100.000,45.190,45.320,45.274,45.290,45.180
85,0.000,45.360,45.550,45.328,45.346,45.180
86,0.000,43.140,48.620,43.140,48.620,45.180
87,0.000,42.200,48.620,42.200,48.620,45.180
88,0.000,45.220,45.450,42.268,48.401,45.180
89,900.000,45.520,45.570,45.514,45.602,45.300
90,0.000,45.370,45.390,45.402,45.426,45.300
91,0.000,45.140,45.330,45.267,45.294,45.300
92,100.000,45.380,45.400,45.340,45.369,44.900
93,0.000,45.230,45.250,45.290,45.308,44.900
94,0.000,45.180,45.200,45.176,45.194,44.900
95,0.000,45.100,45.110,45.082,45.098,44.900
96,0.000,44.930,44.940,45.002,45.018,44.900
97,0.000,45.030,45.050,44.978,44.993,44.900
98,100.000,45.090,45.100,45.132,45.149,44.710
99,0.000,45.200,45.220,45.133,45.148,44.710
100,0.000,45.230,45.250,45.222,45.237,44.710
101,0.000,45.190,45.210,45.207,45.222,44.710
102,0.000,45.280,45.300,45.256,45.271,44.710
103,0.000,45.300,45.320,45.277,45.291,44.710
104,200.000,45.170,45.190,45.193,45.210,44.760
105,100.000,45.040,45.060,45.121,45.137,44.790
106,0.000,44.880,44.900,44.922,44.939,44.790
107,100.000,44.840,44.860,44.853,44.871,44.730
108,200.000,44.750,44.760,44.813,44.830,44.740
109,0.000,44.850,44.880,44.814,44.835,44.740
110,100.000,44.830,44.850,44.870,44.890,44.620
111,0.000,44.700,44.720,44.814,44.833,44.620
112,0.000,44.700,44.720,44.686,44.708,44.620
113,100.000,44.720,44.740,44.720,44.740,44.460
114,100.000,44.650,44.670,44.704,44.721,45.240
115,0.000,44.690,44.710,44.688,44.706,45.240
116,0.000,44.610,44.620,44.652,44.668,45.240
117,0.000,44.660,44.670,44.631,44.647,45.240
118,0.000,44.750,44.770,44.694,44.709,45.240
119,0.000,44.790,44.810,44.786,44.801,45.240
120,0.000,44.740,44.760,44.740,44.754,45.240
121,0.000,44.680,44.700,44.713,44.727,45.240
122,0.000,44.690,44.710,44.708,44.722,45.240
123,0.000,44.720,44.740,44.711,44.724,45.240
