,volume,bid,ask,avg_bid,avg_ask,last_trade
0,155012.000,27.830,27.850,27.763,27.781,27.840
1,40671.000,27.600,27.610,27.725,27.738,27.590
2,22709.000,27.690,27.700,27.642,27.656,27.690
3,20773.000,27.580,27.600,27.673,27.686,27.580
4,22391.000,27.620,27.630,27.602,27.616,27.610
5,13624.000,27.770,27.790,27.651,27.665,27.770
6,21798.000,27.590,27.600,27.705,27.721,27.600
7,15746.000,27.560,27.570,27.576,27.589,27.570
8,16089.000,27.540,27.550,27.546,27.558,27.550
9,20041.000,27.350,27.360,27.470,27.482,27.360
10,63650.000,27.230,27.250,27.227,27.239,27.240
11,42763.000,27.200,27.210,27.189,27.200,27.210
12,61723.000,27.160,27.170,27.220,27.231,27.180
13,23824.000,27.160,27.170,27.218,27.229,27.170
14,33565.000,27.220,27.240,27.145,27.156,27.230
15,34530.000,27.290,27.300,27.275,27.286,27.290
16,21013.000,27.310,27.320,27.352,27.363,27.300
17,13441.000,27.340,27.350,27.341,27.352,27.360
18,10921.000,27.410,27.420,27.419,27.430,27.410
19,10408.000,27.340,27.350,27.372,27.384,27.350
20,20827.000,27.280,27.290,27.300,27.312,27.290
21,13309.000,27.320,27.330,27.278,27.289,27.330
22,13845.000,27.300,27.310,27.294,27.305,27.310
23,14348.000,27.350,27.360,27.350,27.361,27.360
24,25234.000,27.310,27.320,27.317,27.328,27.320
25,17121.000,27.180,27.190,27.234,27.245,27.190
26,26131.000,27.100,27.110,27.113,27.124,27.110
27,27636.000,27.140,27.150,27.102,27.113,27.150
28,17476.000,27.300,27.310,27.235,27.246,27.300
29,20551.000,27.320,27.330,27.279,27.290,27.330
30,14143.000,27.390,27.400,27.379,27.390,27.400
31,15060.000,27.440,27.450,27.407,27.418,27.440
32,12017.000,27.400,27.410,27.409,27.419,27.400
33,23239.000,27.440,27.450,27.449,27.459,27.450
34,18326.000,27.350,27.360,27.411,27.422,27.360
35,22352.000,27.390,27.400,27.366,27.377,27.390
36,30640.000,27.330,27.340,27.351,27.362,27.340
