,volume,bid,ask,avg_bid,avg_ask,last_trade
0,87053.000,85.420,85.470,85.309,85.367,85.440
1,8213.000,85.410,85.440,85.525,85.560,85.430
2,9168.000,85.400,85.430,85.375,85.407,85.410
3,16459.000,85.690,85.740,85.538,85.570,85.720
4,23088.000,85.590,85.610,85.627,85.661,85.620
5,15681.000,85.980,86.000,85.645,85.673,86.000
6,11914.000,85.860,85.900,85.911,85.940,85.880
7,8813.000,86.130,86.150,85.964,85.992,86.100
8,9999.000,86.230,86.240,86.226,86.252,86.250
9,7409.000,86.130,86.150,86.228,86.254,86.160
10,9130.000,85.810,85.850,85.973,86.001,85.820
11,15361.000,85.540,85.570,85.599,85.624,85.520
12,7149.000,85.510,85.540,85.521,85.548,85.530
13,5145.000,85.450,85.480,85.528,85.553,85.460
14,7552.000,85.400,85.430,85.354,85.381,85.420
15,6563.000,85.170,85.180,85.243,85.267,85.160
16,9902.000,84.840,84.870,85.018,85.043,84.860
17,8261.000,84.690,84.720,84.766,84.793,84.710
18,5436.000,84.710,84.730,84.652,84.680,84.690
19,4712.000,84.980,85.010,84.867,84.895,84.980
20,6195.000,84.980,85.000,84.992,85.016,85.000
21,8606.000,84.930,84.970,84.945,84.970,84.940
22,5568.000,85.170,85.200,85.064,85.089,85.170
23,4073.000,85.040,85.060,85.072,85.095,85.080
24,9430.000,84.980,85.010,85.012,85.032,84.990
25,6123.000,85.010,85.020,85.008,85.031,85.020
26,5695.000,84.800,84.820,84.849,84.873,84.830
27,3918.000,84.800,84.820,84.772,84.795,84.800
28,4549.000,84.890,84.910,84.887,84.909,84.930
29,5359.000,85.000,85.020,84.924,84.946,85.000
30,7680.000,85.120,85.140,85.084,85.103,85.130
31,3752.000,85.010,85.040,85.070,85.092,85.020
32,3406.000,84.930,84.950,84.926,84.948,84.930
33,5732.000,84.760,84.770,84.899,84.921,84.770
34,5865.000,84.710,84.740,84.781,84.803,84.730
35,9195.000,84.760,84.770,84.724,84.743,84.770
36,16495.000,84.870,84.890,84.832,84.847,84.880
37,24273.000,84.850,84.870,84.805,84.818,84.860
38,232354.000,85.200,85.220,85.129,85.142,85.240
39,71607.000,85.120,85.150,85.196,85.249,85.140
40,15893.000,85.060,85.090,85.023,85.054,85.060
41,25723.000,85.510,85.530,85.243,85.272,85.520
42,12978.000,85.540,85.560,85.498,85.526,85.580
43,9863.000,85.650,85.680,85.587,85.612,85.670
44,11734.000,85.990,86.030,85.854,85.881,86.010
45,6449.000,86.000,86.020,85.984,86.011,86.010
46,7642.000,86.000,86.030,85.998,86.021,86.020
47,10230.000,86.050,86.080,86.064,86.086,86.040
48,6999.000,85.860,85.880,86.013,86.036,85.880
49,11990.000,85.560,85.580,85.751,85.770,85.570
50,12235.000,85.700,85.730,85.641,85.663,85.710
51,7784.000,85.720,85.740,85.706,85.727,85.730
52,9610.000,85.520,85.540,85.578,85.598,85.590
53,6543.000,85.700,85.720,85.627,85.647,85.710
54,5690.000,85.750,85.770,85.755,85.779,85.760
55,5000.000,85.720,85.740,85.709,85.731,85.750
56,5055.000,85.760,85.770,85.758,85.779,85.770
57,14068.000,85.870,85.890,85.868,85.887,85.900
58,8795.000,85.880,85.900,85.874,85.891,85.880
59,7984.000,85.990,86.020,85.984,86.005,86.010
60,6004.000,86.140,86.170,86.076,86.096,86.160
61,6538.000,86.130,86.150,86.129,86.149,86.150
62,8593.000,86.190,86.220,86.145,86.166,86.200
63,13908.000,86.250,86.280,86.248,86.268,86.250
64,8692.000,86.380,86.400,86.339,86.359,86.380
65,3549.000,86.260,86.270,86.298,86.317,86.270
66,5131.000,85.940,85.960,86.006,86.027,85.960
67,9621.000,85.920,85.950,85.901,85.924,85.950
68,7247.000,85.780,85.800,85.912,85.932,85.780
69,6330.000,85.740,85.760,85.763,85.782,85.780
70,4251.000,85.660,85.680,85.777,85.798,85.670
71,6568.000,85.670,85.680,85.698,85.718,85.690
72,6186.000,85.700,85.730,85.695,85.714,85.730
73,7335.000,85.920,85.930,85.805,85.823,85.940
74,9120.000,85.900,85.920,85.906,85.924,85.900
75,14630.000,85.840,85.850,85.879,85.895,85.850
76,19636.000,85.750,85.770,85.764,85.777,85.730
77,138900.000,85.790,85.800,85.765,85.776,85.760
78,97300.000,85.620,85.640,85.484,85.530,85.630
79,18154.000,85.830,85.850,85.761,85.792,85.850
80,7429.000,85.640,85.810,85.776,85.807,85.730
81,13396.000,85.820,85.850,85.747,85.793,85.840
82,10098.000,85.670,85.690,85.707,85.733,85.670
83,12071.000,85.670,85.690,85.628,85.652,85.680
84,15308.000,85.490,85.510,85.526,85.551,85.480
85,5563.000,85.470,85.490,85.426,85.449,85.480
86,10618.000,85.650,85.680,85.561,85.585,85.610
87,7745.000,85.470,85.490,85.576,85.599,85.500
88,10548.000,85.460,85.490,85.438,85.459,85.460
89,15880.000,85.430,85.440,85.470,85.489,85.430
90,12018.000,85.260,85.270,85.338,85.358,85.240
91,8736.000,85.280,85.300,85.253,85.274,85.260
92,10209.000,85.340,85.360,85.321,85.338,85.360
93,8313.000,85.250,85.270,85.257,85.275,85.260
94,11273.000,85.060,85.070,85.172,85.189,85.060
95,13545.000,84.890,84.900,84.945,84.961,84.930
96,8756.000,85.170,85.190,85.072,85.089,85.170
97,17975.000,85.130,85.150,85.150,85.168,85.140
98,7837.000,85.020,85.040,85.033,85.051,85.050
99,5454.000,84.850,84.870,84.900,84.919,84.880
100,7653.000,85.000,85.020,84.967,84.984,85.010
101,5063.000,84.980,85.000,84.958,84.977,84.990
102,6992.000,85.000,85.010,84.993,85.011,85.000
103,4014.000,85.130,85.140,85.061,85.079,85.140
104,4612.000,85.050,85.070,85.037,85.056,85.050
105,4645.000,84.920,84.940,84.929,84.947,84.930
106,8335.000,85.050,85.070,84.983,85.002,85.050
107,3176.000,84.950,84.970,84.972,84.990,85.000
108,3618.000,84.950,84.970,84.941,84.959,84.950
109,5784.000,84.970,84.990,84.914,84.932,85.000
110,5942.000,84.970,84.980,84.947,84.964,84.990
111,8714.000,84.900,84.920,84.965,84.982,84.920
112,8662.000,84.880,84.900,84.913,84.931,84.920
113,8249.000,84.710,84.720,84.769,84.787,84.720
114,16401.000,84.470,84.490,84.638,84.653,84.490
115,23268.000,84.590,84.600,84.543,84.557,84.610
116,107036.000,84.480,84.490,84.554,84.567,84.480
117,73032.000,85.020,85.050,84.968,85.018,85.010
118,13192.000,84.950,84.960,84.945,84.977,84.960
119,13360.000,85.170,85.190,85.074,85.099,85.190
120,8864.000,85.000,85.030,85.025,85.050,85.020
121,12362.000,85.040,85.060,85.029,85.051,85.080
122,8984.000,85.260,85.280,85.189,85.212,85.280
123,14057.000,85.400,85.430,85.328,85.347,85.410
124,12283.000,85.530,85.560,85.493,85.511,85.550
125,12165.000,85.580,85.600,85.513,85.532,85.610
126,7908.000,85.820,85.840,85.754,85.776,85.840
127,4109.000,85.930,85.960,85.847,85.868,85.940
128,10397.000,85.900,85.910,85.937,85.957,85.890
129,6636.000,85.940,85.950,85.902,85.921,85.960
130,5839.000,85.910,85.940,85.930,85.947,85.930
131,12355.000,86.040,86.060,85.963,85.981,86.050
132,9618.000,86.060,86.070,86.046,86.064,86.050
133,7457.000,85.940,85.960,85.994,86.011,85.960
134,5851.000,86.040,86.050,85.996,86.011,86.050
135,7034.000,86.020,86.040,86.033,86.052,86.030
136,7803.000,85.850,85.870,85.980,85.997,85.880
137,4359.000,86.020,86.030,85.951,85.969,86.020
138,6742.000,85.810,85.830,85.904,85.923,85.840
139,4901.000,85.810,85.830,85.795,85.814,85.820
140,4784.000,85.840,85.860,85.778,85.796,85.850
141,6989.000,85.810,85.830,85.794,85.813,85.810
142,7130.000,85.980,85.990,85.911,85.928,85.980
143,6230.000,85.870,85.890,85.932,85.947,85.890
144,5318.000,85.800,85.820,85.799,85.817,85.810
145,5270.000,85.690,85.700,85.780,85.797,85.700
146,5536.000,85.550,85.570,85.619,85.637,85.570
147,5521.000,85.560,85.570,85.490,85.508,85.560
148,5933.000,85.670,85.680,85.640,85.657,85.680
149,15675.000,85.960,85.970,85.854,85.872,85.980
150,8888.000,86.070,86.090,86.023,86.039,86.090
151,10673.000,86.130,86.150,86.071,86.088,86.130
152,20706.000,86.270,86.290,86.219,86.236,86.270
153,28473.000,86.480,86.500,86.397,86.412,86.490
154,18890.000,86.350,86.370,86.376,86.392,86.360
155,136226.000,86.540,86.550,86.457,86.469,86.550
156,166840.000,87.710,87.750,87.963,88.024,87.700
157,23276.000,87.700,87.730,87.742,87.782,87.710
158,19931.000,88.040,88.070,88.016,88.053,88.020
159,17614.000,87.920,87.950,87.911,87.947,87.940
160,10757.000,87.990,88.020,87.944,87.979,87.980
161,11755.000,87.280,87.320,87.583,87.618,87.280
162,16418.000,86.790,86.830,87.169,87.204,86.820
163,7251.000,87.050,87.080,87.019,87.054,87.160
164,8082.000,86.850,86.870,86.990,87.022,86.870
165,9670.000,86.930,86.960,86.845,86.877,86.940
166,5208.000,86.960,86.980,86.954,86.982,86.980
167,11727.000,86.790,86.810,86.843,86.870,86.800
168,8212.000,86.740,86.760,86.872,86.900,86.730
169,14444.000,86.200,86.240,86.489,86.519,86.230
170,8899.000,86.400,86.420,86.303,86.332,86.400
171,7898.000,86.570,86.590,86.519,86.549,86.580
172,18266.000,86.440,86.460,86.532,86.562,86.450
173,6250.000,86.560,86.590,86.580,86.610,86.560
174,8796.000,86.490,86.520,86.430,86.459,86.470
175,8980.000,86.080,86.130,86.352,86.382,86.100
176,9455.000,86.140,86.170,86.096,86.128,86.150
177,7600.000,86.240,86.270,86.245,86.274,86.250
178,9575.000,86.580,86.610,86.465,86.497,86.610
179,8045.000,86.700,86.720,86.697,86.725,86.700
180,5757.000,86.700,86.730,86.736,86.762,86.710
181,3866.000,86.750,86.770,86.775,86.802,86.760
182,7778.000,86.850,86.870,86.732,86.756,86.860
183,14222.000,86.860,86.880,86.916,86.942,86.880
184,7288.000,86.800,86.830,86.858,86.883,86.820
185,4877.000,86.910,86.930,86.801,86.825,86.920
186,10703.000,86.980,87.000,86.926,86.947,87.000
187,12231.000,87.110,87.120,87.079,87.098,87.120
188,8465.000,86.950,86.970,86.944,86.965,86.960
189,12549.000,86.650,86.670,86.680,86.704,86.690
190,15139.000,86.770,86.790,86.616,86.637,86.790
191,12784.000,86.890,86.910,86.835,86.858,86.900
192,19885.000,86.960,86.970,86.989,87.009,86.950
193,27387.000,87.180,87.190,87.090,87.106,87.190
194,218728.000,87.140,87.150,87.215,87.229,87.150
195,105689.000,88.100,88.150,87.816,87.899,88.180
196,11817.000,88.280,88.350,88.147,88.192,88.330
197,8576.000,88.350,88.390,88.390,88.436,88.310
198,3537.000,88.190,88.250,88.198,88.240,88.220
199,9457.000,88.550,88.580,88.456,88.497,88.550
200,11573.000,88.160,88.190,88.315,88.343,88.180
201,6571.000,88.230,88.250,88.260,88.287,88.230
202,3990.000,88.300,88.340,88.240,88.272,88.310
203,4869.000,88.220,88.230,88.193,88.223,88.230
204,4626.000,88.320,88.360,88.285,88.310,88.360
205,3240.000,88.300,88.330,88.297,88.321,88.310
206,4659.000,88.390,88.410,88.285,88.314,88.410
207,4410.000,88.410,88.450,88.348,88.375,88.420
208,5017.000,88.130,88.180,88.333,88.363,88.160
209,10138.000,87.960,87.980,88.004,88.036,87.950
210,5598.000,87.950,87.970,87.945,87.972,87.990
211,3369.000,87.890,87.920,87.867,87.892,87.870
212,4561.000,87.920,87.940,87.933,87.955,87.930
213,6092.000,87.980,88.010,87.920,87.946,88.010
214,3350.000,87.920,87.940,87.963,87.987,87.920
215,3228.000,87.870,87.890,87.907,87.929,87.880
216,2550.000,87.970,87.990,87.962,87.988,88.000
217,5852.000,87.960,87.970,87.963,87.985,87.960
218,7268.000,88.040,88.070,88.004,88.025,88.050
219,13206.000,88.210,88.230,88.115,88.139,88.210
220,9242.000,87.980,88.000,88.115,88.136,87.980
221,10649.000,87.910,88.010,87.964,88.002,88.000
222,13451.000,86.970,87.060,87.155,87.319,87.050
223,20368.000,87.180,87.220,87.062,87.122,87.210
224,10563.000,87.290,87.310,87.179,87.212,87.290
225,25733.000,86.860,86.920,86.928,86.985,86.930
226,24113.000,86.740,86.820,86.636,86.710,86.810
227,13586.000,86.900,86.960,86.728,86.802,86.950
228,11434.000,87.150,87.200,87.049,87.106,87.170
