,volume,bid,ask,avg_bid,avg_ask,last_trade
0,200.000,273.510,295.340,295.340,295.340,291.890
1,500.000,273.510,295.340,295.340,295.340,293.180
2,424.000,273.510,295.340,273.510,295.340,291.280
3,152.000,286.060,295.340,273.510,295.340,290.920
4,200.000,293.060,295.340,273.510,295.340,290.020
5,100.000,291.250,291.490,273.702,295.251,289.960
6,0.000,291.450,293.710,291.286,292.464,289.960
7,300.000,290.320,291.850,292.687,293.396,289.590
8,100.000,289.830,292.010,291.237,291.972,290.010
9,200.000,291.450,290.940,291.118,291.883,288.510
10,948.000,289.980,290.210,289.982,290.643,286.410
11,200.000,289.690,292.550,290.296,291.012,285.800
12,0.000,289.250,290.670,291.025,291.745,285.800
13,500.000,287.960,290.050,289.834,290.482,286.050
14,0.000,286.390,290.440,289.585,290.226,286.050
15,0.000,285.820,288.580,289.121,289.671,286.050
16,100.000,285.570,287.030,286.311,287.002,286.770
17,0.000,285.950,286.240,285.683,286.175,286.770
18,200.000,285.630,286.260,285.959,286.510,286.720
19,100.000,286.090,286.280,285.844,286.256,286.390
20,0.000,286.080,286.690,285.571,286.203,286.390
21,0.000,285.920,286.730,285.899,286.535,286.390
22,100.000,286.310,287.120,286.493,287.169,285.040
23,100.000,285.900,286.200,285.972,286.592,285.140
24,100.000,285.200,287.010,286.307,287.043,285.070
25,100.000,284.850,286.190,285.929,286.440,284.820
26,100.000,284.920,285.820,285.323,285.948,283.510
27,3268.000,285.120,285.540,285.048,285.690,282.480
28,0.000,284.780,285.180,284.678,285.251,282.480
29,900.000,284.020,285.840,284.877,285.528,283.070
30,0.000,282.370,285.410,284.718,285.283,283.070
31,100.000,282.060,284.280,284.128,284.641,283.960
32,100.000,282.970,283.010,283.052,283.676,283.890
33,100.000,283.030,283.020,282.214,282.751,283.790
34,300.000,283.780,283.990,282.920,283.582,283.700
35,100.000,284.210,283.590,283.140,283.700,282.870
36,200.000,283.890,284.540,283.789,284.317,282.820
37,100.000,283.730,284.870,283.943,284.346,282.330
38,800.000,282.640,284.620,283.959,284.526,282.640
39,600.000,283.340,284.420,284.162,284.744,289.250
40,200.000,282.750,283.300,283.353,283.937,290.580
41,800.000,281.810,283.920,283.068,283.657,291.570
42,0.000,282.060,283.350,282.819,283.385,291.570
43,0.000,287.200,282.940,282.470,283.178,291.570
44,100.000,287.200,283.240,282.137,282.907,290.510
45,0.000,287.200,315.530,287.200,287.200,290.510
46,200.000,289.160,298.040,287.200,287.200,287.500
47,0.000,289.160,295.500,287.200,287.200,287.500
48,1300.000,272.530,295.220,289.160,295.228,283.790
49,300.000,272.530,292.980,289.160,299.993,284.990
50,200.000,272.530,290.720,272.530,297.972,285.190
51,500.000,287.560,289.690,272.530,295.220,283.860
52,400.000,288.700,290.590,272.530,293.379,285.830
53,100.000,290.190,291.590,272.738,292.968,285.590
54,0.000,291.160,291.860,289.543,290.937,285.590
55,0.000,291.490,290.590,289.351,290.112,285.590
56,100.000,289.450,289.650,291.094,291.838,285.190
57,0.000,288.510,287.900,291.239,291.906,285.190
58,0.000,287.330,287.880,290.248,291.054,285.190
59,0.000,287.190,285.810,289.732,290.530,285.190
60,0.000,285.170,283.910,287.789,288.523,285.190
61,0.000,283.690,285.990,287.049,287.679,285.190
62,100.000,285.260,285.330,286.227,286.904,285.070
63,0.000,285.050,285.020,284.712,285.301,285.070
64,100.000,284.780,286.210,284.617,285.323,285.830
65,0.000,285.860,285.970,284.989,285.556,285.830
66,0.000,285.450,285.900,284.282,284.807,285.830
67,200.000,285.170,285.650,285.369,285.851,284.170
68,0.000,284.930,285.460,285.346,285.870,284.170
69,0.000,284.810,285.460,284.826,285.425,284.170
70,0.000,284.820,285.910,285.051,285.622,284.170
71,0.000,285.320,285.740,284.784,285.380,284.170
72,0.000,285.090,286.030,284.808,285.317,284.170
73,800.000,285.450,285.280,285.157,285.704,283.250
74,400.000,285.020,285.890,284.812,285.342,283.120
75,100.000,285.280,285.760,285.370,285.891,282.170
76,200.000,285.140,286.580,285.185,285.669,282.510
77,472.000,285.400,285.580,284.850,285.312,282.880
78,200.000,284.940,285.060,285.046,285.561,285.390
79,100.000,284.400,284.560,285.330,286.045,282.850
80,0.000,284.300,284.200,285.340,285.967,282.850
81,0.000,283.160,284.240,284.343,284.891,282.850
82,0.000,283.110,283.290,284.223,284.803,282.850
83,0.000,282.490,283.980,283.836,284.304,282.850
84,0.000,283.190,283.840,283.314,283.812,282.850
85,0.000,283.120,283.830,283.131,283.762,282.850
86,0.000,283.280,283.490,282.988,283.703,282.850
87,300.000,282.550,282.960,282.865,283.382,280.320
88,100.000,282.340,283.000,282.981,283.491,279.190
89,400.000,281.900,284.100,283.182,283.621,280.790
90,0.000,282.950,289.590,282.155,282.869,280.790
91,200.000,268.160,289.590,281.987,282.712,281.990
92,200.000,268.160,287.980,282.560,283.204,281.360
93,0.000,279.300,287.700,313.572,313.572,281.360
94,100.000,284.550,284.570,289.590,289.590,279.470
95,700.000,281.480,285.390,268.160,289.271,277.750
96,100.000,280.740,282.300,268.160,287.713,276.700
97,400.000,282.500,281.790,268.328,287.678,276.080
98,500.000,279.650,283.280,284.302,285.487,275.920
99,0.000,278.850,280.390,282.665,283.555,275.920
100,400.000,278.750,279.900,281.111,281.809,274.680
101,100.000,278.460,279.560,281.903,282.533,273.920
102,200.000,278.770,278.920,281.481,282.112,274.670
103,500.000,278.810,279.110,278.973,279.644,274.310
104,200.000,279.990,279.730,278.663,279.294,274.410
105,1000.000,280.200,280.560,278.674,279.204,273.320
106,400.000,280.370,280.970,278.558,279.072,273.300
107,300.000,281.180,281.050,279.458,280.064,273.520
108,0.000,280.660,281.570,279.366,279.860,273.520
109,0.000,279.280,281.340,280.384,281.025,273.520
110,400.000,279.070,280.380,280.422,281.059,273.210
111,300.000,277.350,279.630,280.939,281.617,273.540
112,200.000,276.680,277.970,280.810,281.464,273.280
113,200.000,275.760,277.210,279.828,280.463,273.130
114,800.000,276.150,276.150,279.331,280.039,271.760
115,600.000,275.280,276.430,277.859,278.477,271.110
116,1220.000,274.330,275.600,276.902,277.540,270.800
117,1619.000,273.960,274.820,276.265,276.715,272.570
118,400.000,274.670,275.060,275.998,276.540,274.350
119,0.000,274.270,274.850,275.923,276.393,274.350
120,100.000,274.320,274.860,275.044,275.590,277.150
121,100.000,273.130,274.860,273.997,274.653,277.950
122,300.000,273.160,273.420,274.556,275.104,279.670
123,100.000,273.870,273.390,274.459,275.090,280.420
124,200.000,273.620,274.460,274.303,274.895,280.540
125,200.000,273.410,274.370,273.738,274.211,280.870
