,volume,bid,ask,avg_bid,avg_ask,last_trade
0,22332.000,228.780,229.180,228.140,228.816,228.820
1,3580.000,226.720,227.750,228.104,228.652,226.910
2,13839.000,227.100,227.510,226.734,227.215,227.200
3,2958.000,226.100,226.560,226.875,227.328,226.410
4,6702.000,226.400,226.710,226.460,226.841,226.650
5,2286.000,227.570,228.080,226.614,227.051,227.520
6,4347.000,226.460,226.770,226.915,227.355,226.570
7,3340.000,226.580,226.880,226.523,226.836,226.600
8,3026.000,226.680,226.880,226.572,226.845,226.500
9,10199.000,225.580,225.800,226.292,226.560,225.750
10,13143.000,226.040,226.220,225.372,225.595,226.060
11,8061.000,226.270,226.500,225.920,226.178,226.530
12,1934.000,225.970,226.210,226.288,226.559,226.630
13,4525.000,226.430,226.700,226.328,226.558,226.610
14,3395.000,226.350,226.520,226.218,226.427,226.540
15,4936.000,227.060,227.280,226.663,226.871,227.070
16,4528.000,226.950,227.170,227.258,227.457,227.270
17,2291.000,226.900,227.190,226.905,227.123,227.040
18,4878.000,227.080,227.260,227.160,227.348,227.040
19,2002.000,226.870,227.090,226.919,227.116,226.980
20,5093.000,226.900,227.020,226.778,226.955,226.940
21,2792.000,227.020,227.120,226.800,226.975,227.090
22,5835.000,227.000,227.180,226.883,227.041,227.120
23,4584.000,226.980,227.130,227.050,227.211,227.010
24,2886.000,226.780,227.010,226.906,227.066,226.980
25,6168.000,226.470,226.580,226.547,226.683,226.540
26,9922.000,225.690,225.980,225.909,226.077,225.940
27,8516.000,225.980,226.160,225.809,225.978,225.990
28,6470.000,226.890,227.010,226.516,226.699,226.990
29,5407.000,227.250,227.350,226.914,227.087,227.340
30,3822.000,227.850,228.000,227.614,227.767,227.980
31,3422.000,227.650,227.790,227.726,227.909,227.780
32,5855.000,227.480,227.730,227.485,227.664,227.730
33,8558.000,227.850,227.930,227.894,228.050,227.890
34,5051.000,227.600,227.840,227.846,227.991,227.800
35,7361.000,228.090,228.200,227.844,227.978,228.140
36,6546.000,228.110,228.210,227.990,228.144,228.220
37,10564.000,228.260,228.460,228.127,228.294,228.400
38,46808.000,229.420,229.430,229.031,229.159,229.360
39,36749.000,229.990,230.750,230.747,231.392,229.930
40,8023.000,230.530,231.090,230.094,230.661,231.070
41,2546.000,231.410,231.720,231.240,231.760,231.660
42,4301.000,230.320,230.620,230.874,231.265,231.030
43,5441.000,228.340,228.650,228.935,229.303,228.550
44,2844.000,227.640,228.020,228.217,228.522,228.000
45,9157.000,226.500,226.730,226.883,227.181,226.450
46,4850.000,225.330,225.740,225.605,225.943,225.460
47,4967.000,224.340,224.590,224.969,225.324,224.420
48,4470.000,223.580,223.760,224.080,224.430,223.740
49,2553.000,224.610,224.760,223.919,224.239,224.530
50,1677.000,224.600,224.820,224.402,224.751,224.650
51,1908.000,224.860,225.160,224.314,224.617,224.980
52,2668.000,225.820,226.040,225.527,225.844,225.880
53,3863.000,225.750,225.990,225.762,226.032,225.940
54,4476.000,225.900,226.180,225.482,225.727,225.940
55,2562.000,225.140,225.630,225.572,225.852,225.580
56,3099.000,225.130,225.490,225.207,225.475,225.260
57,1727.000,224.800,224.920,225.087,225.321,225.000
