,volume,bid,ask,avg_bid,avg_ask,last_trade
0,91817.000,25.600,25.610,25.529,25.580,25.630
1,65332.000,25.410,25.420,25.505,25.527,25.410
2,21664.000,25.400,25.420,25.388,25.408,25.400
3,43238.000,25.330,25.350,25.409,25.426,25.340
4,28554.000,25.470,25.490,25.385,25.404,25.480
5,6680.000,25.520,25.600,25.500,25.521,25.570
6,12146.000,25.440,25.450,25.506,25.526,25.440
7,29043.000,25.320,25.330,25.423,25.438,25.340
8,13570.000,25.220,25.240,25.286,25.303,25.240
9,19890.000,25.180,25.190,25.166,25.184,25.180
10,34184.000,25.090,25.110,25.094,25.111,25.090
11,12728.000,25.060,25.080,25.054,25.073,25.070
12,14898.000,24.990,25.010,25.077,25.094,25.010
13,16162.000,24.890,24.900,24.992,25.009,24.900
14,21288.000,24.840,24.860,24.849,24.866,24.840
15,22561.000,25.000,25.010,24.920,24.936,25.010
16,11940.000,24.960,24.980,25.029,25.044,24.970
17,13201.000,24.930,24.950,24.967,24.980,24.945
18,17954.000,24.950,24.970,24.989,25.003,24.940
19,16165.000,25.070,25.080,24.988,25.002,25.080
20,14292.000,25.170,25.190,25.096,25.110,25.170
21,16189.000,25.240,25.260,25.194,25.207,25.250
22,18282.000,25.240,25.260,25.300,25.313,25.250
23,58988.000,25.170,25.180,25.239,25.255,25.180
24,12251.000,25.180,25.190,25.183,25.197,25.200
25,8151.000,25.040,25.060,25.102,25.117,25.060
26,21210.000,24.930,24.940,24.991,25.005,24.940
27,11380.000,24.920,24.930,24.866,24.881,24.930
28,10055.000,24.950,24.960,24.927,24.941,24.960
29,22485.000,25.020,25.040,24.962,24.975,25.030
30,10089.000,25.170,25.180,25.102,25.117,25.190
31,9497.000,25.230,25.240,25.200,25.213,25.250
32,8784.000,25.200,25.220,25.236,25.248,25.210
33,7921.000,25.250,25.270,25.270,25.284,25.260
34,13638.000,25.230,25.240,25.258,25.271,25.230
35,15378.000,25.280,25.290,25.243,25.256,25.290
36,25950.000,25.300,25.310,25.261,25.273,25.310
37,53152.000,25.260,25.280,25.261,25.273,25.270
38,68874.000,25.270,25.280,25.264,25.275,25.270
39,61245.000,25.000,25.020,25.239,25.292,25.010
40,12892.000,24.970,25.000,24.941,24.967,24.980
41,8589.000,25.270,25.290,25.210,25.235,25.280
42,4430.000,25.250,25.260,25.283,25.304,25.260
43,8931.000,25.130,25.140,25.194,25.215,25.140
44,15597.000,25.370,25.440,25.231,25.253,25.380
45,5266.000,25.270,25.300,25.291,25.315,25.280
46,8134.000,25.290,25.310,25.230,25.250,25.280
47,14614.000,25.130,25.140,25.189,25.207,25.145
48,59240.000,25.010,25.040,25.125,25.140,25.050
49,11134.000,25.220,25.240,25.124,25.141,25.220
50,5625.000,25.180,25.200,25.189,25.209,25.180
51,4310.000,25.130,25.160,25.082,25.102,25.140
52,1537.000,25.290,25.310,25.244,25.264,25.315
53,4044.000,25.220,25.240,25.246,25.265,25.249
54,4569.000,25.250,25.270,25.195,25.213,25.240
55,6163.000,25.090,25.110,25.185,25.201,25.100
56,2731.000,25.010,25.030,25.047,25.064,25.030
57,4034.000,24.940,24.960,24.972,24.988,24.940
58,6899.000,24.980,25.000,24.994,25.010,25.000
59,3868.000,24.920,24.940,24.932,24.948,24.930
60,3565.000,24.950,24.960,24.917,24.931,24.930
61,5002.000,24.950,24.960,24.941,24.956,24.930
62,3600.000,24.920,24.940,24.885,24.903,24.925
63,7202.000,24.870,24.890,24.880,24.897,24.870
64,5353.000,25.000,25.010,24.937,24.955,24.985
65,7128.000,24.900,24.920,24.927,24.943,24.920
66,7924.000,24.990,25.010,24.942,24.958,24.960
67,4209.000,24.950,24.970,24.976,24.993,24.960
68,4998.000,24.800,24.810,24.863,24.881,24.815
69,5587.000,24.840,24.850,24.819,24.834,24.860
70,11472.000,24.690,24.710,24.758,24.774,24.710
71,4436.000,24.760,24.780,24.751,24.767,24.750
72,5642.000,24.730,24.740,24.697,24.712,24.740
73,19449.000,24.660,24.670,24.654,24.670,24.670
74,11050.000,24.640,24.660,24.674,24.687,24.650
75,16750.000,24.690,24.700,24.638,24.650,24.690
76,28020.000,24.680,24.690,24.678,24.689,24.685
77,92007.000,24.710,24.720,24.685,24.695,24.710
78,76697.000,25.380,25.410,25.210,25.258,25.370
79,31495.000,25.270,25.290,25.337,25.360,25.280
80,9670.000,25.170,25.220,25.210,25.233,25.200
81,17358.000,25.590,25.620,25.445,25.474,25.600
82,22237.000,25.750,25.770,25.706,25.729,25.770
83,14559.000,25.650,25.670,25.677,25.698,25.660
