,volume,bid,ask,avg_bid,avg_ask,last_trade
0,3024.000,64.980,65.400,64.964,65.379,65.690
1,300.000,65.130,65.550,65.079,65.493,65.580
2,100.000,64.980,65.400,64.998,65.402,65.370
3,400.000,64.830,65.240,64.922,65.338,65.320
4,3620.000,65.170,65.550,64.998,65.397,65.440
5,1010.000,65.150,65.550,65.074,65.476,65.610
6,3821.000,65.160,65.550,65.084,65.503,65.030
7,500.000,65.230,65.640,65.253,65.646,64.750
8,300.000,65.730,66.160,65.491,65.894,64.560
9,1500.000,65.430,65.830,65.648,66.053,64.030
10,6600.000,65.240,65.650,65.416,65.796,63.940
11,5203.000,65.440,65.900,65.476,65.873,64.390
12,1393.000,64.950,65.350,65.082,65.492,63.950
13,600.000,65.000,65.360,64.821,65.356,64.000
14,2594.000,65.340,65.760,65.198,65.742,63.900
15,1100.000,65.700,65.740,65.615,65.656,64.040
16,800.000,65.270,65.310,65.578,65.614,64.090
17,513.000,65.370,65.410,65.277,65.314,63.990
18,1500.000,65.240,65.280,65.335,65.373,64.160
19,2300.000,65.330,65.370,65.347,65.387,64.270
20,2600.000,65.550,65.610,65.369,65.407,63.730
21,1200.000,65.020,65.050,65.108,65.151,63.960
22,1100.000,64.710,64.750,64.921,64.958,63.880
23,1968.000,64.650,64.690,64.561,64.600,64.090
24,800.000,63.990,64.030,64.222,64.260,64.070
25,1100.000,63.940,63.980,63.837,63.875,63.710
26,2459.000,64.300,64.340,63.948,63.984,63.530
27,1600.000,63.900,63.940,64.142,64.182,63.240
28,2000.000,63.970,64.010,64.037,64.075,63.320
29,3900.000,63.840,63.880,63.891,63.926,63.350
30,900.000,64.120,64.160,63.948,63.987,63.610
31,1400.000,64.020,64.060,64.058,64.092,63.700
32,1400.000,63.960,63.990,64.005,64.038,63.670
33,2400.000,64.140,64.170,64.148,64.180,63.510
34,10003.000,64.170,64.210,64.145,64.178,63.490
35,2421.000,63.690,63.730,63.839,63.877,63.500
36,5685.000,63.960,64.000,63.696,63.735,63.570
37,2800.000,63.870,63.910,63.825,63.867,63.610
38,8140.000,64.040,64.070,64.012,64.046,63.650
39,13830.000,64.170,64.190,64.059,64.092,64.400
40,6386.000,63.680,63.720,63.872,63.906,64.310
41,4003.000,63.510,63.540,63.529,63.562,64.440
42,3800.000,63.290,63.320,63.351,63.385,64.370
43,5888.000,63.280,63.300,63.339,63.372,64.180
44,11470.000,63.360,63.400,63.351,63.384,63.860
45,8886.000,63.590,63.620,63.498,63.534,63.540
46,43325.000,63.730,63.760,63.647,63.683,63.210
47,29213.000,63.680,63.710,63.697,63.731,63.130
48,34385.000,63.490,63.510,63.608,63.640,62.570
49,12915.000,63.470,63.500,63.518,63.548,62.900
50,19313.000,63.490,63.530,63.487,63.516,62.900
51,55441.000,63.560,63.580,63.552,63.576,63.330
52,26745.000,63.590,63.620,63.523,63.550,63.700
53,7400.000,63.650,63.690,63.614,63.668,63.700
54,9303.000,63.950,64.370,63.973,64.390,63.510
55,6393.000,64.330,64.600,64.163,64.529,63.470
56,3770.000,64.210,64.640,64.205,64.626,63.530
57,5880.000,64.250,64.650,64.205,64.621,63.420
58,8576.000,64.100,64.500,64.167,64.540,63.490
59,14359.000,64.390,64.820,64.240,64.650,63.070
60,2384.000,64.600,65.010,64.619,65.013,63.060
61,3242.000,64.780,65.160,64.629,65.022,63.260
62,3861.000,65.030,67.010,64.906,65.293,63.170
63,3600.000,65.070,65.490,65.025,65.412,63.050
64,0.000,65.030,65.430,64.983,65.402,63.050
65,2111.000,64.850,65.270,64.954,65.363,63.020
66,2205.000,64.610,65.030,64.667,65.087,62.900
67,2378.000,64.380,64.790,64.414,64.827,63.010
68,8200.000,64.570,64.610,64.428,64.788,62.750
69,3959.000,64.350,64.380,64.332,64.365,62.760
70,4428.000,64.250,64.290,64.211,64.244,62.750
71,5278.000,64.410,64.450,64.437,64.469,62.840
72,8577.000,64.410,64.440,64.422,64.455,62.850
73,22607.000,64.140,64.170,64.197,64.228,62.880
74,5021.000,63.790,63.890,63.890,63.924,62.890
75,5041.000,63.530,63.560,63.717,63.766,62.770
76,12408.000,63.200,63.220,63.298,63.325,62.670
77,10423.000,63.130,63.150,63.134,63.162,62.740
78,1100.000,62.550,62.580,62.788,62.817,63.560
79,0.000,62.890,62.910,62.756,62.783,63.560
80,0.000,62.870,62.900,62.853,62.882,63.560
81,0.000,63.330,63.360,62.905,62.935,63.560
82,0.000,63.680,63.710,63.509,63.540,63.560
83,0.000,63.650,63.680,63.541,63.569,63.560
84,7610.000,63.600,63.620,63.519,63.549,63.530
85,11128.000,63.460,63.490,63.569,63.597,63.550
86,7495.000,63.500,63.520,63.491,63.518,63.190
87,3400.000,63.440,63.470,63.520,63.547,63.370
88,6299.000,63.520,63.550,63.560,63.585,63.180
89,4357.000,63.080,63.100,63.128,63.154,63.370
90,6146.000,63.120,63.160,63.074,63.100,63.550
91,6316.000,63.200,63.220,63.179,63.204,63.260
92,4365.000,63.160,63.180,63.119,63.142,63.380
93,13742.000,63.100,63.120,63.078,63.102,63.440
94,12388.000,63.190,63.210,63.168,63.192,63.620
95,7718.000,63.020,63.030,63.106,63.129,63.520
96,5113.000,62.880,62.910,62.939,62.963,63.340
97,3374.000,63.000,63.030,62.953,62.975,63.440
98,4069.000,62.730,62.760,62.854,62.878,63.320
99,10557.000,62.730,62.760,62.739,62.763,63.090
100,7740.000,62.750,62.770,62.764,62.787,62.870
101,23971.000,62.810,62.820,62.838,62.858,62.730
102,16029.000,62.820,62.840,62.818,62.837,62.630
103,14959.000,62.900,62.920,62.829,62.848,62.400
104,13656.000,62.850,62.880,62.856,62.875,62.380
105,5595.000,62.760,62.770,62.802,62.820,62.360
106,45721.000,62.650,62.710,62.628,62.646,62.110
107,11551.000,62.550,62.880,62.669,62.686,62.060
108,9844.000,62.830,63.240,62.747,63.147,62.000
109,26118.000,62.890,63.310,62.858,63.245,61.990
110,4584.000,62.900,63.310,62.942,63.311,62.020
111,7719.000,63.040,63.450,62.960,63.367,61.880
112,17281.000,62.900,63.310,62.903,63.312,62.000
113,21654.000,62.900,63.310,62.907,63.292,62.640
114,9094.000,62.920,63.190,62.862,63.255,62.760
115,12246.000,63.150,63.570,62.948,63.310,62.920
116,17894.000,63.370,65.100,63.252,63.627,63.020
117,28355.000,63.590,64.060,63.307,63.697,62.970
118,3888.000,63.310,63.740,63.392,63.783,63.020
119,4257.000,63.450,63.720,63.484,63.885,63.020
120,8020.000,62.660,63.080,62.919,63.458,62.950
121,18457.000,62.670,63.190,62.778,63.154,62.850
122,33168.000,62.860,63.270,62.818,63.191,62.830
123,12962.000,63.510,63.540,63.296,63.332,63.220
124,4400.000,63.530,63.570,63.470,63.501,63.600
125,7191.000,63.180,63.270,63.308,63.339,63.780
