,volume,bid,ask,avg_bid,avg_ask,last_trade
0,94971.000,33.780,33.790,33.715,33.740,33.790
1,42218.000,33.790,33.800,33.832,33.843,33.790
2,26168.000,33.840,33.850,33.777,33.788,33.840
3,33221.000,33.920,33.930,33.904,33.916,33.920
4,36689.000,34.020,34.030,33.949,33.960,34.010
5,24519.000,34.140,34.150,34.053,34.066,34.120
6,35423.000,34.130,34.140,34.159,34.172,34.140
7,26797.000,34.140,34.150,34.128,34.139,34.140
8,29096.000,34.120,34.130,34.142,34.153,34.120
9,36093.000,33.980,33.990,34.072,34.083,34.000
10,34135.000,33.910,33.930,33.914,33.925,33.920
11,23663.000,33.820,33.830,33.812,33.823,33.820
12,21892.000,33.810,33.820,33.809,33.820,33.810
13,21056.000,33.800,33.810,33.829,33.839,33.800
14,29022.000,33.900,33.920,33.843,33.854,33.910
15,23443.000,33.980,33.990,33.938,33.949,33.980
16,17361.000,34.010,34.020,33.998,34.009,34.010
17,16626.000,33.940,33.950,33.963,33.974,33.950
18,16539.000,33.920,33.930,33.958,33.968,33.920
19,22210.000,33.960,33.970,33.939,33.949,33.960
20,15011.000,33.860,33.870,33.898,33.908,33.860
21,19084.000,33.870,33.880,33.828,33.839,33.870
22,26955.000,33.820,33.830,33.832,33.842,33.830
23,27759.000,33.830,33.840,33.802,33.812,33.830
24,27067.000,33.730,33.740,33.787,33.798,33.740
25,16536.000,33.750,33.760,33.733,33.743,33.750
26,24107.000,33.550,33.560,33.624,33.636,33.560
27,18995.000,33.560,33.570,33.539,33.549,33.560
28,17452.000,33.590,33.600,33.585,33.595,33.590
29,14299.000,33.580,33.590,33.579,33.590,33.580
30,26482.000,33.700,33.710,33.624,33.635,33.700
31,23947.000,33.610,33.620,33.642,33.652,33.620
32,21495.000,33.590,33.600,33.592,33.602,33.600
33,27377.000,33.660,33.670,33.654,33.665,33.660
34,44234.000,33.660,33.670,33.683,33.693,33.660
35,40263.000,33.710,33.720,33.677,33.687,33.710
36,61307.000,33.750,33.760,33.720,33.730,33.760
37,76109.000,33.720,33.730,33.720,33.730,33.720
38,251202.000,33.780,33.790,33.739,33.749,33.780
39,98537.000,33.360,33.380,33.476,33.502,33.420
40,43299.000,33.460,33.470,33.412,33.424,33.470
41,36290.000,33.570,33.580,33.543,33.554,33.580
42,36771.000,33.430,33.440,33.527,33.537,33.440
43,24890.000,33.280,33.290,33.342,33.353,33.290
44,43769.000,33.280,33.290,33.314,33.325,33.290
45,64327.000,32.860,32.880,33.078,33.090,32.870
46,46488.000,32.850,32.860,32.844,32.855,32.840
47,21834.000,32.730,32.740,32.837,32.848,32.740
48,28344.000,32.530,32.540,32.611,32.622,32.540
49,18712.000,32.680,32.690,32.590,32.600,32.680
50,32578.000,32.780,32.800,32.735,32.745,32.790
51,41240.000,32.750,32.760,32.719,32.730,32.750
52,41603.000,32.820,32.840,32.784,32.795,32.820
53,31684.000,32.810,32.820,32.816,32.827,32.820
54,23798.000,32.780,32.790,32.764,32.775,32.790
55,30224.000,32.760,32.770,32.765,32.775,32.770
