,volume,bid,ask,avg_bid,avg_ask,last_trade
0,58674.000,85.150,85.250,85.150,85.150,86.060
1,39458.000,85.050,85.140,85.050,85.250,85.620
2,16129.000,85.050,85.140,85.050,85.140,85.760
3,26882.000,85.050,85.290,85.050,85.140,85.660
4,25609.000,85.050,85.290,85.050,85.290,85.770
5,12890.000,85.130,85.390,85.120,85.290,86.270
6,31117.000,85.340,85.830,85.321,85.390,85.800
7,21155.000,85.810,85.760,85.568,85.830,85.760
8,54769.000,85.570,85.730,85.570,85.802,85.730
9,24498.000,85.570,90.080,85.570,85.679,85.160
10,44947.000,81.460,90.080,81.460,90.080,84.960
11,18012.000,81.460,90.080,81.460,90.080,84.910
12,37312.000,81.460,90.080,81.460,90.080,84.810
13,10192.000,81.460,86.040,81.460,90.080,84.910
14,37348.000,86.020,85.630,85.817,85.843,85.010
15,19866.000,85.620,85.800,85.928,85.944,85.390
16,21129.000,85.780,85.690,85.620,85.638,85.370
17,27348.000,85.680,85.850,85.818,85.835,85.370
18,21423.000,85.830,86.290,85.735,85.752,85.420
19,12930.000,86.260,85.820,85.937,85.954,85.300
20,12474.000,85.810,85.750,86.034,86.052,85.050
21,5814.000,85.740,85.750,85.803,85.819,85.110
22,18603.000,85.730,85.170,85.723,85.737,85.130
23,18855.000,85.160,84.980,85.493,85.508,85.100
24,11817.000,84.960,84.900,84.893,84.909,85.120
25,17014.000,84.880,84.790,84.819,84.834,84.870
26,16663.000,84.780,84.890,84.923,84.938,84.590
27,27420.000,84.870,85.030,84.930,84.943,84.610
28,32563.000,85.010,85.400,84.850,84.863,84.890
29,18105.000,85.380,85.380,85.193,85.208,84.910
30,33897.000,85.370,85.380,85.417,85.432,85.220
31,13696.000,85.360,85.440,85.383,85.397,85.190
32,17067.000,85.430,85.290,85.483,85.497,85.140
33,27947.000,85.270,85.060,85.344,85.359,85.190
34,32408.000,85.050,85.120,85.138,85.152,85.040
35,24614.000,85.110,85.120,85.046,85.061,85.040
36,23073.000,85.110,85.100,85.073,85.088,85.060
37,28242.000,85.090,85.090,85.108,85.122,84.980
38,61417.000,85.080,84.870,85.058,85.071,85.140
39,68629.000,84.860,84.580,84.938,84.952,86.390
40,21348.000,84.560,84.610,84.658,84.673,86.530
41,30473.000,84.590,84.840,84.509,84.524,86.780
42,14219.000,84.830,84.910,84.760,84.774,86.670
43,30919.000,84.900,85.210,84.815,84.829,86.120
44,10395.000,85.200,85.180,85.086,85.100,86.060
45,19129.000,85.170,85.150,85.172,85.186,85.590
46,12165.000,85.130,85.210,85.125,85.138,85.510
47,28985.000,85.190,85.030,85.242,85.256,85.070
48,33140.000,85.020,85.090,85.150,85.163,84.660
49,17352.000,85.080,85.040,85.002,85.015,85.150
50,11285.000,85.030,84.990,85.035,85.048,85.110
51,27345.000,84.970,85.150,84.989,85.001,85.110
52,23850.000,84.960,86.160,85.059,85.074,85.400
53,6288.000,86.080,86.300,86.080,86.160,85.300
54,7986.000,86.160,86.300,86.162,86.287,85.260
55,9700.000,86.270,86.400,86.270,86.300,85.120
56,3794.000,86.390,86.450,86.390,86.385,85.110
57,4748.000,86.380,86.450,86.393,86.480,85.060
58,2602.000,86.560,86.620,86.402,86.450,85.090
59,11086.000,86.670,86.630,86.674,86.707,85.030
60,7800.000,86.620,86.890,86.615,86.645,85.060
61,22072.000,86.670,87.040,86.725,86.855,85.030
62,4788.000,87.010,87.060,86.825,86.978,85.090
63,6026.000,86.900,91.220,86.900,87.000,85.060
64,4570.000,82.460,91.220,82.469,91.211,85.250
65,5500.000,82.460,91.220,82.460,91.220,85.110
66,12793.000,82.460,91.220,82.460,91.220,84.980
67,5964.000,82.460,86.380,82.460,91.220,84.870
68,5820.000,86.360,86.540,86.507,86.543,84.590
69,8429.000,86.520,86.790,86.423,86.443,84.630
70,9710.000,86.770,86.630,86.773,86.793,84.410
71,10668.000,86.620,86.120,86.702,86.721,84.520
72,10221.000,86.100,86.070,86.332,86.351,84.400
73,25777.000,85.900,85.570,86.154,86.177,84.510
74,13203.000,85.550,85.480,85.748,85.771,84.500
75,35802.000,85.470,85.040,85.460,85.479,84.390
76,50701.000,85.030,84.640,85.279,85.295,84.400
77,37437.000,84.620,85.110,84.861,84.876,84.770
78,100.000,85.100,85.100,84.898,84.914,84.460
79,66103.000,85.080,85.110,85.049,85.064,84.910
80,25773.000,85.090,85.420,84.948,84.963,84.550
81,12631.000,85.400,85.310,85.291,85.308,84.260
82,17098.000,85.290,85.310,85.301,85.315,84.540
83,26967.000,85.300,85.110,85.228,85.242,84.260
84,27409.000,85.100,85.120,85.222,85.235,84.170
85,29510.000,85.100,85.070,85.089,85.103,83.980
86,14537.000,85.050,85.110,85.096,85.109,83.710
87,13859.000,85.100,85.030,85.097,85.110,83.840
88,7418.000,85.020,85.090,84.967,84.981,83.950
89,9862.000,85.070,85.040,85.074,85.088,84.150
90,16112.000,85.020,85.120,85.054,85.067,84.260
91,9412.000,85.100,85.090,85.001,85.014,84.150
92,7801.000,85.080,85.260,85.007,85.021,84.310
93,15526.000,85.240,85.120,85.177,85.191,84.380
94,10152.000,85.100,85.000,85.126,85.139,84.130
95,29413.000,84.980,84.860,84.964,84.978,83.860
96,16013.000,84.850,84.610,84.896,84.910,83.570
97,26249.000,84.600,84.620,84.709,84.723,83.460
98,18921.000,84.610,84.400,84.599,84.612,83.280
99,15071.000,84.380,84.560,84.490,84.504,83.480
100,14535.000,84.550,84.410,84.509,84.523,83.460
101,13013.000,84.390,84.500,84.400,84.413,83.210
102,25441.000,84.490,84.490,84.379,84.392,83.220
103,19083.000,84.470,84.400,84.492,84.506,83.260
104,8862.000,84.390,84.450,84.368,84.381,83.190
105,7096.000,84.400,84.740,84.394,84.407,83.200
106,9863.000,84.680,84.880,84.499,84.514,83.070
107,9218.000,84.650,84.940,84.650,84.650,83.110
108,11530.000,84.670,84.940,84.670,84.670,83.320
109,21589.000,84.670,84.770,84.670,84.670,83.340
110,7223.000,84.670,84.950,84.670,84.670,83.290
111,12490.000,84.670,85.280,84.670,84.670,83.170
112,29358.000,84.670,89.210,84.670,84.670,83.190
113,11046.000,84.840,89.210,84.840,84.863,83.250
114,16413.000,84.870,89.210,84.845,84.910,83.020
115,27740.000,84.890,84.910,84.907,84.940,82.880
116,30305.000,84.630,84.590,84.728,84.916,82.740
117,63324.000,84.520,84.300,84.758,84.862,82.740
118,44214.000,85.050,84.570,85.026,85.360,82.920
119,29032.000,80.620,84.260,80.620,89.210,83.270
120,17289.000,80.620,84.180,80.620,89.210,83.520
121,47777.000,80.620,84.010,80.627,89.210,84.230
122,17798.000,84.890,83.680,84.899,84.927,83.910
123,15302.000,84.570,83.850,84.626,84.647,84.090
124,27828.000,84.240,83.960,84.374,84.395,84.220
125,16085.000,84.550,84.150,84.468,84.489,84.250
126,13429.000,84.240,84.230,84.368,84.384,84.210
127,10072.000,84.160,84.170,84.150,84.165,84.230
128,19185.000,83.990,84.340,83.957,83.972,84.140
129,15716.000,83.660,84.390,83.804,83.819,84.340
130,25737.000,83.830,84.130,83.749,83.763,84.230
131,7042.000,83.940,83.860,84.017,84.033,84.240
132,16716.000,84.140,83.560,84.011,84.025,84.210
133,21631.000,84.210,83.460,84.180,84.195,84.360
134,16525.000,84.160,83.290,84.172,84.186,84.340
135,9793.000,84.320,83.490,84.278,84.292,84.230
136,10297.000,84.370,83.450,84.313,84.327,84.260
137,8370.000,84.120,83.200,84.164,84.179,84.280
138,4981.000,83.850,83.210,84.010,84.024,84.320
139,31431.000,83.550,83.250,83.627,83.642,84.230
140,11078.000,83.450,83.120,83.478,83.492,84.190
141,6701.000,83.280,83.200,83.400,83.413,83.970
142,7029.000,83.480,83.030,83.398,83.412,84.140
143,5132.000,83.430,83.110,83.516,83.530,84.210
144,7757.000,83.190,83.290,83.409,83.423,84.220
145,8756.000,83.200,83.370,83.179,83.193,84.170
146,5331.000,83.240,83.280,83.235,83.248,84.180
147,5336.000,83.100,83.170,83.204,83.217,84.300
148,5749.000,83.190,83.190,83.175,83.188,84.410
149,8561.000,83.020,83.250,83.107,83.121,84.470
150,42202.000,83.100,83.030,83.048,83.061,84.590
151,14714.000,83.270,82.870,83.160,83.173,84.740
152,15951.000,83.360,82.750,83.338,83.352,84.740
153,25662.000,83.260,82.740,83.255,83.269,84.840
154,25825.000,83.160,82.910,83.206,83.219,84.990
155,29136.000,83.180,82.900,83.203,83.215,84.810
156,53610.000,83.240,82.900,83.219,83.232,84.860
157,93513.000,83.010,82.900,83.108,83.120,86.590
158,38223.000,82.860,82.900,82.989,83.001,86.700
159,31599.000,82.730,82.960,82.805,82.818,86.980
160,15785.000,82.680,82.960,82.711,82.724,86.950
161,22518.000,82.970,83.120,82.915,82.915,86.450
162,40173.000,83.070,83.250,82.900,82.900,86.430
163,111474.000,83.070,83.220,82.900,82.900,86.270
164,23904.000,83.110,83.220,82.900,82.900,86.370
165,20047.000,83.080,83.040,82.900,82.900,85.790
166,15316.000,83.080,82.960,82.965,82.965,86.050
167,15295.000,82.850,87.200,82.970,82.960,86.390
168,17263.000,78.850,87.200,83.085,83.120,86.470
169,37418.000,78.850,82.930,83.070,83.250,86.710
170,29144.000,82.910,83.280,83.110,83.220,86.570
171,16597.000,83.260,83.530,83.080,83.220,86.620
172,53615.000,83.510,84.230,83.080,83.070,86.870
173,31469.000,84.210,83.960,82.871,82.962,86.400
174,13282.000,83.940,84.090,78.850,87.200,86.460
175,19287.000,84.070,84.220,78.850,87.200,86.540
176,31011.000,84.200,84.250,83.135,83.161,86.240
177,25229.000,84.240,84.210,83.213,83.232,86.220
178,33697.000,84.200,84.250,83.284,83.302,86.330
179,18484.000,84.230,84.160,84.009,84.028,86.630
180,25042.000,84.140,84.330,84.059,84.076,86.590
181,9440.000,84.310,84.240,84.083,84.098,86.540
182,13721.000,84.220,84.250,84.263,84.279,86.530
183,8360.000,84.230,84.200,84.321,84.336,86.700
184,12290.000,84.190,84.360,84.173,84.189,86.560
185,8740.000,84.350,84.330,84.204,84.219,86.450
186,10107.000,84.320,84.210,84.170,84.185,86.510
187,7015.000,84.200,84.270,84.284,84.298,86.510
188,14419.000,84.260,84.270,84.219,84.232,86.590
189,7043.000,84.260,84.330,84.177,84.192,86.460
190,14769.000,84.320,84.230,84.243,84.257,86.410
191,17617.000,84.210,84.180,84.327,84.342,86.490
192,13297.000,84.170,84.010,84.291,84.306,86.600
193,30377.000,84.000,84.150,84.197,84.210,86.490
194,29099.000,84.140,84.220,84.136,84.150,86.520
195,112421.000,84.210,84.240,84.245,84.258,86.440
196,50491.000,84.230,84.180,84.322,84.335,87.150
197,15691.000,84.170,84.190,84.182,84.195,86.700
198,27940.000,84.170,84.290,84.163,84.176,86.690
199,16396.000,84.280,84.440,84.046,84.060,86.210
200,17716.000,84.420,84.480,84.098,84.112,86.180
201,16542.000,84.470,84.600,84.163,84.175,85.940
202,65606.000,84.580,84.750,84.193,84.207,85.260
203,31884.000,84.740,84.750,84.230,84.244,85.770
204,16655.000,84.740,84.830,84.199,84.212,85.950
205,8543.000,84.820,84.990,84.277,84.290,86.150
206,16473.000,84.980,84.820,84.314,84.327,86.480
207,19401.000,84.810,84.880,84.448,84.460,86.520
208,7044.000,84.840,85.430,84.555,84.568,86.380
209,11905.000,85.220,85.430,84.635,84.647,86.180
210,8938.000,85.230,85.430,84.706,84.718,86.230
211,4812.000,85.300,87.250,84.769,84.781,86.280
212,4260.000,85.330,86.740,84.951,84.964,86.370
213,4425.000,85.290,86.520,84.867,84.879,86.460
214,5040.000,85.370,90.800,84.837,84.850,86.510
215,10194.000,85.400,90.800,85.225,85.225,86.540
216,5823.000,85.350,90.800,85.227,85.227,86.440
217,7988.000,85.570,86.580,85.285,85.285,86.620
218,24904.000,86.240,86.680,85.323,85.323,86.610
219,18554.000,86.580,87.030,85.290,85.290,86.700
220,23378.000,86.410,86.950,85.363,85.363,86.760
221,31196.000,82.130,86.490,85.400,85.430,86.780
222,22992.000,82.130,86.440,85.350,85.430,86.820
223,69296.000,82.130,86.280,85.539,85.430,85.940
224,32589.000,86.570,86.280,85.933,87.260,86.370
225,17619.000,86.660,85.810,86.598,86.782,86.450
226,59864.000,87.010,86.060,86.551,86.650,85.960
227,83771.000,86.930,86.390,82.130,90.800,86.150
228,33164.000,86.470,86.470,82.130,90.800,86.090
229,128689.000,86.420,86.700,82.130,90.800,86.710
