,volume,bid,ask,avg_bid,avg_ask,last_trade
0,392249.000,104.240,104.260,104.357,104.394,104.260
1,125942.000,104.000,104.010,104.211,104.233,103.970
2,54039.000,104.320,104.340,104.040,104.059,104.320
3,68791.000,104.220,104.240,104.365,104.385,104.220
4,96924.000,104.310,104.330,104.236,104.255,104.300
5,37524.000,104.780,104.800,104.405,104.423,104.780
6,67978.000,104.210,104.220,104.489,104.509,104.230
7,33890.000,104.080,104.100,104.215,104.233,104.130
8,57791.000,104.110,104.130,104.054,104.071,104.120
9,94819.000,103.200,103.220,103.674,103.696,103.210
10,104709.000,102.990,103.030,102.844,102.877,103.000
11,40670.000,102.720,102.740,102.733,102.760,102.740
12,63327.000,102.570,102.590,102.711,102.730,102.590
13,33758.000,102.750,102.770,102.775,102.792,102.760
14,48109.000,103.070,103.090,102.778,102.794,103.080
15,62465.000,103.610,103.630,103.338,103.355,103.630
16,44374.000,103.640,103.660,103.663,103.681,103.650
17,40915.000,103.800,103.820,103.765,103.782,103.790
18,45608.000,103.880,103.900,103.969,103.985,103.910
19,34563.000,103.650,103.670,103.772,103.790,103.660
20,30564.000,103.310,103.320,103.470,103.487,103.320
21,37212.000,103.440,103.460,103.307,103.324,103.450
22,38943.000,103.420,103.430,103.382,103.398,103.440
23,40603.000,103.380,103.390,103.379,103.394,103.350
24,42426.000,103.520,103.540,103.443,103.459,103.530
25,39316.000,103.270,103.280,103.312,103.328,103.280
26,32915.000,102.880,102.890,102.965,102.982,102.900
27,35748.000,102.850,102.870,102.764,102.780,102.870
28,40389.000,103.100,103.120,103.030,103.046,103.110
29,27413.000,103.220,103.240,103.086,103.103,103.230
30,32229.000,103.670,103.680,103.514,103.530,103.670
31,25197.000,103.600,103.620,103.642,103.659,103.610
32,40290.000,103.680,103.700,103.597,103.614,103.680
33,53299.000,103.820,103.840,103.819,103.836,103.830
34,54890.000,103.560,103.580,103.747,103.764,103.570
35,58580.000,103.620,103.640,103.536,103.552,103.630
36,67967.000,103.530,103.540,103.571,103.586,103.530
37,68781.000,103.540,103.550,103.528,103.541,103.550
38,335415.000,103.690,103.700,103.613,103.624,103.690
39,420880.000,106.040,106.060,105.895,105.973,106.040
40,168183.000,106.340,106.360,106.112,106.130,106.350
41,192509.000,106.470,106.490,106.543,106.561,106.480
42,133137.000,106.350,106.370,106.374,106.393,106.340
43,94242.000,105.720,105.740,106.026,106.044,105.710
44,89599.000,105.650,105.670,105.791,105.809,105.660
45,109445.000,105.220,105.240,105.339,105.357,105.250
46,74062.000,105.180,105.210,105.165,105.184,105.190
47,80326.000,104.730,104.740,105.010,105.027,104.760
48,99597.000,104.280,104.310,104.512,104.530,104.300
49,56821.000,104.940,104.950,104.667,104.684,104.940
50,47154.000,104.920,104.940,104.880,104.897,104.960
51,61113.000,104.920,104.940,104.723,104.740,104.930
52,67681.000,105.280,105.290,105.140,105.158,105.250
53,33176.000,105.140,105.160,105.136,105.153,105.150
54,58943.000,105.150,105.170,105.127,105.143,105.160
55,34478.000,104.830,104.840,105.029,105.045,104.830
56,29100.000,104.840,104.850,104.842,104.858,104.840
57,39705.000,104.800,104.820,104.827,104.843,104.820
58,28912.000,104.840,104.850,104.827,104.842,104.840
59,51157.000,104.770,104.790,104.686,104.701,104.780
60,31414.000,104.820,104.830,104.831,104.846,104.820
61,29866.000,104.810,104.820,104.845,104.861,104.820
62,30484.000,104.860,104.880,104.762,104.777,104.850
63,36447.000,104.820,104.830,104.732,104.747,104.820
64,33683.000,105.070,105.080,104.943,104.958,105.020
65,37211.000,104.910,104.920,104.946,104.961,104.920
66,45439.000,104.710,104.720,104.721,104.738,104.710
67,45795.000,104.460,104.480,104.573,104.587,104.470
68,58701.000,104.080,104.090,104.265,104.279,104.090
69,41755.000,104.080,104.100,104.079,104.093,104.090
70,40794.000,103.850,103.860,103.967,103.981,103.850
71,37240.000,104.040,104.050,104.003,104.017,104.040
72,43196.000,103.830,103.840,103.839,103.853,103.830
73,45255.000,104.060,104.070,103.862,103.878,104.080
74,42709.000,104.100,104.110,104.107,104.122,104.110
75,81669.000,103.890,103.900,103.931,103.945,103.900
76,93682.000,103.890,103.900,103.888,103.901,103.900
77,493854.000,104.330,104.360,104.056,104.068,104.360
78,496181.000,105.130,105.160,104.996,105.063,105.130
79,137820.000,104.940,104.970,104.897,104.931,104.940
80,98671.000,104.220,104.320,104.538,104.566,104.250
81,77827.000,104.510,104.530,104.389,104.427,104.520
82,66265.000,104.460,104.480,104.452,104.473,104.480
83,88127.000,104.510,104.530,104.453,104.473,104.510
84,46018.000,104.320,104.340,104.228,104.249,104.320
85,40807.000,104.090,104.110,104.171,104.189,104.100
86,36839.000,104.230,104.240,104.148,104.165,104.230
87,44297.000,104.370,104.390,104.459,104.479,104.390
88,21924.000,104.570,104.590,104.425,104.447,104.590
89,26023.000,104.650,104.670,104.560,104.580,104.660
90,30982.000,104.750,104.760,104.697,104.718,104.750
91,31468.000,104.910,104.930,104.875,104.894,104.920
92,51333.000,105.050,105.060,104.971,104.989,105.050
93,39783.000,104.850,104.880,104.821,104.840,104.860
94,48868.000,104.430,104.450,104.630,104.650,104.460
95,41457.000,104.080,104.090,104.160,104.180,104.090
96,47330.000,103.940,103.960,104.010,104.026,103.950
97,43590.000,103.780,103.810,103.900,103.916,103.820
98,32395.000,104.080,104.110,103.950,103.967,104.090
99,43638.000,104.090,104.110,104.167,104.185,104.120
100,30861.000,103.860,103.880,104.129,104.147,103.890
101,30223.000,103.890,103.900,103.871,103.890,103.900
102,24734.000,103.880,103.890,103.901,103.919,103.890
103,31270.000,103.460,103.480,103.698,103.716,103.470
104,23972.000,103.700,103.720,103.589,103.607,103.700
105,28927.000,103.490,103.510,103.579,103.596,103.500
106,27285.000,103.610,103.630,103.567,103.586,103.620
107,32746.000,103.820,103.840,103.694,103.711,103.830
108,29820.000,103.970,103.980,103.900,103.916,103.970
109,34038.000,103.920,103.940,103.881,103.896,103.900
110,33404.000,103.800,103.820,103.857,103.870,103.820
111,36265.000,103.830,103.840,103.870,103.884,103.840
112,43802.000,103.830,103.850,103.870,103.884,103.850
113,48309.000,103.610,103.640,103.719,103.735,103.620
114,87974.000,103.470,103.480,103.620,103.633,103.490
115,107405.000,103.360,103.370,103.430,103.444,103.360
116,484023.000,103.500,103.510,103.410,103.422,103.500
117,320482.000,103.700,103.730,103.973,104.012,103.730
118,94358.000,104.230,104.250,104.082,104.107,104.230
119,76618.000,104.400,104.420,104.268,104.289,104.410
120,83989.000,105.260,105.280,105.008,105.036,105.270
121,61568.000,105.060,105.090,105.106,105.129,105.080
122,42473.000,105.150,105.160,105.180,105.200,105.170
123,51635.000,105.430,105.450,105.496,105.516,105.440
124,65451.000,105.340,105.350,105.464,105.483,105.370
125,47534.000,105.270,105.290,105.266,105.282,105.280
126,40135.000,105.360,105.370,105.363,105.380,105.370
127,57358.000,105.250,105.270,105.286,105.302,105.250
128,35866.000,105.480,105.500,105.410,105.426,105.500
129,24660.000,105.370,105.390,105.395,105.412,105.370
130,40477.000,105.390,105.400,105.330,105.347,105.400
131,38039.000,105.270,105.280,105.379,105.396,105.280
132,20292.000,105.400,105.420,105.376,105.395,105.410
133,23261.000,105.320,105.340,105.321,105.340,105.320
134,24059.000,105.120,105.140,105.175,105.192,105.130
135,19919.000,105.160,105.170,105.027,105.044,105.140
136,18928.000,105.150,105.160,105.121,105.140,105.170
137,17568.000,105.210,105.230,105.213,105.230,105.220
138,23799.000,105.080,105.090,105.100,105.118,105.100
139,32294.000,105.080,105.100,105.066,105.082,105.090
140,23923.000,105.030,105.040,105.015,105.031,105.040
141,21237.000,105.080,105.100,105.081,105.099,105.090
142,16537.000,105.180,105.200,105.129,105.146,105.190
143,27027.000,105.150,105.160,105.136,105.153,105.160
144,23667.000,105.050,105.070,105.136,105.151,105.060
145,31788.000,105.030,105.040,105.067,105.081,105.030
146,30885.000,105.150,105.170,105.147,105.162,105.170
147,27682.000,105.370,105.380,105.210,105.225,105.370
148,27428.000,105.360,105.380,105.356,105.370,105.380
149,64874.000,105.570,105.590,105.512,105.526,105.570
150,38684.000,105.760,105.780,105.616,105.632,105.760
151,65695.000,105.790,105.800,105.750,105.766,105.790
152,84692.000,105.950,105.960,105.873,105.887,105.950
153,125867.000,106.160,106.170,106.104,106.118,106.160
154,148558.000,105.980,105.990,106.022,106.035,105.980
155,459822.000,106.070,106.090,106.000,106.011,106.090
156,452030.000,107.790,107.840,107.680,107.717,107.850
157,129913.000,107.990,108.010,107.904,107.929,108.040
158,144722.000,108.120,108.140,108.296,108.320,108.140
159,104441.000,108.110,108.130,108.108,108.133,108.150
160,91353.000,107.620,107.640,107.757,107.779,107.610
161,85498.000,107.740,107.760,107.704,107.726,107.700
162,47350.000,107.530,107.560,107.670,107.693,107.560
163,95090.000,107.620,107.640,107.681,107.704,107.610
164,40846.000,107.030,107.050,107.328,107.349,107.030
165,35650.000,107.260,107.280,107.293,107.314,107.280
166,37256.000,107.720,107.740,107.473,107.493,107.730
167,41895.000,107.860,107.880,107.742,107.761,107.860
168,65566.000,107.930,107.950,107.968,107.987,107.940
169,73077.000,107.620,107.640,107.860,107.880,107.640
170,27205.000,107.650,107.670,107.513,107.535,107.660
171,36783.000,107.940,107.960,107.811,107.830,107.950
172,46208.000,107.430,107.450,107.723,107.745,107.450
173,37061.000,107.440,107.460,107.466,107.488,107.450
174,34018.000,107.560,107.570,107.551,107.571,107.540
175,46941.000,107.270,107.290,107.479,107.497,107.280
176,36835.000,107.280,107.300,107.270,107.290,107.290
177,22104.000,107.340,107.360,107.303,107.323,107.330
178,27932.000,107.580,107.600,107.478,107.496,107.600
179,26489.000,107.510,107.520,107.619,107.637,107.500
180,27320.000,107.440,107.460,107.455,107.472,107.450
181,23688.000,107.480,107.500,107.499,107.518,107.480
182,35664.000,107.700,107.720,107.568,107.585,107.710
183,24784.000,107.540,107.550,107.698,107.717,107.550
184,16453.000,107.490,107.510,107.535,107.555,107.490
185,28787.000,107.630,107.650,107.507,107.524,107.670
186,20757.000,107.630,107.650,107.630,107.649,107.640
187,18574.000,107.750,107.760,107.720,107.737,107.770
188,24397.000,107.620,107.640,107.645,107.662,107.640
189,36598.000,107.600,107.620,107.536,107.554,107.630
190,28846.000,107.640,107.660,107.592,107.609,107.660
191,39836.000,107.770,107.790,107.731,107.747,107.780
192,60938.000,107.630,107.650,107.784,107.801,107.640
193,144342.000,107.560,107.570,107.587,107.601,107.570
194,673513.000,107.310,107.330,107.507,107.519,107.320
195,243431.000,108.080,108.100,107.944,107.990,108.090
196,159725.000,107.690,107.700,107.989,108.011,107.670
197,60465.000,107.740,107.760,107.827,107.849,107.750
198,44340.000,107.250,107.270,107.549,107.570,107.260
199,43798.000,107.200,107.220,107.220,107.239,107.200
200,35884.000,106.730,106.760,106.916,106.937,106.740
201,68887.000,105.830,105.840,106.200,106.223,105.840
202,34040.000,106.310,106.350,106.200,106.228,106.350
203,21873.000,106.490,106.510,106.408,106.433,106.460
204,18378.000,106.540,106.560,106.510,106.532,106.560
205,20220.000,106.890,106.920,106.709,106.730,106.920
206,23113.000,106.940,106.960,106.935,106.956,106.950
207,18454.000,106.810,106.830,106.871,106.892,106.840
208,22366.000,106.580,106.590,106.760,106.778,106.600
209,18804.000,106.660,106.680,106.568,106.587,106.640
210,47353.000,106.800,106.810,106.769,106.788,106.830
211,58572.000,106.940,106.970,106.850,106.868,106.950
212,22352.000,107.040,107.050,106.980,106.998,107.050
213,12599.000,107.140,107.160,107.071,107.088,107.140
214,11390.000,107.190,107.210,107.160,107.176,107.210
215,10142.000,107.010,107.030,107.128,107.144,107.030
216,15977.000,107.210,107.230,107.178,107.196,107.210
217,25457.000,107.150,107.170,107.239,107.255,107.170
218,17045.000,107.260,107.270,107.280,107.297,107.290
219,20433.000,107.370,107.380,107.270,107.287,107.360
220,25319.000,107.420,107.440,107.375,107.391,107.420
221,35225.000,107.420,107.480,107.443,107.461,107.470
222,146399.000,106.510,106.550,106.713,106.761,106.510
223,52442.000,106.750,106.780,106.655,106.680,106.770
224,33768.000,106.880,106.910,106.774,106.797,106.910
225,95161.000,106.420,106.470,106.629,106.666,106.440
226,74902.000,106.480,106.530,106.444,106.490,106.520
227,60493.000,106.470,106.500,106.342,106.379,106.480
228,46648.000,107.140,107.190,106.857,106.899,107.160
229,47092.000,107.170,107.200,107.334,107.367,107.180
230,36933.000,106.680,106.710,107.055,107.082,106.700
231,38162.000,106.520,106.550,106.504,106.529,106.540
232,57643.000,106.750,106.760,106.627,106.647,106.740
233,231136.000,106.450,106.460,106.725,106.740,106.450
234,210678.000,106.100,106.150,105.820,105.879,106.150
235,65049.000,105.720,105.740,105.832,105.854,105.730
236,63528.000,105.130,105.170,105.540,105.561,105.170
237,50297.000,105.080,105.100,105.152,105.172,105.120
238,55008.000,105.150,105.170,105.044,105.064,105.160
239,46025.000,104.950,104.970,104.959,104.981,104.970
240,42297.000,105.250,105.260,105.016,105.037,105.260
241,29689.000,105.140,105.160,105.323,105.344,105.140
242,27086.000,105.130,105.150,105.054,105.074,105.150
243,27038.000,104.930,104.950,105.157,105.177,104.920
244,25565.000,104.690,104.710,104.714,104.734,104.720
245,33349.000,104.220,104.240,104.453,104.472,104.220
246,46071.000,103.970,103.990,104.067,104.086,103.940
247,28008.000,103.810,103.830,103.805,103.823,103.840
248,26702.000,104.100,104.120,103.994,104.013,104.120
249,21488.000,104.410,104.430,104.260,104.279,104.400
250,22073.000,104.620,104.630,104.489,104.507,104.620
251,21820.000,104.690,104.710,104.631,104.650,104.690
252,26180.000,104.700,104.710,104.694,104.712,104.700
253,20628.000,104.620,104.640,104.659,104.676,104.620
254,23207.000,104.900,104.920,104.800,104.818,104.900
255,20183.000,104.760,104.770,104.810,104.828,104.730
256,24334.000,104.650,104.670,104.833,104.851,104.650
257,20438.000,104.800,104.810,104.710,104.728,104.780
258,19669.000,104.790,104.810,104.810,104.828,104.800
259,16484.000,104.630,104.650,104.758,104.775,104.650
260,20348.000,104.770,104.790,104.712,104.729,104.780
261,16888.000,104.610,104.620,104.709,104.726,104.610
262,25360.000,104.790,104.800,104.754,104.770,104.790
263,17301.000,104.680,104.690,104.745,104.761,104.680
264,26592.000,104.870,104.890,104.761,104.778,104.860
265,17527.000,104.820,104.840,104.927,104.944,104.850
266,20336.000,105.010,105.030,104.895,104.913,105.020
267,24876.000,105.270,105.290,105.132,105.150,105.280
268,25344.000,105.080,105.090,105.140,105.158,105.080
269,26157.000,105.370,105.390,105.245,105.261,105.390
270,55224.000,105.440,105.450,105.428,105.443,105.440
271,84632.000,105.220,105.230,105.383,105.398,105.220
