,volume,bid,ask,avg_bid,avg_ask,last_trade
0,119.000,33893.000,33901.000,33877.300,33877.300,33898.000
1,67.000,33801.000,33808.000,33868.700,33868.700,33806.000
2,109.000,33821.000,33828.000,33804.300,33804.300,33821.000
3,136.000,33893.000,33901.000,33868.600,33868.600,33889.000
4,486.000,33912.000,33915.000,33895.000,33895.000,33914.000
5,386.000,34017.000,34019.000,33936.700,33936.700,34019.000
6,309.000,33908.000,33915.000,33978.000,33978.000,33908.000
7,99.000,33972.000,33980.000,33942.300,33942.300,33974.000
8,164.000,34011.000,34014.000,34003.000,34003.000,34013.000
9,225.000,33970.000,33973.000,34009.100,34009.100,33970.000
10,175.000,33922.000,33926.000,33937.100,33937.100,33918.000
11,146.000,33806.000,33813.000,33839.000,33839.000,33810.000
12,69.000,33815.000,33818.000,33809.300,33809.300,33828.000
13,131.000,33847.000,33851.000,33845.400,33845.400,33850.000
14,188.000,33872.000,33875.000,33841.800,33841.800,33871.000
15,159.000,33874.000,33877.000,33859.700,33859.700,33873.000
16,155.000,33883.000,33887.000,33886.700,33886.700,33887.000
17,146.000,33862.000,33865.000,33878.900,33878.900,33863.000
18,62.000,33868.000,33871.000,33860.300,33860.300,33869.000
19,108.000,33918.000,33924.000,33906.000,33906.000,33922.000
20,39.000,33902.000,33908.000,33914.000,33914.000,33907.000
21,121.000,33906.000,33909.000,33899.000,33899.000,33906.000
22,139.000,33959.000,33961.000,33928.500,33928.500,33960.000
23,65.000,33931.000,33933.000,33931.100,33931.100,33934.000
24,118.000,33902.000,33904.000,33917.600,33917.600,33904.000
25,50.000,33916.000,33918.000,33914.300,33914.300,33917.000
26,79.000,33851.000,33854.000,33873.900,33873.900,33856.000
27,98.000,33820.000,33823.000,33823.400,33823.400,33825.000
28,84.000,33843.000,33846.000,33847.400,33847.400,33846.000
29,65.000,33852.000,33855.000,33838.400,33838.400,33853.000
30,43.000,33884.000,33887.000,33869.900,33869.900,33889.000
31,77.000,33856.000,33859.000,33865.100,33865.100,33856.000
32,102.000,33832.000,33835.000,33837.200,33837.200,33831.000
33,144.000,33806.000,33809.000,33843.300,33843.300,33804.000
34,80.000,33806.000,33809.000,33812.500,33812.500,33812.000
35,89.000,33834.000,33837.000,33806.400,33806.400,33829.000
36,97.000,33848.000,33851.000,33842.900,33842.900,33845.000
37,50.000,33834.000,33837.000,33834.800,33834.800,33838.000
38,392.000,33854.000,33857.000,33862.300,33862.300,33856.000
39,79.000,33846.000,33853.000,33852.200,33852.200,33845.000
40,7.000,33842.000,33850.000,33841.200,33841.200,33837.000
41,0.000,33856.000,33865.000,33850.800,33850.800,33837.000
42,1.000,33850.000,33860.000,33852.700,33852.700,33861.000
43,4.000,33853.000,33862.000,33853.100,33853.100,33859.000
44,6.000,33850.000,33928.000,33854.100,33854.100,33852.000
45,515.000,34024.000,34029.000,33985.600,33985.600,34024.000
46,257.000,34012.000,34016.000,34008.600,34008.600,34008.000
47,437.000,34112.000,34115.000,34063.300,34063.300,34112.000
48,527.000,34114.000,34120.000,34120.400,34120.400,34116.000
49,292.000,34108.000,34112.000,34113.600,34113.600,34108.000
50,218.000,34156.000,34160.000,34131.700,34131.700,34160.000
51,199.000,34134.000,34138.000,34135.200,34135.200,34137.000
52,102.000,34126.000,34130.000,34114.900,34114.900,34117.000
53,133.000,34125.000,34130.000,34130.700,34130.700,34128.000
54,135.000,34054.000,34059.000,34094.400,34094.400,34053.000
55,160.000,34039.000,34044.000,34064.300,34064.300,34039.000
56,206.000,34064.000,34068.000,34042.400,34042.400,34066.000
57,126.000,34077.000,34081.000,34064.300,34064.300,34077.000
58,119.000,34084.000,34088.000,34072.700,34072.700,34095.000
59,49.000,34083.000,34087.000,34082.100,34082.100,34083.000
60,114.000,34087.000,34090.000,34071.300,34071.300,34087.000
61,134.000,34062.000,34066.000,34080.700,34080.700,34064.000
62,95.000,34045.000,34049.000,34055.700,34055.700,34049.000
63,85.000,34007.000,34012.000,34033.700,34033.700,34012.000
64,83.000,33987.000,33993.000,33996.200,33996.200,33985.000
65,39.000,34024.000,34029.000,34014.000,34014.000,34030.000
66,63.000,34053.000,34056.000,34041.500,34041.500,34063.000
67,68.000,34042.000,34047.000,34039.100,34039.100,34046.000
68,73.000,34075.000,34080.000,34039.000,34039.000,34074.000
69,117.000,34107.000,34111.000,34093.400,34093.400,34107.000
70,80.000,34116.000,34120.000,34118.600,34118.600,34112.000
71,61.000,34075.000,34080.000,34087.000,34087.000,34078.000
72,170.000,33976.000,33983.000,33996.200,33996.200,33981.000
73,114.000,33961.000,33967.000,33960.400,33960.400,33974.000
74,67.000,33937.000,33941.000,33963.200,33963.200,33941.000
75,69.000,33952.000,33956.000,33931.600,33931.600,33956.000
76,46.000,33952.000,33957.000,33958.600,33958.600,33955.000
77,93.000,33960.000,33965.000,33968.500,33968.500,33955.000
78,121.000,33957.000,33961.000,33940.600,33940.600,33963.000
79,60.000,33993.000,33998.000,33971.100,33971.100,34000.000
80,113.000,34009.000,34013.000,34003.100,34003.100,34017.000
81,77.000,33985.000,33989.000,34001.500,34001.500,33989.000
82,143.000,33954.000,33961.000,33968.800,33968.800,33961.000
83,295.000,34039.000,34042.000,33992.200,33992.200,34042.000
84,181.000,34056.000,34059.000,34045.700,34045.700,34056.000
85,130.000,34045.000,34050.000,34044.600,34044.600,34044.000
86,28.000,34062.000,34067.000,34049.800,34049.800,34065.000
87,22.000,34042.000,34050.000,34048.800,34048.800,34044.000
88,33.000,34035.000,34038.000,34041.200,34041.200,34038.000
89,14.000,34031.000,34042.000,34036.700,34036.700,34031.000
90,4095.000,33981.000,33984.000,33974.700,33974.700,33983.000
91,2172.000,33996.000,33998.000,34001.000,34001.000,33998.000
92,1273.000,33959.000,33967.000,33954.400,33954.400,33957.000
93,5314.000,34005.000,34006.000,33988.700,33988.700,34004.000
94,1791.000,33953.000,33955.000,33966.900,33966.900,33953.000
95,1410.000,33971.000,33973.000,33946.800,33946.800,33972.000
96,1932.000,34014.000,34016.000,33988.500,33988.500,34016.000
97,1685.000,33962.000,33964.000,33989.800,33989.800,33965.000
98,2074.000,34056.000,34058.000,34004.600,34004.600,34058.000
99,1592.000,34027.000,34029.000,34058.900,34058.900,34030.000
100,1313.000,34012.000,34014.000,34013.500,34013.500,34013.000
101,1363.000,34054.000,34056.000,34038.500,34038.500,34055.000
102,1655.000,34049.000,34051.000,34060.200,34060.200,34050.000
103,1368.000,34092.000,34094.000,34066.300,34066.300,34090.000
104,702.000,34096.000,34098.000,34100.200,34100.200,34096.000
105,595.000,34065.000,34067.000,34073.200,34073.200,34067.000
106,585.000,34056.000,34059.000,34073.200,34073.200,34057.000
107,570.000,34026.000,34028.000,34029.400,34029.400,34026.000
108,625.000,34061.000,34063.000,34050.900,34050.900,34061.000
109,808.000,34018.000,34020.000,34039.800,34039.800,34019.000
110,534.000,34020.000,34022.000,34015.700,34015.700,34020.000
111,790.000,33977.000,33979.000,33991.100,33991.100,33979.000
112,649.000,33985.000,33987.000,33982.900,33982.900,33986.000
113,572.000,33975.000,33977.000,33968.000,33968.000,33978.000
114,708.000,33992.000,33994.000,33986.300,33986.300,33993.000
115,342.000,33984.000,33987.000,33983.200,33983.200,33984.000
116,260.000,33977.000,33979.000,33976.400,33976.400,33977.000
117,787.000,33933.000,33936.000,33942.900,33942.900,33934.000
118,517.000,33955.000,33957.000,33941.300,33941.300,33956.000
119,277.000,33961.000,33963.000,33955.100,33955.100,33963.000
120,288.000,33967.000,33970.000,33963.600,33963.600,33968.000
121,372.000,33965.000,33967.000,33953.200,33953.200,33963.000
122,433.000,33953.000,33955.000,33956.400,33956.400,33955.000
123,414.000,33961.000,33963.000,33967.200,33967.200,33962.000
124,584.000,33960.000,33962.000,33967.300,33967.300,33962.000
125,430.000,33926.000,33928.000,33944.200,33944.200,33927.000
126,988.000,33858.000,33860.000,33904.700,33904.700,33856.000
127,1542.000,33805.000,33812.000,33829.000,33829.000,33813.000
128,3085.000,33742.000,33745.000,33758.600,33758.600,33743.000
129,885.000,33757.000,33760.000,33745.600,33745.600,33759.000
130,189.000,33740.000,33743.000,33751.000,33751.000,33740.000
131,144.000,33734.000,33737.000,33743.100,33743.100,33735.000
132,74.000,33735.000,33740.000,33732.400,33732.400,33733.000
133,109.000,33736.000,33740.000,33735.500,33735.500,33739.000
134,109.000,33724.000,33735.000,33729.200,33729.200,33735.000
135,6796.000,33847.000,33849.000,33860.800,33860.800,33848.000
136,2895.000,33895.000,33897.000,33854.100,33854.100,33894.000
137,2562.000,33893.000,33895.000,33865.800,33865.800,33894.000
138,2845.000,33890.000,33891.000,33906.500,33906.500,33892.000
139,1977.000,33880.000,33881.000,33882.900,33882.900,33881.000
140,2042.000,33923.000,33924.000,33908.900,33908.900,33923.000
141,2274.000,33930.000,33932.000,33933.700,33933.700,33930.000
142,1865.000,33943.000,33945.000,33956.300,33956.300,33945.000
143,1778.000,33957.000,33958.000,33945.100,33945.100,33956.000
144,4183.000,34046.000,34047.000,33996.500,33996.500,34047.000
145,2060.000,34012.000,34014.000,34023.400,34023.400,34015.000
146,1427.000,34023.000,34024.000,34025.900,34025.900,34023.000
147,1995.000,34011.000,34012.000,34001.300,34001.300,34012.000
148,1275.000,34005.000,34007.000,34003.800,34003.800,34007.000
149,964.000,34025.000,34026.000,34012.200,34012.200,34026.000
150,1605.000,34030.000,34031.000,34035.900,34035.900,34031.000
151,1140.000,34047.000,34048.000,34027.500,34027.500,34048.000
152,854.000,34024.000,34025.000,34025.500,34025.500,34024.000
153,1363.000,34058.000,34059.000,34033.700,34033.700,34058.000
154,1266.000,34050.000,34052.000,34058.800,34058.800,34051.000
155,794.000,34057.000,34058.000,34059.800,34059.800,34058.000
156,2167.000,34044.000,34046.000,34046.200,34046.200,34044.000
157,669.000,34043.000,34045.000,34032.100,34032.100,34043.000
158,594.000,34036.000,34038.000,34032.900,34032.900,34037.000
159,1173.000,34046.000,34047.000,34046.600,34046.600,34047.000
160,959.000,34081.000,34083.000,34061.900,34061.900,34082.000
161,803.000,34056.000,34058.000,34063.300,34063.300,34056.000
162,1061.000,34038.000,34040.000,34048.700,34048.700,34039.000
163,724.000,34030.000,34032.000,34035.900,34035.900,34031.000
164,797.000,34042.000,34044.000,34037.600,34037.600,34043.000
165,720.000,34051.000,34053.000,34039.900,34039.900,34053.000
166,961.000,34048.000,34049.000,34056.700,34056.700,34048.000
167,2191.000,34111.000,34113.000,34084.800,34084.800,34112.000
168,1773.000,34166.000,34167.000,34132.700,34132.700,34166.000
169,1904.000,34171.000,34173.000,34166.500,34166.500,34172.000
170,2853.000,34219.000,34220.000,34206.500,34206.500,34219.000
171,2747.000,34260.000,34262.000,34250.600,34250.600,34260.000
172,2337.000,34218.000,34220.000,34226.800,34226.800,34220.000
173,4835.000,34273.000,34275.000,34237.400,34237.400,34275.000
174,1526.000,34230.000,34232.000,34246.600,34246.600,34230.000
175,550.000,34226.000,34228.000,34228.800,34228.800,34230.000
176,164.000,34226.000,34228.000,34222.000,34222.000,34227.000
177,195.000,34222.000,34224.000,34223.200,34223.200,34223.000
178,321.000,34229.000,34230.000,34226.400,34226.400,34229.000
179,447.000,34232.000,34234.000,34230.300,34230.300,34232.000
180,15179.000,34821.000,34823.000,34866.600,34866.600,34821.000
181,6212.000,34791.000,34792.000,34833.000,34833.000,34792.000
182,4532.000,34873.000,34875.000,34862.200,34862.200,34874.000
183,7174.000,34771.000,34773.000,34779.400,34779.400,34772.000
184,6468.000,34689.000,34690.000,34704.600,34704.600,34691.000
185,7352.000,34573.000,34574.000,34591.700,34591.700,34573.000
186,7596.000,34452.000,34454.000,34562.700,34562.700,34454.000
187,6627.000,34475.000,34477.000,34519.300,34519.300,34476.000
188,3327.000,34489.000,34492.000,34490.600,34490.600,34490.000
189,2942.000,34509.000,34511.000,34512.900,34512.900,34511.000
190,4278.000,34536.000,34538.000,34539.800,34539.800,34538.000
191,2954.000,34507.000,34508.000,34491.400,34491.400,34506.000
192,4173.000,34553.000,34554.000,34560.300,34560.300,34554.000
193,4167.000,34376.000,34378.000,34489.300,34489.300,34376.000
194,4636.000,34396.000,34398.000,34358.400,34358.400,34397.000
195,3306.000,34402.000,34404.000,34412.000,34412.000,34402.000
196,4633.000,34227.000,34229.000,34310.600,34310.600,34227.000
197,3275.000,34249.000,34250.000,34261.400,34261.400,34250.000
198,4709.000,34290.000,34292.000,34241.400,34241.400,34291.000
199,4297.000,34180.000,34182.000,34261.300,34261.300,34180.000
200,4012.000,34221.000,34223.000,34201.800,34201.800,34222.000
201,2864.000,34241.000,34244.000,34250.500,34250.500,34242.000
202,1674.000,34356.000,34359.000,34298.300,34298.300,34356.000
203,1387.000,34381.000,34383.000,34376.300,34376.300,34384.000
204,1560.000,34367.000,34369.000,34383.900,34383.900,34370.000
205,1448.000,34348.000,34350.000,34365.600,34365.600,34350.000
206,1829.000,34370.000,34371.000,34332.300,34332.300,34371.000
207,2078.000,34329.000,34331.000,34365.500,34365.500,34330.000
208,1322.000,34334.000,34335.000,34341.300,34341.300,34334.000
209,1452.000,34356.000,34358.000,34333.200,34333.200,34359.000
210,1763.000,34394.000,34396.000,34359.500,34359.500,34395.000
211,2643.000,34429.000,34431.000,34433.500,34433.500,34430.000
212,2259.000,34338.000,34340.000,34357.300,34357.300,34340.000
213,2558.000,34269.000,34271.000,34264.500,34264.500,34271.000
214,1286.000,34324.000,34326.000,34277.600,34277.600,34326.000
215,1225.000,34360.000,34362.000,34341.700,34341.700,34361.000
216,3267.000,34364.000,34365.000,34395.900,34395.900,34363.000
217,3500.000,34388.000,34391.000,34397.100,34397.100,34389.000
218,5984.000,34393.000,34395.000,34413.200,34413.200,34394.000
219,1443.000,34417.000,34419.000,34386.000,34386.000,34418.000
220,602.000,34390.000,34392.000,34401.700,34401.700,34392.000
221,163.000,34383.000,34385.000,34380.100,34380.100,34380.000
222,78.000,34393.000,34395.000,34385.600,34385.600,34391.000
223,95.000,34391.000,34394.000,34395.900,34395.900,34392.000
224,90.000,34374.000,34379.000,34381.300,34381.300,34377.000
225,8108.000,34457.000,34458.000,34453.700,34453.700,34458.000
226,3843.000,34485.000,34486.000,34455.400,34455.400,34485.000
227,3805.000,34541.000,34542.000,34525.800,34525.800,34542.000
228,3668.000,34520.000,34521.000,34525.700,34525.700,34520.000
229,2123.000,34545.000,34546.000,34525.100,34525.100,34544.000
230,1928.000,34540.000,34542.000,34529.100,34529.100,34542.000
231,1441.000,34526.000,34527.000,34525.500,34525.500,34526.000
232,1366.000,34568.000,34570.000,34557.100,34557.100,34568.000
233,1327.000,34575.000,34576.000,34561.600,34561.600,34577.000
234,1864.000,34574.000,34576.000,34590.900,34590.900,34574.000
235,1462.000,34588.000,34589.000,34579.000,34579.000,34588.000
236,1323.000,34626.000,34628.000,34596.900,34596.900,34626.000
237,982.000,34622.000,34624.000,34617.700,34617.700,34623.000
238,1298.000,34613.000,34614.000,34623.300,34623.300,34612.000
239,1414.000,34583.000,34584.000,34590.600,34590.600,34584.000
240,1283.000,34595.000,34596.000,34587.600,34587.600,34597.000
241,906.000,34597.000,34598.000,34585.100,34585.100,34599.000
242,1078.000,34577.000,34579.000,34590.000,34590.000,34578.000
243,528.000,34600.000,34602.000,34581.100,34581.100,34600.000
244,603.000,34589.000,34591.000,34596.400,34596.400,34591.000
245,973.000,34555.000,34557.000,34570.900,34570.900,34554.000
246,776.000,34601.000,34602.000,34582.800,34582.800,34602.000
247,968.000,34585.000,34586.000,34600.600,34600.600,34585.000
248,642.000,34589.000,34591.000,34591.500,34591.500,34590.000
249,1548.000,34665.000,34667.000,34618.300,34618.300,34667.000
250,1328.000,34627.000,34628.000,34654.400,34654.400,34625.000
251,2184.000,34612.000,34632.000,34624.400,34624.400,34633.000
252,23744.000,34232.000,34234.000,34341.800,34341.800,34232.000
253,8705.000,34294.000,34296.000,34278.600,34278.600,34295.000
254,3253.000,34274.000,34277.000,34274.700,34274.700,34273.000
255,14611.000,34082.000,34084.000,34124.400,34124.400,34083.000
256,11543.000,34114.000,34117.000,34078.100,34078.100,34115.000
257,5008.000,34147.000,34154.000,34102.900,34102.900,34148.000
258,4274.000,34273.000,34279.000,34230.700,34230.700,34278.000
259,5378.000,34347.000,34349.000,34367.700,34367.700,34347.000
260,5505.000,34158.000,34159.000,34293.900,34293.900,34158.000
261,4520.000,34161.000,34163.000,34127.200,34127.200,34161.000
262,3744.000,34225.000,34229.000,34191.400,34191.400,34228.000
263,4249.000,34218.000,34221.000,34268.800,34268.800,34219.000
264,1329.000,34295.000,34299.000,34265.700,34265.700,34295.000
265,342.000,34292.000,34295.000,34288.900,34288.900,34293.000
266,159.000,34284.000,34287.000,34295.400,34295.400,34285.000
267,119.000,34282.000,34286.000,34286.900,34286.900,34286.000
268,356.000,34301.000,34305.000,34297.700,34297.700,34305.000
269,227.000,34299.000,34304.000,34307.700,34307.700,34300.000
270,9986.000,33800.000,33802.000,33820.400,33820.400,33803.000
271,5677.000,33669.000,33671.000,33731.700,33731.700,33670.000
272,7587.000,33580.000,33581.000,33639.400,33639.400,33581.000
273,5191.000,33522.000,33525.000,33529.400,33529.400,33526.000
274,3966.000,33576.000,33578.000,33531.400,33531.400,33577.000
275,2376.000,33541.000,33543.000,33548.600,33548.600,33543.000
276,4163.000,33587.000,33588.000,33541.300,33541.300,33588.000
277,2461.000,33536.000,33537.000,33576.800,33576.800,33537.000
278,3138.000,33517.000,33519.000,33511.700,33511.700,33518.000
279,2623.000,33514.000,33516.000,33525.200,33525.200,33515.000
280,4580.000,33483.000,33485.000,33479.400,33479.400,33484.000
281,2388.000,33441.000,33443.000,33459.500,33459.500,33441.000
282,2509.000,33448.000,33450.000,33430.800,33430.800,33450.000
283,2717.000,33366.000,33368.000,33406.500,33406.500,33367.000
284,3495.000,33399.000,33401.000,33393.900,33393.900,33401.000
285,2516.000,33405.000,33406.000,33419.800,33419.800,33405.000
286,1883.000,33408.000,33410.000,33397.300,33397.300,33410.000
287,1638.000,33404.000,33405.000,33385.100,33385.100,33404.000
288,2628.000,33404.000,33405.000,33423.300,33423.300,33408.000
289,2102.000,33365.000,33366.000,33376.900,33376.900,33365.000
290,2656.000,33322.000,33323.000,33344.900,33344.900,33322.000
291,3423.000,33261.000,33262.000,33287.100,33287.100,33261.000
292,1816.000,33257.000,33259.000,33276.100,33276.100,33258.000
293,1522.000,33283.000,33285.000,33268.500,33268.500,33283.000
294,1988.000,33301.000,33302.000,33279.300,33279.300,33301.000
295,1707.000,33277.000,33279.000,33289.900,33289.900,33278.000
296,2456.000,33328.000,33329.000,33287.500,33287.500,33329.000
297,2160.000,33287.000,33288.000,33316.900,33316.900,33288.000
298,1289.000,33317.000,33318.000,33299.500,33299.500,33319.000
299,1508.000,33307.000,33309.000,33311.500,33311.500,33308.000
300,3307.000,33393.000,33395.000,33354.700,33354.700,33394.000
301,2887.000,33391.000,33392.000,33407.400,33407.400,33392.000
302,2292.000,33449.000,33451.000,33414.200,33414.200,33451.000
303,3149.000,33512.000,33513.000,33482.300,33482.300,33511.000
304,2423.000,33424.000,33426.000,33457.400,33457.400,33422.000
305,2664.000,33505.000,33507.000,33458.000,33458.000,33506.000
306,2939.000,33456.000,33458.000,33490.900,33490.900,33457.000
307,4323.000,33378.000,33380.000,33402.100,33402.100,33378.000
308,7834.000,33440.000,33442.000,33407.200,33407.200,33440.000
309,1824.000,33430.000,33432.000,33437.300,33437.300,33432.000
310,846.000,33363.000,33365.000,33398.400,33398.400,33364.000
311,323.000,33370.000,33372.000,33364.100,33364.100,33372.000
312,298.000,33372.000,33375.000,33366.600,33366.600,33374.000
313,408.000,33399.000,33402.000,33379.000,33379.000,33402.000
314,376.000,33395.000,33401.000,33400.100,33400.100,33399.000
315,9468.000,33204.000,33207.000,33202.300,33202.300,33205.000
316,6598.000,33254.000,33256.000,33213.200,33213.200,33254.000
317,3985.000,33259.000,33261.000,33251.400,33251.400,33260.000
318,5479.000,33071.000,33073.000,33156.100,33156.100,33072.000
319,4100.000,33092.000,33094.000,33055.700,33055.700,33093.000
320,3734.000,33013.000,33015.000,33057.400,33057.400,33014.000
321,4859.000,33009.000,33011.000,33001.600,33001.600,33011.000
322,3594.000,33032.000,33034.000,33038.400,33038.400,33033.000
323,2682.000,33069.000,33071.000,33045.300,33045.300,33069.000
324,2907.000,33037.000,33038.000,33060.200,33060.200,33038.000
325,3698.000,33080.000,33081.000,33061.300,33061.300,33082.000
326,2328.000,33027.000,33029.000,33051.500,33051.500,33029.000
327,1649.000,33047.000,33048.000,33049.300,33049.300,33048.000
328,3519.000,32951.000,32952.000,33001.900,33001.900,32953.000
329,2446.000,32943.000,32944.000,32960.500,32960.500,32944.000
330,2429.000,32940.000,32941.000,32958.300,32958.300,32941.000
331,1645.000,32974.000,32975.000,32948.500,32948.500,32975.000
332,1552.000,32969.000,32970.000,32954.900,32954.900,32969.000
333,2012.000,32997.000,32998.000,32977.800,32977.800,32997.000
334,2382.000,32942.000,32943.000,32951.200,32951.200,32943.000
335,2748.000,32878.000,32879.000,32901.900,32901.900,32878.000
336,2470.000,32896.000,32898.000,32886.500,32886.500,32897.000
337,1787.000,32907.000,32908.000,32916.600,32916.600,32907.000
338,1388.000,32882.000,32883.000,32897.800,32897.800,32882.000
339,1977.000,32911.000,32913.000,32912.000,32912.000,32911.000
340,1322.000,32955.000,32957.000,32929.200,32929.200,32958.000
341,1051.000,32942.000,32944.000,32939.700,32939.700,32944.000
342,1543.000,32963.000,32964.000,32953.600,32953.600,32964.000
343,2600.000,32997.000,32998.000,32997.500,32997.500,32997.000
344,1889.000,32946.000,32948.000,32961.600,32961.600,32947.000
345,1717.000,32944.000,32945.000,32943.200,32943.200,32946.000
346,1302.000,32966.000,32967.000,32947.700,32947.700,32967.000
347,3182.000,33066.000,33067.000,33023.300,33023.300,33067.000
348,3288.000,33028.000,33030.000,33056.700,33056.700,33027.000
349,4376.000,33109.000,33111.000,33100.400,33100.400,33110.000
350,2902.000,33153.000,33154.000,33139.000,33139.000,33154.000
351,4154.000,33185.000,33186.000,33189.200,33189.200,33184.000
352,3630.000,33169.000,33172.000,33184.800,33184.800,33171.000
353,7491.000,33114.000,33115.000,33158.900,33158.900,33115.000
354,2587.000,33104.000,33106.000,33094.500,33094.500,33102.000
355,577.000,33078.000,33081.000,33085.100,33085.100,33080.000
356,743.000,33077.000,33080.000,33071.200,33071.200,33079.000
357,271.000,33063.000,33065.000,33068.100,33068.100,33065.000
358,262.000,33063.000,33066.000,33063.400,33063.400,33066.000
359,241.000,33075.000,33080.000,33070.500,33070.500,33075.000
360,10204.000,33191.000,33192.000,33130.200,33130.200,33192.000
361,5712.000,33113.000,33115.000,33153.000,33153.000,33113.000
362,3353.000,33147.000,33149.000,33133.600,33133.600,33148.000
363,3012.000,33136.000,33138.000,33127.800,33127.800,33137.000
364,3264.000,33190.000,33192.000,33172.700,33172.700,33192.000
365,4494.000,33249.000,33251.000,33233.200,33233.200,33249.000
366,2342.000,33165.000,33166.000,33210.100,33210.100,33165.000
367,2039.000,33176.000,33177.000,33174.700,33174.700,33176.000
368,2873.000,33116.000,33118.000,33134.800,33134.800,33118.000
369,2643.000,33115.000,33116.000,33097.500,33097.500,33115.000
370,1877.000,33137.000,33138.000,33109.600,33109.600,33136.000
371,2417.000,33113.000,33114.000,33115.500,33115.500,33113.000
372,3137.000,33049.000,33050.000,33068.100,33068.100,33049.000
373,2547.000,33070.000,33072.000,33052.100,33052.100,33072.000
374,1405.000,33050.000,33052.000,33059.100,33059.100,33051.000
375,1716.000,33089.000,33091.000,33083.000,33083.000,33090.000
376,1694.000,33089.000,33091.000,33088.700,33088.700,33091.000
377,1602.000,33046.000,33048.000,33070.800,33070.800,33047.000
