,volume,bid,ask,avg_bid,avg_ask,last_trade,avg_volume,volume_trigger,spread,avg_spread,max_spread,delta_spread,min_tolerance_band,max_tolerance_band,spread_trigger,bid_ask_trigger,trigger_sum,order
1349,0.0,77.78,95.0,77.78,95.0,81.4,1801.6044444444444,-1,17.22,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,-1,0,-2,WAIT
1344,0.0,77.78,95.0,77.78,95.0,81.4,1801.6044444444444,-1,17.22,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,-1,0,-2,WAIT
1335,0.0,77.78,95.0,77.78,95.0,81.4,1801.6044444444444,-1,17.22,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,-1,0,-2,WAIT
1336,0.0,77.78,95.0,77.78,95.0,81.4,1801.6044444444444,-1,17.22,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,-1,0,-2,WAIT
1337,0.0,77.78,95.0,77.78,95.0,81.4,1801.6044444444444,-1,17.22,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,-1,0,-2,WAIT
1338,0.0,77.78,95.0,77.78,95.0,81.4,1801.6044444444444,-1,17.22,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,-1,0,-2,WAIT
1339,0.0,77.78,95.0,77.78,95.0,81.4,1801.6044444444444,-1,17.22,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,-1,0,-2,WAIT
1340,0.0,77.78,95.0,77.78,95.0,81.4,1801.6044444444444,-1,17.22,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,-1,0,-2,WAIT
1341,0.0,77.78,95.0,77.78,95.0,81.4,1801.6044444444444,-1,17.22,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,-1,0,-2,WAIT
1343,0.0,77.78,95.0,77.78,95.0,81.4,1801.6044444444444,-1,17.22,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,-1,0,-2,WAIT
1342,0.0,77.78,95.0,77.78,95.0,81.4,1801.6044444444444,-1,17.22,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,-1,0,-2,WAIT
1345,0.0,77.78,95.0,77.78,95.0,81.4,1801.6044444444444,-1,17.22,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,-1,0,-2,WAIT
1346,0.0,77.78,95.0,77.78,95.0,81.4,1801.6044444444444,-1,17.22,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,-1,0,-2,WAIT
1347,0.0,77.78,95.0,77.78,95.0,81.4,1801.6044444444444,-1,17.22,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,-1,0,-2,WAIT
1348,0.0,77.78,95.0,77.78,95.0,81.4,1801.6044444444444,-1,17.22,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,-1,0,-2,WAIT
1334,1958.0,81.31,81.4,81.229,81.259,81.4,1801.6044444444444,0,0.09000000000000341,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,2,WAIT
764,362.0,80.43,80.52,80.438,80.471,80.51,1801.6044444444444,-1,0.0899999999999892,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
134,34.0,71.72,71.79,71.691,71.721,71.75,1801.6044444444444,-1,0.07000000000000739,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
224,73.0,75.24,75.3,75.289,75.318,75.26,1801.6044444444444,-1,0.060000000000002274,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
763,586.0,80.46,80.51,80.349,80.374,80.46,1801.6044444444444,-1,0.05000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
1304,0.0,80.54,80.59,80.544,80.57,80.58,1801.6044444444444,-1,0.04999999999999716,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
863,2599.0,73.39,73.44,73.507,73.524,73.44,1801.6044444444444,0,0.04999999999999716,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,0,WAIT
1268,138.0,80.03,80.08,80.273,80.295,80.08,1801.6044444444444,-1,0.04999999999999716,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
583,554.0,79.3,79.34,79.4,79.423,79.34,1801.6044444444444,-1,0.04000000000000625,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
1040,2153.0,76.22,76.26,76.276,76.29,76.22,1801.6044444444444,0,0.04000000000000625,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,0,WAIT
222,114.0,75.22,75.26,75.251,75.288,75.21,1801.6044444444444,-1,0.04000000000000625,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
944,197.0,73.68,73.72,73.696,73.718,73.73,1801.6044444444444,-1,0.03999999999999204,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
1328,0.0,81.29,81.33,81.292,81.315,81.31,1801.6044444444444,-1,0.03999999999999204,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,0,0,WAIT
1301,9.0,80.53,80.57,80.472,80.497,80.54,1801.6044444444444,-1,0.03999999999999204,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
5,325.0,74.93,74.97,74.732,74.754,74.92,1801.6044444444444,-1,0.03999999999999204,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
1296,21.0,80.48,80.52,80.466,80.489,80.45,1801.6044444444444,-1,0.03999999999999204,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
251,883.0,77.34,77.38,77.473,77.492,77.33,1801.6044444444444,-1,0.03999999999999204,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
1255,44.0,79.26,79.29,79.283,79.307,79.29,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,0,0,WAIT
1247,113.0,79.22,79.25,79.359,79.379,79.26,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
1228,1410.0,81.08,81.11,81.136,81.154,81.11,1801.6044444444444,0,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,0,WAIT
84,93.0,71.77,71.8,71.719,71.742,71.78,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
18,414.0,73.24,73.27,73.255,73.276,73.26,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,0,0,WAIT
86,38.0,71.87,71.9,71.8,71.823,71.89,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
91,445.0,72.55,72.58,72.489,72.509,72.54,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
99,742.0,72.4,72.43,72.661,72.683,72.4,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
1256,52.0,79.19,79.22,79.249,79.275,79.25,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,0,0,WAIT
70,207.0,72.14,72.17,72.115,72.134,72.15,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
101,513.0,72.49,72.52,72.669,72.689,72.51,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
102,558.0,72.37,72.4,72.385,72.405,72.37,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
104,221.0,72.23,72.26,72.273,72.293,72.24,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
989,259.0,74.86,74.89,74.87,74.886,74.87,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,0,0,WAIT
85,18.0,71.73,71.76,71.738,71.762,71.75,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,0,0,WAIT
851,334.0,73.14,73.17,73.139,73.156,73.16,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
13,360.0,73.0,73.03,73.103,73.125,73.02,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
449,239.0,75.99,76.02,75.978,75.999,76.02,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
221,80.0,75.32,75.35,75.384,75.408,75.33,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
219,245.0,75.46,75.49,75.406,75.426,75.46,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
269,120.0,77.4,77.43,77.432,77.454,77.45,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,0,0,WAIT
359,205.0,74.64,74.67,74.619,74.638,74.67,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
176,118.0,73.5,73.53,73.594,73.611,73.51,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
447,501.0,76.01,76.04,76.039,76.064,76.03,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
3,310.0,74.57,74.6,74.708,74.73,74.58,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
1265,309.0,80.12,80.15,80.065,80.085,80.12,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
641,4307.0,77.8,77.83,77.889,77.902,77.81,1801.6044444444444,1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,1,WAIT
674,158.0,78.85,78.88,78.783,78.802,78.86,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
4,496.0,74.67,74.7,74.708,74.73,74.68,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
6,1088.0,74.32,74.35,74.43,74.452,74.34,1801.6044444444444,0,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,0,WAIT
132,16.0,71.66,71.69,71.642,71.665,71.66,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,0,0,WAIT
809,314.0,77.21,77.24,77.2,77.215,77.21,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,0,0,WAIT
66,596.0,72.06,72.09,71.997,72.019,72.08,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
1323,21.0,81.33,81.36,81.455,81.476,81.45,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
57,1683.0,72.36,72.39,71.82,71.842,72.37,1801.6044444444444,0,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,2,WAIT
47,693.0,73.76,73.79,73.777,73.8,73.82,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
1308,92.0,80.63,80.66,80.424,80.447,80.5,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
1309,43.0,80.22,80.25,80.307,80.331,80.47,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
39,79.0,72.66,72.69,72.605,72.625,72.69,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,1,1,WAIT
48,455.0,73.72,73.75,73.755,73.777,73.74,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
1279,74.0,80.53,80.56,80.752,80.773,80.54,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
1292,14.0,80.37,80.4,80.46,80.482,80.44,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
1299,62.0,80.45,80.48,80.407,80.436,80.38,1801.6044444444444,-1,0.030000000000001137,0.2071703703703705,17.22,8.506414814814814,8.299244444444444,8.713585185185185,1,-1,-1,WAIT
